No.,,Time,Source,Destination,Length,Window size scaling factor,Calculated window size
6,0.061171285,5.761171285,192.168.2.2,192.168.1.2,98,,
8,0.062155597,5.762155597,192.168.2.2,192.168.1.2,74,,28960
11,0.062265387,5.762265387,192.168.2.2,192.168.1.2,66,512,43520
13,0.062756929,5.762756929,192.168.2.2,192.168.1.2,66,512,58368
15,0.063354287,5.763354287,192.168.2.2,192.168.1.2,66,512,78336
17,0.064250009,5.764250009,192.168.2.2,192.168.1.2,66,512,107520
19,0.065426763,5.765426763,192.168.2.2,192.168.1.2,66,512,121856
21,0.066013669,5.766013669,192.168.2.2,192.168.1.2,66,512,156672
23,0.067463852,5.767463852,192.168.2.2,192.168.1.2,66,512,165376
25,0.067834799,5.767834799,192.168.2.2,192.168.1.2,66,512,176128
27,0.069668971,5.769668971,192.168.2.2,192.168.1.2,66,512,176128
29,0.0714664,5.7714664,192.168.2.2,192.168.1.2,66,512,210944
31,0.073944295,5.773944295,192.168.2.2,192.168.1.2,66,512,210944
33,0.076312881,5.776312881,192.168.2.2,192.168.1.2,66,512,210944
35,0.078730139,5.778730139,192.168.2.2,192.168.1.2,66,512,210944
37,0.081158612,5.781158612,192.168.2.2,192.168.1.2,66,512,210944
39,0.083711813,5.783711813,192.168.2.2,192.168.1.2,66,512,198144
41,0.088065393,5.788065393,192.168.2.2,192.168.1.2,66,512,198144
43,0.092575591,5.792575591,192.168.2.2,192.168.1.2,66,512,327680
45,0.097043527,5.797043527,192.168.2.2,192.168.1.2,66,512,428032
47,0.101246897,5.801246897,192.168.2.2,192.168.1.2,66,512,433664
49,0.101460168,5.801460168,192.168.2.2,192.168.1.2,66,512,436736
51,0.101512356,5.801512356,192.168.2.2,192.168.1.2,66,512,566784
53,0.106963504,5.806963504,192.168.2.2,192.168.1.2,66,512,572416
55,0.112409532,5.812409532,192.168.2.2,192.168.1.2,66,512,572416
57,0.117875256,5.817875256,192.168.2.2,192.168.1.2,66,512,620032
59,0.119068639,5.819068639,192.168.2.2,192.168.1.2,66,512,620032
61,0.123364793,5.823364793,192.168.2.2,192.168.1.2,66,512,620032
63,0.128802086,5.828802086,192.168.2.2,192.168.1.2,66,512,620032
65,0.134246263,5.834246263,192.168.2.2,192.168.1.2,66,512,629760
67,0.13679438,5.83679438,192.168.2.2,192.168.1.2,66,512,631296
69,0.13976459,5.83976459,192.168.2.2,192.168.1.2,66,512,631296
71,0.145158971,5.845158971,192.168.2.2,192.168.1.2,66,512,631296
73,0.150652798,5.850652798,192.168.2.2,192.168.1.2,66,512,631296
75,0.154442328,5.854442328,192.168.2.2,192.168.1.2,66,512,631296
77,0.156036757,5.856036757,192.168.2.2,192.168.1.2,66,512,631296
79,0.16145881,5.86145881,192.168.2.2,192.168.1.2,66,512,631296
81,0.162816025,5.862816025,192.168.2.2,192.168.1.2,66,512,631296
83,0.16695511,5.86695511,192.168.2.2,192.168.1.2,66,512,631296
85,0.172139412,5.872139412,192.168.2.2,192.168.1.2,66,512,631296
87,0.172401633,5.872401633,192.168.2.2,192.168.1.2,66,512,631296
89,0.177867734,5.877867734,192.168.2.2,192.168.1.2,66,512,631296
91,0.180522784,5.880522784,192.168.2.2,192.168.1.2,66,512,631296
93,0.183291704,5.883291704,192.168.2.2,192.168.1.2,66,512,631296
95,0.188812167,5.888812167,192.168.2.2,192.168.1.2,66,512,631296
97,0.190153084,5.890153084,192.168.2.2,192.168.1.2,66,512,631296
99,0.194194132,5.894194132,192.168.2.2,192.168.1.2,66,512,631296
101,0.19819589,5.89819589,192.168.2.2,192.168.1.2,66,512,631296
103,0.199640651,5.899640651,192.168.2.2,192.168.1.2,66,512,631296
105,0.20085146,5.90085146,192.168.2.2,192.168.1.2,66,512,631296
107,0.202044979,5.902044979,192.168.2.2,192.168.1.2,66,512,631296
109,0.203249184,5.903249184,192.168.2.2,192.168.1.2,66,512,631296
111,0.204454298,5.904454298,192.168.2.2,192.168.1.2,66,512,631296
113,0.205059363,5.905059363,192.168.2.2,192.168.1.2,66,512,631296
115,0.206526122,5.906526122,192.168.2.2,192.168.1.2,66,512,631296
117,0.20797002,5.90797002,192.168.2.2,192.168.1.2,66,512,631296
119,0.20905702,5.90905702,192.168.2.2,192.168.1.2,66,512,631296
121,0.21050946,5.91050946,192.168.2.2,192.168.1.2,66,512,631296
123,0.211962554,5.911962554,192.168.2.2,192.168.1.2,66,512,631296
125,0.212569464,5.912569464,192.168.2.2,192.168.1.2,66,512,631296
127,0.213970806,5.913970806,192.168.2.2,192.168.1.2,66,512,631296
129,0.215240446,5.915240446,192.168.2.2,192.168.1.2,66,512,631296
131,0.215960429,5.915960429,192.168.2.2,192.168.1.2,66,512,631296
133,0.217295486,5.917295486,192.168.2.2,192.168.1.2,66,512,631296
135,0.218626017,5.918626017,192.168.2.2,192.168.1.2,66,512,631296
137,0.21935346,5.91935346,192.168.2.2,192.168.1.2,66,512,631296
139,0.22068946,5.92068946,192.168.2.2,192.168.1.2,66,512,631296
141,0.221413682,5.921413682,192.168.2.2,192.168.1.2,66,512,631296
143,0.222763582,5.922763582,192.168.2.2,192.168.1.2,66,512,631296
145,0.224103911,5.924103911,192.168.2.2,192.168.1.2,66,512,631296
147,0.225436327,5.925436327,192.168.2.2,192.168.1.2,66,512,631296
150,0.226865738,5.926865738,192.168.2.2,192.168.1.2,66,512,631296
152,0.228316648,5.928316648,192.168.2.2,192.168.1.2,66,512,631296
154,0.229769982,5.929769982,192.168.2.2,192.168.1.2,66,512,631296
156,0.23123107,5.93123107,192.168.2.2,192.168.1.2,66,512,631296
158,0.232314917,5.932314917,192.168.2.2,192.168.1.2,66,512,631296
160,0.233771023,5.933771023,192.168.2.2,192.168.1.2,66,512,631296
162,0.235220521,5.935220521,192.168.2.2,192.168.1.2,66,512,631296
164,0.236672088,5.936672088,192.168.2.2,192.168.1.2,66,512,631296
166,0.237762541,5.937762541,192.168.2.2,192.168.1.2,66,512,631296
168,0.239255576,5.939255576,192.168.2.2,192.168.1.2,66,512,631296
170,0.240771103,5.940771103,192.168.2.2,192.168.1.2,66,512,631296
172,0.241291678,5.941291678,192.168.2.2,192.168.1.2,66,512,631296
174,0.242796796,5.942796796,192.168.2.2,192.168.1.2,66,512,631296
176,0.243239655,5.943239655,192.168.2.2,192.168.1.2,66,512,631296
178,0.244690457,5.944690457,192.168.2.2,192.168.1.2,66,512,631296
180,0.246121552,5.946121552,192.168.2.2,192.168.1.2,66,512,631296
182,0.247574608,5.947574608,192.168.2.2,192.168.1.2,66,512,631296
184,0.248697085,5.948697085,192.168.2.2,192.168.1.2,66,512,631296
186,0.250155507,5.950155507,192.168.2.2,192.168.1.2,66,512,631296
188,0.251572587,5.951572587,192.168.2.2,192.168.1.2,66,512,631296
190,0.253025727,5.953025727,192.168.2.2,192.168.1.2,66,512,631296
192,0.254115395,5.954115395,192.168.2.2,192.168.1.2,66,512,631296
194,0.255571364,5.955571364,192.168.2.2,192.168.1.2,66,512,631296
196,0.257020672,5.957020672,192.168.2.2,192.168.1.2,66,512,631296
198,0.257625325,5.957625325,192.168.2.2,192.168.1.2,66,512,631296
200,0.2590795,5.9590795,192.168.2.2,192.168.1.2,66,512,631296
202,0.259564285,5.959564285,192.168.2.2,192.168.1.2,66,512,631296
204,0.260773856,5.960773856,192.168.2.2,192.168.1.2,66,512,631296
206,0.261990505,5.961990505,192.168.2.2,192.168.1.2,66,512,631296
208,0.263200606,5.963200606,192.168.2.2,192.168.1.2,66,512,631296
210,0.264468204,5.964468204,192.168.2.2,192.168.1.2,66,512,631296
212,0.265085469,5.965085469,192.168.2.2,192.168.1.2,66,512,631296
214,0.266248215,5.966248215,192.168.2.2,192.168.1.2,66,512,631296
216,0.267460121,5.967460121,192.168.2.2,192.168.1.2,66,512,631296
218,0.268289177,5.968289177,192.168.2.2,192.168.1.2,66,512,631296
220,0.269497838,5.969497838,192.168.2.2,192.168.1.2,66,512,631296
222,0.27046454,5.97046454,192.168.2.2,192.168.1.2,66,512,631296
224,0.27167828,5.97167828,192.168.2.2,192.168.1.2,66,512,631296
226,0.272886763,5.972886763,192.168.2.2,192.168.1.2,66,512,631296
228,0.274100356,5.974100356,192.168.2.2,192.168.1.2,66,512,631296
230,0.275431187,5.975431187,192.168.2.2,192.168.1.2,66,512,631296
232,0.275916076,5.975916076,192.168.2.2,192.168.1.2,66,512,631296
234,0.277248669,5.977248669,192.168.2.2,192.168.1.2,66,512,631296
236,0.278584411,5.978584411,192.168.2.2,192.168.1.2,66,512,631296
238,0.279915281,5.979915281,192.168.2.2,192.168.1.2,66,512,631296
241,0.281370375,5.981370375,192.168.2.2,192.168.1.2,66,512,631296
243,0.282697722,5.982697722,192.168.2.2,192.168.1.2,66,512,631296
245,0.284036309,5.984036309,192.168.2.2,192.168.1.2,66,512,631296
247,0.285363907,5.985363907,192.168.2.2,192.168.1.2,66,512,631296
250,0.286815819,5.986815819,192.168.2.2,192.168.1.2,66,512,631296
252,0.288157552,5.988157552,192.168.2.2,192.168.1.2,66,512,631296
254,0.289516074,5.989516074,192.168.2.2,192.168.1.2,66,512,631296
256,0.290847513,5.990847513,192.168.2.2,192.168.1.2,66,512,631296
259,0.292267544,5.992267544,192.168.2.2,192.168.1.2,66,512,631296
261,0.293599,5.993599,192.168.2.2,192.168.1.2,66,512,631296
263,0.294932998,5.994932998,192.168.2.2,192.168.1.2,66,512,631296
265,0.296265262,5.996265262,192.168.2.2,192.168.1.2,66,512,631296
268,0.297720296,5.997720296,192.168.2.2,192.168.1.2,66,512,631296
270,0.299077418,5.999077418,192.168.2.2,192.168.1.2,66,512,631296
272,0.300383207,6.000383207,192.168.2.2,192.168.1.2,66,512,631296
274,0.301717066,6.001717066,192.168.2.2,192.168.1.2,66,512,631296
277,0.303168315,6.003168315,192.168.2.2,192.168.1.2,66,512,631296
279,0.304381164,6.004381164,192.168.2.2,192.168.1.2,66,512,631296
281,0.305589492,6.005589492,192.168.2.2,192.168.1.2,66,512,631296
283,0.306803014,6.006803014,192.168.2.2,192.168.1.2,66,512,631296
285,0.308011539,6.008011539,192.168.2.2,192.168.1.2,66,512,631296
287,0.308620301,6.008620301,192.168.2.2,192.168.1.2,66,512,631296
289,0.309831098,6.009831098,192.168.2.2,192.168.1.2,66,512,631296
291,0.311041159,6.011041159,192.168.2.2,192.168.1.2,66,512,631296
293,0.312254909,6.012254909,192.168.2.2,192.168.1.2,66,512,631296
295,0.313527207,6.013527207,192.168.2.2,192.168.1.2,66,512,631296
297,0.314105168,6.014105168,192.168.2.2,192.168.1.2,66,512,631296
299,0.315403494,6.015403494,192.168.2.2,192.168.1.2,66,512,631296
301,0.316516039,6.016516039,192.168.2.2,192.168.1.2,66,512,631296
303,0.31771566,6.01771566,192.168.2.2,192.168.1.2,66,512,631296
305,0.31897174,6.01897174,192.168.2.2,192.168.1.2,66,512,631296
307,0.319526941,6.019526941,192.168.2.2,192.168.1.2,66,512,631296
309,0.32073343,6.02073343,192.168.2.2,192.168.1.2,66,512,631296
311,0.321944789,6.021944789,192.168.2.2,192.168.1.2,66,512,631296
313,0.323181273,6.023181273,192.168.2.2,192.168.1.2,66,512,631296
315,0.324388885,6.024388885,192.168.2.2,192.168.1.2,66,512,631296
317,0.324978181,6.024978181,192.168.2.2,192.168.1.2,66,512,631296
319,0.32619866,6.02619866,192.168.2.2,192.168.1.2,66,512,631296
321,0.327402264,6.027402264,192.168.2.2,192.168.1.2,66,512,631296
323,0.328244875,6.028244875,192.168.2.2,192.168.1.2,66,512,631296
325,0.329454045,6.029454045,192.168.2.2,192.168.1.2,66,512,631296
327,0.33042528,6.03042528,192.168.2.2,192.168.1.2,66,512,631296
329,0.331653367,6.031653367,192.168.2.2,192.168.1.2,66,512,631296
331,0.332871776,6.032871776,192.168.2.2,192.168.1.2,66,512,631296
333,0.334069882,6.034069882,192.168.2.2,192.168.1.2,66,512,631296
335,0.335421969,6.035421969,192.168.2.2,192.168.1.2,66,512,631296
337,0.335881136,6.035881136,192.168.2.2,192.168.1.2,66,512,631296
339,0.337226951,6.037226951,192.168.2.2,192.168.1.2,66,512,631296
341,0.338667673,6.038667673,192.168.2.2,192.168.1.2,66,512,631296
343,0.339909283,6.039909283,192.168.2.2,192.168.1.2,66,512,631296
345,0.341364768,6.041364768,192.168.2.2,192.168.1.2,66,512,631296
