PING 192.168.2.2 (192.168.2.2) 56(84) bytes of data.
64 bytes from 192.168.2.2: icmp_seq=1 ttl=63 time=0.048 ms
64 bytes from 192.168.2.2: icmp_seq=2 ttl=63 time=54.8 ms
64 bytes from 192.168.2.2: icmp_seq=3 ttl=63 time=105 ms
64 bytes from 192.168.2.2: icmp_seq=4 ttl=63 time=156 ms
64 bytes from 192.168.2.2: icmp_seq=5 ttl=63 time=205 ms
64 bytes from 192.168.2.2: icmp_seq=6 ttl=63 time=255 ms
64 bytes from 192.168.2.2: icmp_seq=7 ttl=63 time=304 ms
64 bytes from 192.168.2.2: icmp_seq=8 ttl=63 time=355 ms
64 bytes from 192.168.2.2: icmp_seq=9 ttl=63 time=405 ms
64 bytes from 192.168.2.2: icmp_seq=10 ttl=63 time=454 ms
64 bytes from 192.168.2.2: icmp_seq=11 ttl=63 time=506 ms
64 bytes from 192.168.2.2: icmp_seq=12 ttl=63 time=555 ms
64 bytes from 192.168.2.2: icmp_seq=13 ttl=63 time=604 ms
64 bytes from 192.168.2.2: icmp_seq=14 ttl=63 time=656 ms
64 bytes from 192.168.2.2: icmp_seq=15 ttl=63 time=705 ms
64 bytes from 192.168.2.2: icmp_seq=16 ttl=63 time=763 ms
64 bytes from 192.168.2.2: icmp_seq=17 ttl=63 time=804 ms
64 bytes from 192.168.2.2: icmp_seq=18 ttl=63 time=856 ms
64 bytes from 192.168.2.2: icmp_seq=19 ttl=63 time=904 ms
64 bytes from 192.168.2.2: icmp_seq=20 ttl=63 time=955 ms
64 bytes from 192.168.2.2: icmp_seq=21 ttl=63 time=1006 ms
64 bytes from 192.168.2.2: icmp_seq=22 ttl=63 time=1056 ms
64 bytes from 192.168.2.2: icmp_seq=23 ttl=63 time=1107 ms
64 bytes from 192.168.2.2: icmp_seq=24 ttl=63 time=1156 ms
64 bytes from 192.168.2.2: icmp_seq=25 ttl=63 time=1207 ms
64 bytes from 192.168.2.2: icmp_seq=27 ttl=63 time=324 ms
64 bytes from 192.168.2.2: icmp_seq=28 ttl=63 time=664 ms
64 bytes from 192.168.2.2: icmp_seq=29 ttl=63 time=689 ms
64 bytes from 192.168.2.2: icmp_seq=30 ttl=63 time=718 ms
64 bytes from 192.168.2.2: icmp_seq=31 ttl=63 time=740 ms
64 bytes from 192.168.2.2: icmp_seq=32 ttl=63 time=759 ms
64 bytes from 192.168.2.2: icmp_seq=33 ttl=63 time=774 ms
64 bytes from 192.168.2.2: icmp_seq=34 ttl=63 time=785 ms
64 bytes from 192.168.2.2: icmp_seq=35 ttl=63 time=792 ms
64 bytes from 192.168.2.2: icmp_seq=36 ttl=63 time=797 ms
64 bytes from 192.168.2.2: icmp_seq=37 ttl=63 time=801 ms
64 bytes from 192.168.2.2: icmp_seq=38 ttl=63 time=802 ms
64 bytes from 192.168.2.2: icmp_seq=39 ttl=63 time=804 ms
64 bytes from 192.168.2.2: icmp_seq=40 ttl=63 time=804 ms
64 bytes from 192.168.2.2: icmp_seq=41 ttl=63 time=803 ms
64 bytes from 192.168.2.2: icmp_seq=42 ttl=63 time=804 ms
64 bytes from 192.168.2.2: icmp_seq=43 ttl=63 time=807 ms
64 bytes from 192.168.2.2: icmp_seq=44 ttl=63 time=811 ms
64 bytes from 192.168.2.2: icmp_seq=45 ttl=63 time=819 ms
64 bytes from 192.168.2.2: icmp_seq=46 ttl=63 time=828 ms
64 bytes from 192.168.2.2: icmp_seq=47 ttl=63 time=842 ms
64 bytes from 192.168.2.2: icmp_seq=48 ttl=63 time=860 ms
64 bytes from 192.168.2.2: icmp_seq=49 ttl=63 time=882 ms
64 bytes from 192.168.2.2: icmp_seq=51 ttl=63 time=871 ms
64 bytes from 192.168.2.2: icmp_seq=52 ttl=63 time=255 ms
64 bytes from 192.168.2.2: icmp_seq=53 ttl=63 time=464 ms
64 bytes from 192.168.2.2: icmp_seq=54 ttl=63 time=486 ms
64 bytes from 192.168.2.2: icmp_seq=55 ttl=63 time=507 ms
64 bytes from 192.168.2.2: icmp_seq=56 ttl=63 time=524 ms
64 bytes from 192.168.2.2: icmp_seq=57 ttl=63 time=536 ms
64 bytes from 192.168.2.2: icmp_seq=58 ttl=63 time=544 ms
64 bytes from 192.168.2.2: icmp_seq=59 ttl=63 time=551 ms
64 bytes from 192.168.2.2: icmp_seq=60 ttl=63 time=555 ms

--- 192.168.2.2 ping statistics ---
60 packets transmitted, 58 received, 3% packet loss, time 59108ms
rtt min/avg/max/mdev = 0.048/658.012/1207.617/270.773 ms, pipe 2
