PING 192.168.2.2 (192.168.2.2) 56(84) bytes of data.
64 bytes from 192.168.2.2: icmp_seq=1 ttl=63 time=0.051 ms
64 bytes from 192.168.2.2: icmp_seq=2 ttl=63 time=1107 ms
64 bytes from 192.168.2.2: icmp_seq=3 ttl=63 time=1720 ms
64 bytes from 192.168.2.2: icmp_seq=4 ttl=63 time=1809 ms
64 bytes from 192.168.2.2: icmp_seq=5 ttl=63 time=1711 ms
64 bytes from 192.168.2.2: icmp_seq=6 ttl=63 time=1759 ms
64 bytes from 192.168.2.2: icmp_seq=7 ttl=63 time=1603 ms
64 bytes from 192.168.2.2: icmp_seq=8 ttl=63 time=1512 ms
64 bytes from 192.168.2.2: icmp_seq=9 ttl=63 time=1854 ms
64 bytes from 192.168.2.2: icmp_seq=10 ttl=63 time=1526 ms
64 bytes from 192.168.2.2: icmp_seq=11 ttl=63 time=1479 ms
64 bytes from 192.168.2.2: icmp_seq=12 ttl=63 time=486 ms
64 bytes from 192.168.2.2: icmp_seq=13 ttl=63 time=2304 ms
64 bytes from 192.168.2.2: icmp_seq=14 ttl=63 time=3241 ms
64 bytes from 192.168.2.2: icmp_seq=15 ttl=63 time=2221 ms
64 bytes from 192.168.2.2: icmp_seq=16 ttl=63 time=1227 ms
64 bytes from 192.168.2.2: icmp_seq=17 ttl=63 time=267 ms
64 bytes from 192.168.2.2: icmp_seq=18 ttl=63 time=165 ms
64 bytes from 192.168.2.2: icmp_seq=19 ttl=63 time=134 ms
64 bytes from 192.168.2.2: icmp_seq=20 ttl=63 time=125 ms
64 bytes from 192.168.2.2: icmp_seq=21 ttl=63 time=154 ms
64 bytes from 192.168.2.2: icmp_seq=22 ttl=63 time=191 ms
64 bytes from 192.168.2.2: icmp_seq=23 ttl=63 time=55.0 ms
64 bytes from 192.168.2.2: icmp_seq=24 ttl=63 time=155 ms
64 bytes from 192.168.2.2: icmp_seq=25 ttl=63 time=136 ms
64 bytes from 192.168.2.2: icmp_seq=26 ttl=63 time=105 ms
64 bytes from 192.168.2.2: icmp_seq=27 ttl=63 time=119 ms
64 bytes from 192.168.2.2: icmp_seq=28 ttl=63 time=115 ms
64 bytes from 192.168.2.2: icmp_seq=29 ttl=63 time=115 ms
64 bytes from 192.168.2.2: icmp_seq=30 ttl=63 time=135 ms
64 bytes from 192.168.2.2: icmp_seq=31 ttl=63 time=104 ms
64 bytes from 192.168.2.2: icmp_seq=32 ttl=63 time=197 ms
64 bytes from 192.168.2.2: icmp_seq=33 ttl=63 time=25.6 ms
64 bytes from 192.168.2.2: icmp_seq=34 ttl=63 time=134 ms
64 bytes from 192.168.2.2: icmp_seq=35 ttl=63 time=113 ms
64 bytes from 192.168.2.2: icmp_seq=36 ttl=63 time=188 ms
64 bytes from 192.168.2.2: icmp_seq=37 ttl=63 time=87.3 ms
64 bytes from 192.168.2.2: icmp_seq=38 ttl=63 time=102 ms
64 bytes from 192.168.2.2: icmp_seq=39 ttl=63 time=107 ms
64 bytes from 192.168.2.2: icmp_seq=40 ttl=63 time=111 ms
64 bytes from 192.168.2.2: icmp_seq=41 ttl=63 time=300 ms
64 bytes from 192.168.2.2: icmp_seq=42 ttl=63 time=98.6 ms
64 bytes from 192.168.2.2: icmp_seq=43 ttl=63 time=114 ms
64 bytes from 192.168.2.2: icmp_seq=44 ttl=63 time=141 ms
64 bytes from 192.168.2.2: icmp_seq=45 ttl=63 time=114 ms
64 bytes from 192.168.2.2: icmp_seq=46 ttl=63 time=147 ms
64 bytes from 192.168.2.2: icmp_seq=47 ttl=63 time=137 ms
64 bytes from 192.168.2.2: icmp_seq=48 ttl=63 time=102 ms
64 bytes from 192.168.2.2: icmp_seq=49 ttl=63 time=149 ms
64 bytes from 192.168.2.2: icmp_seq=50 ttl=63 time=170 ms
64 bytes from 192.168.2.2: icmp_seq=51 ttl=63 time=135 ms
64 bytes from 192.168.2.2: icmp_seq=52 ttl=63 time=140 ms
64 bytes from 192.168.2.2: icmp_seq=53 ttl=63 time=135 ms
64 bytes from 192.168.2.2: icmp_seq=54 ttl=63 time=76.3 ms
64 bytes from 192.168.2.2: icmp_seq=55 ttl=63 time=129 ms
64 bytes from 192.168.2.2: icmp_seq=56 ttl=63 time=135 ms
64 bytes from 192.168.2.2: icmp_seq=57 ttl=63 time=142 ms
64 bytes from 192.168.2.2: icmp_seq=58 ttl=63 time=131 ms
64 bytes from 192.168.2.2: icmp_seq=59 ttl=63 time=135 ms
64 bytes from 192.168.2.2: icmp_seq=60 ttl=63 time=140 ms
64 bytes from 192.168.2.2: icmp_seq=61 ttl=63 time=129 ms

--- 192.168.2.2 ping statistics ---
61 packets transmitted, 61 received, 0% packet loss, time 60288ms
rtt min/avg/max/mdev = 0.051/518.476/3241.851/738.979 ms, pipe 4
