PING 192.168.2.2 (192.168.2.2) 56(84) bytes of data.
64 bytes from 192.168.2.2: icmp_seq=1 ttl=63 time=0.159 ms
64 bytes from 192.168.2.2: icmp_seq=2 ttl=63 time=695 ms
64 bytes from 192.168.2.2: icmp_seq=3 ttl=63 time=759 ms
64 bytes from 192.168.2.2: icmp_seq=4 ttl=63 time=799 ms
64 bytes from 192.168.2.2: icmp_seq=5 ttl=63 time=949 ms
64 bytes from 192.168.2.2: icmp_seq=6 ttl=63 time=927 ms
64 bytes from 192.168.2.2: icmp_seq=7 ttl=63 time=1202 ms
64 bytes from 192.168.2.2: icmp_seq=8 ttl=63 time=1560 ms
64 bytes from 192.168.2.2: icmp_seq=9 ttl=63 time=1783 ms
64 bytes from 192.168.2.2: icmp_seq=10 ttl=63 time=2277 ms
64 bytes from 192.168.2.2: icmp_seq=11 ttl=63 time=2889 ms
64 bytes from 192.168.2.2: icmp_seq=12 ttl=63 time=3393 ms
64 bytes from 192.168.2.2: icmp_seq=13 ttl=63 time=4199 ms
64 bytes from 192.168.2.2: icmp_seq=14 ttl=63 time=4491 ms
64 bytes from 192.168.2.2: icmp_seq=15 ttl=63 time=4998 ms
64 bytes from 192.168.2.2: icmp_seq=16 ttl=63 time=5581 ms
64 bytes from 192.168.2.2: icmp_seq=17 ttl=63 time=5739 ms
64 bytes from 192.168.2.2: icmp_seq=18 ttl=63 time=6304 ms
64 bytes from 192.168.2.2: icmp_seq=19 ttl=63 time=6810 ms
64 bytes from 192.168.2.2: icmp_seq=20 ttl=63 time=7407 ms
64 bytes from 192.168.2.2: icmp_seq=21 ttl=63 time=7746 ms
64 bytes from 192.168.2.2: icmp_seq=22 ttl=63 time=8304 ms
64 bytes from 192.168.2.2: icmp_seq=23 ttl=63 time=8833 ms
64 bytes from 192.168.2.2: icmp_seq=24 ttl=63 time=9326 ms
64 bytes from 192.168.2.2: icmp_seq=25 ttl=63 time=9829 ms
64 bytes from 192.168.2.2: icmp_seq=26 ttl=63 time=10317 ms
64 bytes from 192.168.2.2: icmp_seq=27 ttl=63 time=10577 ms
64 bytes from 192.168.2.2: icmp_seq=28 ttl=63 time=11185 ms
64 bytes from 192.168.2.2: icmp_seq=29 ttl=63 time=11663 ms
64 bytes from 192.168.2.2: icmp_seq=30 ttl=63 time=12153 ms
64 bytes from 192.168.2.2: icmp_seq=31 ttl=63 time=12645 ms
64 bytes from 192.168.2.2: icmp_seq=32 ttl=63 time=13182 ms
64 bytes from 192.168.2.2: icmp_seq=33 ttl=63 time=13654 ms
64 bytes from 192.168.2.2: icmp_seq=34 ttl=63 time=14184 ms
64 bytes from 192.168.2.2: icmp_seq=35 ttl=63 time=14673 ms
64 bytes from 192.168.2.2: icmp_seq=36 ttl=63 time=15158 ms
64 bytes from 192.168.2.2: icmp_seq=37 ttl=63 time=15661 ms
64 bytes from 192.168.2.2: icmp_seq=38 ttl=63 time=16143 ms
64 bytes from 192.168.2.2: icmp_seq=39 ttl=63 time=16694 ms
64 bytes from 192.168.2.2: icmp_seq=40 ttl=63 time=17379 ms
64 bytes from 192.168.2.2: icmp_seq=41 ttl=63 time=17901 ms
64 bytes from 192.168.2.2: icmp_seq=42 ttl=63 time=18398 ms
64 bytes from 192.168.2.2: icmp_seq=43 ttl=63 time=18888 ms
64 bytes from 192.168.2.2: icmp_seq=59 ttl=63 time=23691 ms
