PING 192.168.2.2 (192.168.2.2) 56(84) bytes of data.
64 bytes from 192.168.2.2: icmp_seq=1 ttl=63 time=0.816 ms
64 bytes from 192.168.2.2: icmp_seq=2 ttl=63 time=0.056 ms
64 bytes from 192.168.2.2: icmp_seq=3 ttl=63 time=0.280 ms
64 bytes from 192.168.2.2: icmp_seq=4 ttl=63 time=0.110 ms
64 bytes from 192.168.2.2: icmp_seq=5 ttl=63 time=0.281 ms
64 bytes from 192.168.2.2: icmp_seq=6 ttl=63 time=0.145 ms
64 bytes from 192.168.2.2: icmp_seq=7 ttl=63 time=0.182 ms
64 bytes from 192.168.2.2: icmp_seq=8 ttl=63 time=0.173 ms
64 bytes from 192.168.2.2: icmp_seq=9 ttl=63 time=0.262 ms
64 bytes from 192.168.2.2: icmp_seq=10 ttl=63 time=0.035 ms
64 bytes from 192.168.2.2: icmp_seq=11 ttl=63 time=0.229 ms
64 bytes from 192.168.2.2: icmp_seq=12 ttl=63 time=0.235 ms
64 bytes from 192.168.2.2: icmp_seq=13 ttl=63 time=0.401 ms
64 bytes from 192.168.2.2: icmp_seq=14 ttl=63 time=0.298 ms
64 bytes from 192.168.2.2: icmp_seq=15 ttl=63 time=0.188 ms
64 bytes from 192.168.2.2: icmp_seq=16 ttl=63 time=0.300 ms
64 bytes from 192.168.2.2: icmp_seq=17 ttl=63 time=0.264 ms
64 bytes from 192.168.2.2: icmp_seq=18 ttl=63 time=0.214 ms
64 bytes from 192.168.2.2: icmp_seq=19 ttl=63 time=0.296 ms
64 bytes from 192.168.2.2: icmp_seq=20 ttl=63 time=0.131 ms
64 bytes from 192.168.2.2: icmp_seq=21 ttl=63 time=0.319 ms
64 bytes from 192.168.2.2: icmp_seq=22 ttl=63 time=0.318 ms
64 bytes from 192.168.2.2: icmp_seq=23 ttl=63 time=0.153 ms
64 bytes from 192.168.2.2: icmp_seq=24 ttl=63 time=0.676 ms
64 bytes from 192.168.2.2: icmp_seq=25 ttl=63 time=0.345 ms
64 bytes from 192.168.2.2: icmp_seq=26 ttl=63 time=0.123 ms
64 bytes from 192.168.2.2: icmp_seq=27 ttl=63 time=0.298 ms
64 bytes from 192.168.2.2: icmp_seq=28 ttl=63 time=0.265 ms
64 bytes from 192.168.2.2: icmp_seq=29 ttl=63 time=0.283 ms
64 bytes from 192.168.2.2: icmp_seq=30 ttl=63 time=0.234 ms
64 bytes from 192.168.2.2: icmp_seq=31 ttl=63 time=0.298 ms
64 bytes from 192.168.2.2: icmp_seq=32 ttl=63 time=0.286 ms
64 bytes from 192.168.2.2: icmp_seq=33 ttl=63 time=0.303 ms
64 bytes from 192.168.2.2: icmp_seq=34 ttl=63 time=0.927 ms
64 bytes from 192.168.2.2: icmp_seq=35 ttl=63 time=0.037 ms
64 bytes from 192.168.2.2: icmp_seq=36 ttl=63 time=0.514 ms
64 bytes from 192.168.2.2: icmp_seq=37 ttl=63 time=0.337 ms
64 bytes from 192.168.2.2: icmp_seq=38 ttl=63 time=0.339 ms
64 bytes from 192.168.2.2: icmp_seq=39 ttl=63 time=0.299 ms
64 bytes from 192.168.2.2: icmp_seq=40 ttl=63 time=0.261 ms
64 bytes from 192.168.2.2: icmp_seq=41 ttl=63 time=0.350 ms
64 bytes from 192.168.2.2: icmp_seq=42 ttl=63 time=0.420 ms
64 bytes from 192.168.2.2: icmp_seq=43 ttl=63 time=0.037 ms
64 bytes from 192.168.2.2: icmp_seq=44 ttl=63 time=0.327 ms
64 bytes from 192.168.2.2: icmp_seq=45 ttl=63 time=0.308 ms
64 bytes from 192.168.2.2: icmp_seq=46 ttl=63 time=0.322 ms
64 bytes from 192.168.2.2: icmp_seq=47 ttl=63 time=0.181 ms
64 bytes from 192.168.2.2: icmp_seq=48 ttl=63 time=0.161 ms
64 bytes from 192.168.2.2: icmp_seq=49 ttl=63 time=0.208 ms
64 bytes from 192.168.2.2: icmp_seq=50 ttl=63 time=0.283 ms
64 bytes from 192.168.2.2: icmp_seq=51 ttl=63 time=0.609 ms
64 bytes from 192.168.2.2: icmp_seq=52 ttl=63 time=0.424 ms
64 bytes from 192.168.2.2: icmp_seq=53 ttl=63 time=0.312 ms
64 bytes from 192.168.2.2: icmp_seq=54 ttl=63 time=0.290 ms
64 bytes from 192.168.2.2: icmp_seq=55 ttl=63 time=0.255 ms
64 bytes from 192.168.2.2: icmp_seq=56 ttl=63 time=0.389 ms
64 bytes from 192.168.2.2: icmp_seq=57 ttl=63 time=0.248 ms
64 bytes from 192.168.2.2: icmp_seq=58 ttl=63 time=0.027 ms
64 bytes from 192.168.2.2: icmp_seq=59 ttl=63 time=0.435 ms
64 bytes from 192.168.2.2: icmp_seq=60 ttl=63 time=0.054 ms

--- 192.168.2.2 ping statistics ---
60 packets transmitted, 60 received, 0% packet loss, time 60204ms
rtt min/avg/max/mdev = 0.027/0.285/0.927/0.168 ms
