PING 192.168.2.2 (192.168.2.2) 56(84) bytes of data.
64 bytes from 192.168.2.2: icmp_seq=1 ttl=63 time=0.050 ms
64 bytes from 192.168.2.2: icmp_seq=2 ttl=63 time=0.034 ms
64 bytes from 192.168.2.2: icmp_seq=3 ttl=63 time=0.039 ms
64 bytes from 192.168.2.2: icmp_seq=4 ttl=63 time=0.058 ms
64 bytes from 192.168.2.2: icmp_seq=5 ttl=63 time=0.041 ms
64 bytes from 192.168.2.2: icmp_seq=6 ttl=63 time=0.031 ms
64 bytes from 192.168.2.2: icmp_seq=7 ttl=63 time=0.038 ms
64 bytes from 192.168.2.2: icmp_seq=8 ttl=63 time=0.032 ms
64 bytes from 192.168.2.2: icmp_seq=9 ttl=63 time=0.051 ms
64 bytes from 192.168.2.2: icmp_seq=10 ttl=63 time=0.040 ms
64 bytes from 192.168.2.2: icmp_seq=11 ttl=63 time=0.028 ms
64 bytes from 192.168.2.2: icmp_seq=12 ttl=63 time=0.032 ms
64 bytes from 192.168.2.2: icmp_seq=13 ttl=63 time=0.196 ms
64 bytes from 192.168.2.2: icmp_seq=14 ttl=63 time=0.038 ms
64 bytes from 192.168.2.2: icmp_seq=15 ttl=63 time=0.043 ms
64 bytes from 192.168.2.2: icmp_seq=16 ttl=63 time=0.076 ms
64 bytes from 192.168.2.2: icmp_seq=17 ttl=63 time=0.110 ms
64 bytes from 192.168.2.2: icmp_seq=18 ttl=63 time=0.103 ms
64 bytes from 192.168.2.2: icmp_seq=19 ttl=63 time=0.083 ms
64 bytes from 192.168.2.2: icmp_seq=20 ttl=63 time=0.031 ms
64 bytes from 192.168.2.2: icmp_seq=21 ttl=63 time=0.104 ms
64 bytes from 192.168.2.2: icmp_seq=22 ttl=63 time=0.047 ms
64 bytes from 192.168.2.2: icmp_seq=23 ttl=63 time=0.129 ms
64 bytes from 192.168.2.2: icmp_seq=24 ttl=63 time=0.031 ms
64 bytes from 192.168.2.2: icmp_seq=25 ttl=63 time=0.105 ms
64 bytes from 192.168.2.2: icmp_seq=26 ttl=63 time=0.102 ms
64 bytes from 192.168.2.2: icmp_seq=27 ttl=63 time=0.088 ms
64 bytes from 192.168.2.2: icmp_seq=28 ttl=63 time=0.030 ms
64 bytes from 192.168.2.2: icmp_seq=29 ttl=63 time=0.033 ms
64 bytes from 192.168.2.2: icmp_seq=30 ttl=63 time=0.044 ms
64 bytes from 192.168.2.2: icmp_seq=31 ttl=63 time=0.080 ms
64 bytes from 192.168.2.2: icmp_seq=32 ttl=63 time=0.044 ms
64 bytes from 192.168.2.2: icmp_seq=33 ttl=63 time=0.041 ms
64 bytes from 192.168.2.2: icmp_seq=34 ttl=63 time=0.050 ms
64 bytes from 192.168.2.2: icmp_seq=35 ttl=63 time=0.060 ms
64 bytes from 192.168.2.2: icmp_seq=36 ttl=63 time=0.054 ms
64 bytes from 192.168.2.2: icmp_seq=37 ttl=63 time=0.052 ms
64 bytes from 192.168.2.2: icmp_seq=38 ttl=63 time=0.048 ms
64 bytes from 192.168.2.2: icmp_seq=39 ttl=63 time=0.037 ms
64 bytes from 192.168.2.2: icmp_seq=40 ttl=63 time=0.122 ms
64 bytes from 192.168.2.2: icmp_seq=41 ttl=63 time=0.066 ms
64 bytes from 192.168.2.2: icmp_seq=42 ttl=63 time=0.034 ms
64 bytes from 192.168.2.2: icmp_seq=43 ttl=63 time=0.042 ms
64 bytes from 192.168.2.2: icmp_seq=44 ttl=63 time=0.031 ms
64 bytes from 192.168.2.2: icmp_seq=45 ttl=63 time=0.060 ms
64 bytes from 192.168.2.2: icmp_seq=46 ttl=63 time=0.084 ms
64 bytes from 192.168.2.2: icmp_seq=47 ttl=63 time=0.162 ms
64 bytes from 192.168.2.2: icmp_seq=48 ttl=63 time=0.040 ms
64 bytes from 192.168.2.2: icmp_seq=49 ttl=63 time=0.037 ms
64 bytes from 192.168.2.2: icmp_seq=50 ttl=63 time=0.036 ms
64 bytes from 192.168.2.2: icmp_seq=51 ttl=63 time=0.037 ms
64 bytes from 192.168.2.2: icmp_seq=52 ttl=63 time=0.029 ms
64 bytes from 192.168.2.2: icmp_seq=53 ttl=63 time=0.073 ms
64 bytes from 192.168.2.2: icmp_seq=54 ttl=63 time=0.034 ms
64 bytes from 192.168.2.2: icmp_seq=55 ttl=63 time=0.038 ms
64 bytes from 192.168.2.2: icmp_seq=56 ttl=63 time=0.089 ms
64 bytes from 192.168.2.2: icmp_seq=57 ttl=63 time=0.030 ms
64 bytes from 192.168.2.2: icmp_seq=58 ttl=63 time=0.050 ms
64 bytes from 192.168.2.2: icmp_seq=59 ttl=63 time=0.034 ms
64 bytes from 192.168.2.2: icmp_seq=60 ttl=63 time=0.054 ms

--- 192.168.2.2 ping statistics ---
60 packets transmitted, 60 received, 0% packet loss, time 60246ms
rtt min/avg/max/mdev = 0.028/0.058/0.196/0.035 ms
