"No.","Time","Source","Destination","Protocol","Length","Calculated window size","Info"
"4","0.000742","192.168.2.2","192.168.1.2","TCP","74","28960","5001  >  48038 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=552381235 TSecr=457602950 WS=512"
"7","0.000925","192.168.2.2","192.168.1.2","TCP","66","43520","5001  >  48038 [ACK] Seq=1 Ack=7241 Win=43520 Len=0 TSval=552381236 TSecr=457602951"
"11","0.050030","192.168.2.2","192.168.1.2","TCP","66","58368","5001  >  48038 [ACK] Seq=1 Ack=14481 Win=58368 Len=0 TSval=552381285 TSecr=457602951"
"14","0.110652","192.168.2.2","192.168.1.2","TCP","66","78336","5001  >  48038 [ACK] Seq=1 Ack=24617 Win=78336 Len=0 TSval=552381345 TSecr=457602951"
"18","0.195899","192.168.2.2","192.168.1.2","TCP","66","87040","5001  >  48038 [ACK] Seq=1 Ack=28961 Win=87040 Len=0 TSval=552381430 TSecr=457602965"
"20","0.232217","192.168.2.2","192.168.1.2","TCP","66","116224","5001  >  48038 [ACK] Seq=1 Ack=43441 Win=116224 Len=0 TSval=552381467 TSecr=457603000"
"22","0.353249","192.168.2.2","192.168.1.2","TCP","66","118784","5001  >  48038 [ACK] Seq=1 Ack=44889 Win=118784 Len=0 TSval=552381588 TSecr=457603025"
"24","0.365506","192.168.2.2","192.168.1.2","TCP","66","121856","5001  >  48038 [ACK] Seq=1 Ack=46337 Win=121856 Len=0 TSval=552381600 TSecr=457603060"
"26","0.377510","192.168.2.2","192.168.1.2","TCP","66","156672","5001  >  48038 [ACK] Seq=1 Ack=63713 Win=156672 Len=0 TSval=552381612 TSecr=457603060"
"29","0.522814","192.168.2.2","192.168.1.2","TCP","66","159744","5001  >  48038 [ACK] Seq=1 Ack=65161 Win=159744 Len=0 TSval=552381757 TSecr=457603109"
"31","0.536462","192.168.2.2","192.168.1.2","TCP","66","165376","5001  >  48038 [ACK] Seq=1 Ack=68057 Win=165376 Len=0 TSval=552381771 TSecr=457603145"
"33","0.559540","192.168.2.2","192.168.1.2","TCP","66","176128","5001  >  48038 [ACK] Seq=1 Ack=89777 Win=176128 Len=0 TSval=552381794 TSecr=457603182"
"38","0.741531","192.168.2.2","192.168.1.2","TCP","66","179712","5001  >  48038 [ACK] Seq=1 Ack=104257 Win=179712 Len=0 TSval=552381976 TSecr=457603303"
"41","0.863415","192.168.2.2","192.168.1.2","TCP","66","185344","5001  >  48038 [ACK] Seq=1 Ack=107153 Win=185344 Len=0 TSval=552382098 TSecr=457603315"
"43","0.887027","192.168.2.2","192.168.1.2","TCP","66","184832","5001  >  48038 [ACK] Seq=1 Ack=111497 Win=184832 Len=0 TSval=552382121 TSecr=457603327"
"45","0.924147","192.168.2.2","192.168.1.2","TCP","66","171520","5001  >  48038 [ACK] Seq=1 Ack=141905 Win=171520 Len=0 TSval=552382158 TSecr=457603327"
"49","1.177941","192.168.2.2","192.168.1.2","TCP","66","185344","5001  >  48038 [ACK] Seq=1 Ack=144801 Win=185344 Len=0 TSval=552382412 TSecr=457603472"
"51","1.202483","192.168.2.2","192.168.1.2","TCP","66","183808","5001  >  48038 [ACK] Seq=1 Ack=150593 Win=183808 Len=0 TSval=552382437 TSecr=457603486"
"53","1.253381","192.168.2.2","192.168.1.2","TCP","66","184832","5001  >  48038 [ACK] Seq=1 Ack=154937 Win=184832 Len=0 TSval=552382487 TSecr=457603509"
"55","1.286664","192.168.2.2","192.168.1.2","TCP","66","167424","5001  >  48038 [ACK] Seq=1 Ack=194033 Win=167424 Len=0 TSval=552382521 TSecr=457603509"
"60","1.614109","192.168.2.2","192.168.1.2","TCP","66","184832","5001  >  48038 [ACK] Seq=1 Ack=198377 Win=184832 Len=0 TSval=552382848 TSecr=457603691"
"63","1.650329","192.168.2.2","192.168.1.2","TCP","66","246784","5001  >  48038 [ACK] Seq=1 Ack=228785 Win=246784 Len=0 TSval=552382884 TSecr=457603813"
"67","1.905285","192.168.2.2","192.168.1.2","TCP","66","264192","5001  >  48038 [ACK] Seq=1 Ack=237473 Win=264192 Len=0 TSval=552383139 TSecr=457603836"
"69","1.977624","192.168.2.2","192.168.1.2","TCP","66","272896","5001  >  48038 [ACK] Seq=1 Ack=241817 Win=272896 Len=0 TSval=552383211 TSecr=457603873"
"71","2.013569","192.168.2.2","192.168.1.2","TCP","66","359936","5001  >  48038 [ACK] Seq=1 Ack=285257 Win=359936 Len=0 TSval=552383247 TSecr=457603874"
"75","2.379125","192.168.2.2","192.168.1.2","TCP","66","397312","5001  >  48038 [ACK] Seq=1 Ack=304081 Win=397312 Len=0 TSval=552383613 TSecr=457604127"
"78","2.536393","192.168.2.2","192.168.1.2","TCP","66","411648","5001  >  48038 [ACK] Seq=1 Ack=315665 Win=411648 Len=0 TSval=552383770 TSecr=457604152"
"81","2.633372","192.168.2.2","192.168.1.2","TCP","66","411648","5001  >  48038 [ACK] Seq=1 Ack=324353 Win=411648 Len=0 TSval=552383867 TSecr=457604202"
"82","2.705903","192.168.2.2","192.168.1.2","TCP","66","411648","5001  >  48038 [ACK] Seq=1 Ack=328697 Win=411648 Len=0 TSval=552383939 TSecr=457604236"
"83","2.743111","192.168.2.2","192.168.1.2","TCP","66","404480","5001  >  48038 [ACK] Seq=1 Ack=361457 Win=404480 Len=0 TSval=552383976 TSecr=457604236"
"85","3.017015","192.168.2.2","192.168.1.2","TCP","66","411648","5001  >  48038 [ACK] Seq=1 Ack=371593 Win=411648 Len=0 TSval=552384250 TSecr=457604563"
"88","3.102809","192.168.2.2","192.168.1.2","TCP","66","411648","5001  >  48038 [ACK] Seq=1 Ack=372137 Win=411648 Len=0 TSval=552384336 TSecr=457604563"
"90","3.107024","192.168.2.2","192.168.1.2","TCP","66","393728","5001  >  48038 [ACK] Seq=1 Ack=427161 Win=393728 Len=0 TSval=552384340 TSecr=457604599"
"93","3.567365","192.168.2.2","192.168.1.2","TCP","66","411648","5001  >  48038 [ACK] Seq=1 Ack=435849 Win=411648 Len=0 TSval=552384800 TSecr=457604854"
"95","3.639805","192.168.2.2","192.168.1.2","TCP","66","411648","5001  >  48038 [ACK] Seq=1 Ack=437297 Win=411648 Len=0 TSval=552384873 TSecr=457604926"
"97","3.652532","192.168.2.2","192.168.1.2","TCP","66","397824","5001  >  48038 [ACK] Seq=1 Ack=483633 Win=397824 Len=0 TSval=552384885 TSecr=457604962"
"99","4.040244","192.168.2.2","192.168.1.2","TCP","66","411648","5001  >  48038 [ACK] Seq=1 Ack=502457 Win=411648 Len=0 TSval=552385273 TSecr=457605328"
"102","4.198494","192.168.2.2","192.168.1.2","TCP","66","527360","5001  >  48038 [ACK] Seq=1 Ack=560377 Win=527360 Len=0 TSval=552385431 TSecr=457605691"
"105","4.682575","192.168.2.2","192.168.1.2","TCP","66","541696","5001  >  48038 [ACK] Seq=1 Ack=567617 Win=541696 Len=0 TSval=552385915 TSecr=457605965"
"108","4.743394","192.168.2.2","192.168.1.2","TCP","66","550400","5001  >  48038 [ACK] Seq=1 Ack=571961 Win=550400 Len=0 TSval=552385976 TSecr=457606051"
"110","4.780551","192.168.2.2","192.168.1.2","TCP","66","660480","5001  >  48038 [ACK] Seq=1 Ack=626985 Win=660480 Len=0 TSval=552386013 TSecr=457606055"
"115","5.240019","192.168.2.2","192.168.1.2","TCP","66","672256","5001  >  48038 [ACK] Seq=1 Ack=632777 Win=672256 Len=0 TSval=552386472 TSecr=457606515"
"117","5.288697","192.168.2.2","192.168.1.2","TCP","66","680960","5001  >  48038 [ACK] Seq=1 Ack=637121 Win=680960 Len=0 TSval=552386521 TSecr=457606588"
"119","5.324774","192.168.2.2","192.168.1.2","TCP","66","756224","5001  >  48038 [ACK] Seq=1 Ack=674769 Win=756224 Len=0 TSval=552386557 TSecr=457606988"
"121","5.640445","192.168.2.2","192.168.1.2","TCP","66","793600","5001  >  48038 [ACK] Seq=1 Ack=697937 Win=793600 Len=0 TSval=552386872 TSecr=457607146"
"123","5.834257","192.168.2.2","192.168.1.2","TCP","66","781824","5001  >  48038 [ACK] Seq=1 Ack=760201 Win=781824 Len=0 TSval=552387066 TSecr=457607264"
"129","6.355500","192.168.2.2","192.168.1.2","TCP","66","793600","5001  >  48038 [ACK] Seq=1 Ack=763097 Win=793600 Len=0 TSval=552387587 TSecr=457607630"
"131","6.380041","192.168.2.2","192.168.1.2","TCP","66","793600","5001  >  48038 [ACK] Seq=1 Ack=771785 Win=793600 Len=0 TSval=552387611 TSecr=457607691"
"133","6.452509","192.168.2.2","192.168.1.2","TCP","66","785408","5001  >  48038 [ACK] Seq=1 Ack=826809 Win=785408 Len=0 TSval=552387684 TSecr=457607728"
"138","6.913396","192.168.2.2","192.168.1.2","TCP","66","793600","5001  >  48038 [ACK] Seq=1 Ack=828257 Win=793600 Len=0 TSval=552388145 TSecr=457608187"
"140","6.925910","192.168.2.2","192.168.1.2","TCP","66","793600","5001  >  48038 [ACK] Seq=1 Ack=836945 Win=793600 Len=0 TSval=552388157 TSecr=457608236"
"142","6.998666","192.168.2.2","192.168.1.2","TCP","66","793600","5001  >  48038 [ACK] Seq=1 Ack=874593 Win=793600 Len=0 TSval=552388230 TSecr=457608587"
"144","7.313703","192.168.2.2","192.168.1.2","TCP","66","793600","5001  >  48038 [ACK] Seq=1 Ack=893417 Win=793600 Len=0 TSval=552388545 TSecr=457608781"
"146","7.471219","192.168.2.2","192.168.1.2","TCP","66","780288","5001  >  48038 [ACK] Seq=1 Ack=958577 Win=780288 Len=0 TSval=552388702 TSecr=457608781"
"150","8.016710","192.168.2.2","192.168.1.2","TCP","66","793600","5001  >  48038 [ACK] Seq=1 Ack=960025 Win=793600 Len=0 TSval=552389247 TSecr=457608782"
"153","8.029332","192.168.2.2","192.168.1.2","TCP","66","793600","5001  >  48038 [ACK] Seq=1 Ack=962921 Win=793600 Len=0 TSval=552389260 TSecr=457609302"
"156","8.053882","192.168.2.2","192.168.1.2","TCP","66","793600","5001  >  48038 [ACK] Seq=1 Ack=971609 Win=793600 Len=0 TSval=552389285 TSecr=457609327"
"158","8.126512","192.168.2.2","192.168.1.2","TCP","66","786944","5001  >  48038 [ACK] Seq=1 Ack=1023737 Win=786944 Len=0 TSval=552389357 TSecr=457609399"
"161","8.562578","192.168.2.2","192.168.1.2","TCP","66","793600","5001  >  48038 [ACK] Seq=1 Ack=1026633 Win=793600 Len=0 TSval=552389793 TSecr=457609821"
"163","8.587065","192.168.2.2","192.168.1.2","TCP","66","793600","5001  >  48038 [ACK] Seq=1 Ack=1028081 Win=793600 Len=0 TSval=552389817 TSecr=457609860"
"164","8.598774","192.168.2.2","192.168.1.2","TCP","66","793600","5001  >  48038 [ACK] Seq=1 Ack=1036769 Win=793600 Len=0 TSval=552389829 TSecr=457609872"
"166","8.672023","192.168.2.2","192.168.1.2","TCP","66","793600","5001  >  48038 [ACK] Seq=1 Ack=1065729 Win=793600 Len=0 TSval=552389902 TSecr=457610260"
"168","8.915492","192.168.2.2","192.168.1.2","TCP","66","793600","5001  >  48038 [ACK] Seq=1 Ack=1088897 Win=793600 Len=0 TSval=552390146 TSecr=457610417"
"172","9.108083","192.168.2.2","192.168.1.2","TCP","66","780288","5001  >  48038 [ACK] Seq=1 Ack=1154057 Win=780288 Len=0 TSval=552390338 TSecr=457610418"
"175","9.653161","192.168.2.2","192.168.1.2","TCP","66","802304","5001  >  48038 [ACK] Seq=1 Ack=1158401 Win=802304 Len=0 TSval=552390883 TSecr=457610845"
"177","9.689701","192.168.2.2","192.168.1.2","TCP","66","805376","5001  >  48038 [ACK] Seq=1 Ack=1159849 Win=805376 Len=0 TSval=552390919 TSecr=457610962"
"179","9.701804","192.168.2.2","192.168.1.2","TCP","66","811008","5001  >  48038 [ACK] Seq=1 Ack=1162745 Win=811008 Len=0 TSval=552390932 TSecr=457610975"
"182","9.726575","192.168.2.2","192.168.1.2","TCP","66","817152","5001  >  48038 [ACK] Seq=1 Ack=1171433 Win=817152 Len=0 TSval=552390956 TSecr=457611000"
"183","9.800462","192.168.2.2","192.168.1.2","TCP","66","812544","5001  >  48038 [ACK] Seq=1 Ack=1219217 Win=812544 Len=0 TSval=552391030 TSecr=457611072"
"187","10.199822","192.168.2.2","192.168.1.2","TCP","66","817152","5001  >  48038 [ACK] Seq=1 Ack=1223561 Win=817152 Len=0 TSval=552391429 TSecr=457611073"
"188","10.235341","192.168.2.2","192.168.1.2","TCP","66","817152","5001  >  48038 [ACK] Seq=1 Ack=1226457 Win=817152 Len=0 TSval=552391465 TSecr=457611508"
"189","10.259617","192.168.2.2","192.168.1.2","TCP","66","817152","5001  >  48038 [ACK] Seq=1 Ack=1256865 Win=817152 Len=0 TSval=552391489 TSecr=457611617"
"190","10.514510","192.168.2.2","192.168.1.2","TCP","66","817152","5001  >  48038 [ACK] Seq=1 Ack=1284377 Win=817152 Len=0 TSval=552391744 TSecr=457611861"
"191","10.744292","192.168.2.2","192.168.1.2","TCP","66","817152","5001  >  48038 [ACK] Seq=1 Ack=1288721 Win=817152 Len=0 TSval=552391974 TSecr=457611869"
"193","10.781091","192.168.2.2","192.168.1.2","TCP","66","806400","5001  >  48038 [ACK] Seq=1 Ack=1349537 Win=806400 Len=0 TSval=552392010 TSecr=457612053"
"195","11.289847","192.168.2.2","192.168.1.2","TCP","66","817152","5001  >  48038 [ACK] Seq=1 Ack=1353881 Win=817152 Len=0 TSval=552392519 TSecr=457612381"
"196","11.326941","192.168.2.2","192.168.1.2","TCP","66","817152","5001  >  48038 [ACK] Seq=1 Ack=1358225 Win=817152 Len=0 TSval=552392556 TSecr=457612598"
"197","11.362497","192.168.2.2","192.168.1.2","TCP","66","817152","5001  >  48038 [ACK] Seq=1 Ack=1359673 Win=817152 Len=0 TSval=552392591 TSecr=457612635"
"198","11.374951","192.168.2.2","192.168.1.2","TCP","66","817152","5001  >  48038 [ACK] Seq=1 Ack=1362569 Win=817152 Len=0 TSval=552392604 TSecr=457612647"
"199","11.399471","192.168.2.2","192.168.1.2","TCP","66","810496","5001  >  48038 [ACK] Seq=1 Ack=1414697 Win=810496 Len=0 TSval=552392628 TSecr=457612745"
"201","11.835128","192.168.2.2","192.168.1.2","TCP","66","817152","5001  >  48038 [ACK] Seq=1 Ack=1419041 Win=817152 Len=0 TSval=552393064 TSecr=457612892"
"206","11.872736","192.168.2.2","192.168.1.2","TCP","66","817152","5001  >  48038 [ACK] Seq=1 Ack=1420489 Win=817152 Len=0 TSval=552393101 TSecr=457614343"
"210","11.884834","192.168.2.2","192.168.1.2","TCP","66","817152","5001  >  48038 [ACK] Seq=1 Ack=1423385 Win=817152 Len=0 TSval=552393114 TSecr=457614779"
"213","11.909561","192.168.2.2","192.168.1.2","TCP","66","817152","5001  >  48038 [ACK] Seq=1 Ack=1424833 Win=817152 Len=0 TSval=552393138 TSecr=457614779"
"215","11.922339","192.168.2.2","192.168.1.2","TCP","66","808960","5001  >  48038 [ACK] Seq=1 Ack=1479857 Win=808960 Len=0 TSval=552393151 TSecr=457614816"
"219","12.381992","192.168.2.2","192.168.1.2","TCP","66","803840","5001  >  48038 [ACK] Seq=1 Ack=1545017 Win=803840 Len=0 TSval=552393610 TSecr=457614817"
"222","12.927393","192.168.2.2","192.168.1.2","TCP","66","803840","5001  >  48038 [ACK] Seq=1 Ack=1610177 Win=803840 Len=0 TSval=552394156 TSecr=457614818"
"226","13.471843","192.168.2.2","192.168.1.2","TCP","66","817152","5001  >  48038 [ACK] Seq=1 Ack=1621761 Win=817152 Len=0 TSval=552394700 TSecr=457614822"
"228","13.569099","192.168.2.2","192.168.1.2","TCP","66","817152","5001  >  48038 [ACK] Seq=1 Ack=1627553 Win=817152 Len=0 TSval=552394797 TSecr=457614829"
"230","13.617378","192.168.2.2","192.168.1.2","TCP","66","817152","5001  >  48038 [ACK] Seq=1 Ack=1630449 Win=817152 Len=0 TSval=552394845 TSecr=457614853"
"232","13.641871","192.168.2.2","192.168.1.2","TCP","66","814080","5001  >  48038 [ACK] Seq=1 Ack=1675337 Win=814080 Len=0 TSval=552394870 TSecr=457614866"
"233","14.017242","192.168.2.2","192.168.1.2","TCP","66","803840","5001  >  48038 [ACK] Seq=1 Ack=1740497 Win=803840 Len=0 TSval=552395245 TSecr=457614867"
"236","14.562414","192.168.2.2","192.168.1.2","TCP","66","803840","5001  >  48038 [ACK] Seq=1 Ack=1805657 Win=803840 Len=0 TSval=552395790 TSecr=457615326"
"239","15.107504","192.168.2.2","192.168.1.2","TCP","66","803840","5001  >  48038 [ACK] Seq=1 Ack=1870817 Win=803840 Len=0 TSval=552396335 TSecr=457615326"
"241","15.653511","192.168.2.2","192.168.1.2","TCP","66","803840","5001  >  48038 [ACK] Seq=1 Ack=1935977 Win=803840 Len=0 TSval=552396880 TSecr=457615871"
"243","16.198351","192.168.2.2","192.168.1.2","TCP","66","803840","5001  >  48038 [ACK] Seq=1 Ack=2001137 Win=803840 Len=0 TSval=552397425 TSecr=457615871"
"245","16.743352","192.168.2.2","192.168.1.2","TCP","66","817152","5001  >  48038 [ACK] Seq=1 Ack=2024305 Win=817152 Len=0 TSval=552397970 TSecr=457616415"
"249","16.937694","192.168.2.2","192.168.1.2","TCP","66","817152","5001  >  48038 [ACK] Seq=1 Ack=2035889 Win=817152 Len=0 TSval=552398164 TSecr=457616512"
"254","17.034774","192.168.2.2","192.168.1.2","TCP","66","817152","5001  >  48038 [ACK] Seq=1 Ack=2041681 Win=817152 Len=0 TSval=552398261 TSecr=457616560"
"258","17.085400","192.168.2.2","192.168.1.2","TCP","66","817152","5001  >  48038 [ACK] Seq=1 Ack=2044577 Win=817152 Len=0 TSval=552398312 TSecr=457619685"
"261","17.109688","192.168.2.2","192.168.1.2","TCP","66","817152","5001  >  48038 [ACK] Seq=1 Ack=2047473 Win=817152 Len=0 TSval=552398336 TSecr=457619703"
"265","17.134423","192.168.2.2","192.168.1.2","TCP","66","817152","5001  >  48038 [ACK] Seq=1 Ack=2050369 Win=817152 Len=0 TSval=552398360 TSecr=457619721"
"267","17.158593","192.168.2.2","192.168.1.2","TCP","66","817152","5001  >  48038 [ACK] Seq=1 Ack=2053265 Win=817152 Len=0 TSval=552398385 TSecr=457619879"
"269","17.182329","192.168.2.2","192.168.1.2","TCP","66","817152","5001  >  48038 [ACK] Seq=1 Ack=2056161 Win=817152 Len=0 TSval=552398408 TSecr=457619895"
"272","17.206856","192.168.2.2","192.168.1.2","TCP","66","817152","5001  >  48038 [ACK] Seq=1 Ack=2059057 Win=817152 Len=0 TSval=552398433 TSecr=457619909"
"274","17.231265","192.168.2.2","192.168.1.2","TCP","66","817152","5001  >  48038 [ACK] Seq=1 Ack=2061953 Win=817152 Len=0 TSval=552398457 TSecr=457619924"
"276","17.255838","192.168.2.2","192.168.1.2","TCP","66","817152","5001  >  48038 [ACK] Seq=1 Ack=2064849 Win=817152 Len=0 TSval=552398482 TSecr=457620027"
"277","17.279410","192.168.2.2","192.168.1.2","TCP","66","817152","5001  >  48038 [ACK] Seq=1 Ack=2066297 Win=817152 Len=0 TSval=552398505 TSecr=457620045"
"278","17.292186","192.168.2.2","192.168.1.2","TCP","66","817152","5001  >  48038 [ACK] Seq=1 Ack=2069193 Win=817152 Len=0 TSval=552398518 TSecr=457620054"
"280","17.316312","192.168.2.2","192.168.1.2","TCP","66","817152","5001  >  48038 [ACK] Seq=1 Ack=2072089 Win=817152 Len=0 TSval=552398542 TSecr=457620073"
"282","17.341045","192.168.2.2","192.168.1.2","TCP","66","817152","5001  >  48038 [ACK] Seq=1 Ack=2074985 Win=817152 Len=0 TSval=552398567 TSecr=457620092"
"285","17.364758","192.168.2.2","192.168.1.2","TCP","66","817152","5001  >  48038 [ACK] Seq=1 Ack=2077881 Win=817152 Len=0 TSval=552398591 TSecr=457620111"
"288","17.389068","192.168.2.2","192.168.1.2","TCP","66","817152","5001  >  48038 [ACK] Seq=1 Ack=2080777 Win=817152 Len=0 TSval=552398615 TSecr=457620129"
"291","17.426373","192.168.2.2","192.168.1.2","TCP","66","817152","5001  >  48038 [ACK] Seq=1 Ack=2085121 Win=817152 Len=0 TSval=552398652 TSecr=457620148"
"295","17.449885","192.168.2.2","192.168.1.2","TCP","66","817152","5001  >  48038 [ACK] Seq=1 Ack=2088017 Win=817152 Len=0 TSval=552398676 TSecr=457620176"
"298","17.486106","192.168.2.2","192.168.1.2","TCP","66","817152","5001  >  48038 [ACK] Seq=1 Ack=2090913 Win=817152 Len=0 TSval=552398712 TSecr=457620257"
"301","17.510701","192.168.2.2","192.168.1.2","TCP","66","817152","5001  >  48038 [ACK] Seq=1 Ack=2093809 Win=817152 Len=0 TSval=552398737 TSecr=457620294"
"303","17.534647","192.168.2.2","192.168.1.2","TCP","66","817152","5001  >  48038 [ACK] Seq=1 Ack=2096705 Win=817152 Len=0 TSval=552398761 TSecr=457620317"
"305","17.558711","192.168.2.2","192.168.1.2","TCP","66","817152","5001  >  48038 [ACK] Seq=1 Ack=2099601 Win=817152 Len=0 TSval=552398785 TSecr=457620342"
"306","17.582781","192.168.2.2","192.168.1.2","TCP","66","817152","5001  >  48038 [ACK] Seq=1 Ack=2102497 Win=817152 Len=0 TSval=552398809 TSecr=457620379"
"309","17.607267","192.168.2.2","192.168.1.2","TCP","66","817152","5001  >  48038 [ACK] Seq=1 Ack=2105393 Win=817152 Len=0 TSval=552398833 TSecr=457620403"
"311","17.619155","192.168.2.2","192.168.1.2","TCP","66","817152","5001  >  48038 [ACK] Seq=1 Ack=2108289 Win=817152 Len=0 TSval=552398845 TSecr=457620427"
"314","17.643697","192.168.2.2","192.168.1.2","TCP","66","817152","5001  >  48038 [ACK] Seq=1 Ack=2111185 Win=817152 Len=0 TSval=552398869 TSecr=457620446"
"317","17.667602","192.168.2.2","192.168.1.2","TCP","66","817152","5001  >  48038 [ACK] Seq=1 Ack=2114081 Win=817152 Len=0 TSval=552398893 TSecr=457620464"
"320","17.692099","192.168.2.2","192.168.1.2","TCP","66","817152","5001  >  48038 [ACK] Seq=1 Ack=2116977 Win=817152 Len=0 TSval=552398918 TSecr=457620483"
"324","17.728123","192.168.2.2","192.168.1.2","TCP","66","817152","5001  >  48038 [ACK] Seq=1 Ack=2119873 Win=817152 Len=0 TSval=552398954 TSecr=457620524"
"327","17.752618","192.168.2.2","192.168.1.2","TCP","66","817152","5001  >  48038 [ACK] Seq=1 Ack=2122769 Win=817152 Len=0 TSval=552398978 TSecr=457620555"
"330","17.777148","192.168.2.2","192.168.1.2","TCP","66","817152","5001  >  48038 [ACK] Seq=1 Ack=2125665 Win=817152 Len=0 TSval=552399003 TSecr=457620583"
"333","17.801624","192.168.2.2","192.168.1.2","TCP","66","817152","5001  >  48038 [ACK] Seq=1 Ack=2128561 Win=817152 Len=0 TSval=552399027 TSecr=457620606"
"336","17.825107","192.168.2.2","192.168.1.2","TCP","66","817152","5001  >  48038 [ACK] Seq=1 Ack=2131457 Win=817152 Len=0 TSval=552399051 TSecr=457620629"
"339","17.849235","192.168.2.2","192.168.1.2","TCP","66","817152","5001  >  48038 [ACK] Seq=1 Ack=2134353 Win=817152 Len=0 TSval=552399075 TSecr=457620652"
"342","17.874119","192.168.2.2","192.168.1.2","TCP","66","817152","5001  >  48038 [ACK] Seq=1 Ack=2137249 Win=817152 Len=0 TSval=552399100 TSecr=457620675"
"345","17.897697","192.168.2.2","192.168.1.2","TCP","66","817152","5001  >  48038 [ACK] Seq=1 Ack=2140145 Win=817152 Len=0 TSval=552399123 TSecr=457620698"
"348","17.921950","192.168.2.2","192.168.1.2","TCP","66","817152","5001  >  48038 [ACK] Seq=1 Ack=2143041 Win=817152 Len=0 TSval=552399148 TSecr=457620720"
"351","17.946445","192.168.2.2","192.168.1.2","TCP","66","817152","5001  >  48038 [ACK] Seq=1 Ack=2145937 Win=817152 Len=0 TSval=552399172 TSecr=457620743"
