No.,Time,Source,Destination,Protocol,Length,Calculated window size,Info
2,0.034287,192.168.2.2,192.168.1.2,TCP,66,125,5001  >  58166 [ACK] Seq=1 Ack=4294955713 Win=125 Len=0 TSval=1140249938 TSecr=1525035151
5,0.118574,192.168.2.2,192.168.1.2,TCP,66,165,5001  >  58166 [ACK] Seq=1 Ack=4294965849 Win=165 Len=0 TSval=1140250022 TSecr=1525035152
9,0.203358,192.168.2.2,192.168.1.2,TCP,66,170,5001  >  58166 [ACK] Seq=1 Ack=1 Win=170 Len=0 TSval=1140250107 TSecr=1525035152
12,0.217136,192.168.2.2,192.168.1.2,TCP,66,176,5001  >  58166 [ACK] Seq=1 Ack=1449 Win=176 Len=0 TSval=1140250120 TSecr=1525035165
14,0.228831,192.168.2.2,192.168.1.2,TCP,66,238,5001  >  58166 [ACK] Seq=1 Ack=17377 Win=238 Len=0 TSval=1140250132 TSecr=1525035200
16,0.362156,192.168.2.2,192.168.1.2,TCP,66,249,5001  >  58166 [ACK] Seq=1 Ack=20273 Win=249 Len=0 TSval=1140250265 TSecr=1525035225
18,0.386339,192.168.2.2,192.168.1.2,TCP,66,255,5001  >  58166 [ACK] Seq=1 Ack=21721 Win=255 Len=0 TSval=1140250289 TSecr=1525035284
20,0.398407,192.168.2.2,192.168.1.2,TCP,66,329,5001  >  58166 [ACK] Seq=1 Ack=40545 Win=329 Len=0 TSval=1140250302 TSecr=1525035285
24,0.555785,192.168.2.2,192.168.1.2,TCP,66,334,5001  >  58166 [ACK] Seq=1 Ack=41993 Win=334 Len=0 TSval=1140250459 TSecr=1525035342
26,0.567932,192.168.2.2,192.168.1.2,TCP,66,340,5001  >  58166 [ACK] Seq=1 Ack=43441 Win=340 Len=0 TSval=1140250471 TSecr=1525035369
28,0.580013,192.168.2.2,192.168.1.2,TCP,66,351,5001  >  58166 [ACK] Seq=1 Ack=46337 Win=351 Len=0 TSval=1140250483 TSecr=1525035382
30,0.60442,192.168.2.2,192.168.1.2,TCP,66,346,5001  >  58166 [ACK] Seq=1 Ack=65161 Win=346 Len=0 TSval=1140250507 TSecr=1525035394
32,0.761898,192.168.2.2,192.168.1.2,TCP,66,346,5001  >  58166 [ACK] Seq=1 Ack=83985 Win=346 Len=0 TSval=1140250665 TSecr=1525035527
35,0.9197,192.168.2.2,192.168.1.2,TCP,66,362,5001  >  58166 [ACK] Seq=1 Ack=86881 Win=362 Len=0 TSval=1140250823 TSecr=1525035552
37,0.944249,192.168.2.2,192.168.1.2,TCP,66,420,5001  >  58166 [ACK] Seq=1 Ack=118737 Win=420 Len=0 TSval=1140250847 TSecr=1525035564
41,1.20985,192.168.2.2,192.168.1.2,TCP,66,442,5001  >  58166 [ACK] Seq=1 Ack=127425 Win=442 Len=0 TSval=1140251113 TSecr=1525035721
43,1.283486,192.168.2.2,192.168.1.2,TCP,66,442,5001  >  58166 [ACK] Seq=1 Ack=130321 Win=442 Len=0 TSval=1140251186 TSecr=1525035733
45,1.306984,192.168.2.2,192.168.1.2,TCP,66,442,5001  >  58166 [ACK] Seq=1 Ack=136113 Win=442 Len=0 TSval=1140251210 TSecr=1525035745
48,1.355916,192.168.2.2,192.168.1.2,TCP,66,437,5001  >  58166 [ACK] Seq=1 Ack=150593 Win=437 Len=0 TSval=1140251259 TSecr=1525035770
52,1.476475,192.168.2.2,192.168.1.2,TCP,66,420,5001  >  58166 [ACK] Seq=1 Ack=182449 Win=420 Len=0 TSval=1140251379 TSecr=1525035927
55,1.742965,192.168.2.2,192.168.1.2,TCP,66,566,5001  >  58166 [ACK] Seq=1 Ack=214305 Win=566 Len=0 TSval=1140251645 TSecr=1525036085
58,2.009639,192.168.2.2,192.168.1.2,TCP,66,691,5001  >  58166 [ACK] Seq=1 Ack=246161 Win=691 Len=0 TSval=1140251912 TSecr=1525036109
63,2.277784,192.168.2.2,192.168.1.2,TCP,66,823,5001  >  58166 [ACK] Seq=1 Ack=280913 Win=823 Len=0 TSval=1140252180 TSecr=1525036284
67,2.568459,192.168.2.2,192.168.1.2,TCP,66,838,5001  >  58166 [ACK] Seq=1 Ack=298289 Win=838 Len=0 TSval=1140252471 TSecr=1525036375
69,2.713821,192.168.2.2,192.168.1.2,TCP,66,838,5001  >  58166 [ACK] Seq=1 Ack=304081 Win=838 Len=0 TSval=1140252616 TSecr=1525036448
71,2.762386,192.168.2.2,192.168.1.2,TCP,66,838,5001  >  58166 [ACK] Seq=1 Ack=306977 Win=838 Len=0 TSval=1140252664 TSecr=1525036472
73,2.786807,192.168.2.2,192.168.1.2,TCP,66,820,5001  >  58166 [ACK] Seq=1 Ack=344625 Win=820 Len=0 TSval=1140252689 TSecr=1525036521
76,3.101402,192.168.2.2,192.168.1.2,TCP,66,835,5001  >  58166 [ACK] Seq=1 Ack=367793 Win=835 Len=0 TSval=1140253003 TSecr=1525036641
78,3.295465,192.168.2.2,192.168.1.2,TCP,66,832,5001  >  58166 [ACK] Seq=1 Ack=393857 Win=832 Len=0 TSval=1140253197 TSecr=1525036796
81,3.514142,192.168.2.2,192.168.1.2,TCP,66,826,5001  >  58166 [ACK] Seq=1 Ack=425713 Win=826 Len=0 TSval=1140253416 TSecr=1525036907
84,3.779808,192.168.2.2,192.168.1.2,TCP,66,838,5001  >  58166 [ACK] Seq=1 Ack=428609 Win=838 Len=0 TSval=1140253681 TSecr=1525037174
87,3.805391,192.168.2.2,192.168.1.2,TCP,66,951,5001  >  58166 [ACK] Seq=1 Ack=457569 Win=951 Len=0 TSval=1140253707 TSecr=1525037308
90,4.048131,192.168.2.2,192.168.1.2,TCP,66,1075,5001  >  58166 [ACK] Seq=1 Ack=489425 Win=1075 Len=0 TSval=1140253949 TSecr=1525037442
93,4.314186,192.168.2.2,192.168.1.2,TCP,66,1154,5001  >  58166 [ACK] Seq=1 Ack=509697 Win=1154 Len=0 TSval=1140254215 TSecr=1525037733
95,4.483624,192.168.2.2,192.168.1.2,TCP,66,1177,5001  >  58166 [ACK] Seq=1 Ack=515489 Win=1177 Len=0 TSval=1140254385 TSecr=1525037878
97,4.532162,192.168.2.2,192.168.1.2,TCP,66,1188,5001  >  58166 [ACK] Seq=1 Ack=518385 Win=1188 Len=0 TSval=1140254433 TSecr=1525037926
99,4.556823,192.168.2.2,192.168.1.2,TCP,66,1239,5001  >  58166 [ACK] Seq=1 Ack=554585 Win=1239 Len=0 TSval=1140254458 TSecr=1525037951
103,4.859886,192.168.2.2,192.168.1.2,TCP,66,1245,5001  >  58166 [ACK] Seq=1 Ack=579201 Win=1245 Len=0 TSval=1140254761 TSecr=1525038265
108,5.066368,192.168.2.2,192.168.1.2,TCP,66,1245,5001  >  58166 [ACK] Seq=1 Ack=605265 Win=1245 Len=0 TSval=1140254967 TSecr=1525038459
