No.,Time,Source,Destination,Protocol,Length,Calculated window size,Info
2,0.000025,192.168.2.2,192.168.1.2,TCP,74,43440,"5001  >  53148 [SYN, ACK] Seq=0 Ack=1 Win=43440 Len=0 MSS=1460 SACK_PERM=1 TSval=2325379498 TSecr=1376419421 WS=512"
5,0.000085,192.168.2.2,192.168.1.2,TCP,66,39936,5001  >  53148 [ACK] Seq=1 Ack=7241 Win=39936 Len=0 TSval=2325379498 TSecr=1376419421
12,0.049779,192.168.2.2,192.168.1.2,TCP,66,38400,5001  >  53148 [ACK] Seq=1 Ack=17377 Win=38400 Len=0 TSval=2325379548 TSecr=1376419421
15,0.134581,192.168.2.2,192.168.1.2,TCP,66,38400,5001  >  53148 [ACK] Seq=1 Ack=27513 Win=38400 Len=0 TSval=2325379632 TSecr=1376419421
19,0.219473,192.168.2.2,192.168.1.2,TCP,66,42496,5001  >  53148 [ACK] Seq=1 Ack=28961 Win=42496 Len=0 TSval=2325379717 TSecr=1376419421
21,0.231403,192.168.2.2,192.168.1.2,TCP,66,42496,5001  >  53148 [ACK] Seq=1 Ack=30409 Win=42496 Len=0 TSval=2325379729 TSecr=1376419436
24,0.243983,192.168.2.2,192.168.1.2,TCP,66,35328,5001  >  53148 [ACK] Seq=1 Ack=46337 Win=35328 Len=0 TSval=2325379742 TSecr=1376419471
29,0.377246,192.168.2.2,192.168.1.2,TCP,66,41984,5001  >  53148 [ACK] Seq=1 Ack=49233 Win=41984 Len=0 TSval=2325379875 TSecr=1376419496
31,0.400996,192.168.2.2,192.168.1.2,TCP,66,45568,5001  >  53148 [ACK] Seq=1 Ack=50681 Win=45568 Len=0 TSval=2325379899 TSecr=1376419555
33,0.413587,192.168.2.2,192.168.1.2,TCP,66,75776,5001  >  53148 [ACK] Seq=1 Ack=65913 Win=75776 Len=0 TSval=2325379911 TSecr=1376419555
38,0.540957,192.168.2.2,192.168.1.2,TCP,78,75776,[TCP Dup ACK 33#1] 5001  >  53148 [ACK] Seq=1 Ack=65913 Win=75776 Len=0 TSval=2325380038 TSecr=1376419612 SLE=65161 SRE=65913
40,0.547909,192.168.2.2,192.168.1.2,TCP,66,84480,5001  >  53148 [ACK] Seq=1 Ack=70257 Win=84480 Len=0 TSval=2325380045 TSecr=1376419640
43,0.583658,192.168.2.2,192.168.1.2,TCP,66,87552,5001  >  53148 [ACK] Seq=1 Ack=71705 Win=87552 Len=0 TSval=2325380081 TSecr=1376419652
45,0.596084,192.168.2.2,192.168.1.2,TCP,66,90112,5001  >  53148 [ACK] Seq=1 Ack=72401 Win=90112 Len=0 TSval=2325380094 TSecr=1376419652
47,0.601909,192.168.2.2,192.168.1.2,TCP,66,93184,5001  >  53148 [ACK] Seq=1 Ack=81089 Win=93184 Len=0 TSval=2325380099 TSecr=1376419665
49,0.674509,192.168.2.2,192.168.1.2,TCP,66,93184,5001  >  53148 [ACK] Seq=1 Ack=89777 Win=93184 Len=0 TSval=2325380172 TSecr=1376419798
52,0.747311,192.168.2.2,192.168.1.2,TCP,66,95232,5001  >  53148 [ACK] Seq=1 Ack=94121 Win=95232 Len=0 TSval=2325380245 TSecr=1376419822
54,0.783558,192.168.2.2,192.168.1.2,TCP,66,86528,5001  >  53148 [ACK] Seq=1 Ack=115841 Win=86528 Len=0 TSval=2325380281 TSecr=1376419834
56,0.965843,192.168.2.2,192.168.1.2,TCP,66,86528,5001  >  53148 [ACK] Seq=1 Ack=137561 Win=86528 Len=0 TSval=2325380463 TSecr=1376419834
