PING 192.168.2.2 (192.168.2.2) 56(84) bytes of data.
64 bytes from 192.168.2.2: icmp_seq=1 ttl=63 time=48.9 ms
64 bytes from 192.168.2.2: icmp_seq=2 ttl=63 time=692 ms
64 bytes from 192.168.2.2: icmp_seq=3 ttl=63 time=1691 ms
64 bytes from 192.168.2.2: icmp_seq=4 ttl=63 time=1807 ms
64 bytes from 192.168.2.2: icmp_seq=5 ttl=63 time=1703 ms
64 bytes from 192.168.2.2: icmp_seq=6 ttl=63 time=1829 ms
64 bytes from 192.168.2.2: icmp_seq=7 ttl=63 time=1798 ms
64 bytes from 192.168.2.2: icmp_seq=8 ttl=63 time=1865 ms
64 bytes from 192.168.2.2: icmp_seq=9 ttl=63 time=1930 ms
64 bytes from 192.168.2.2: icmp_seq=10 ttl=63 time=1802 ms
64 bytes from 192.168.2.2: icmp_seq=11 ttl=63 time=1964 ms
64 bytes from 192.168.2.2: icmp_seq=12 ttl=63 time=964 ms
64 bytes from 192.168.2.2: icmp_seq=13 ttl=63 time=1855 ms
64 bytes from 192.168.2.2: icmp_seq=14 ttl=63 time=2907 ms
64 bytes from 192.168.2.2: icmp_seq=15 ttl=63 time=3530 ms
64 bytes from 192.168.2.2: icmp_seq=16 ttl=63 time=2516 ms
64 bytes from 192.168.2.2: icmp_seq=17 ttl=63 time=1516 ms
64 bytes from 192.168.2.2: icmp_seq=18 ttl=63 time=538 ms
64 bytes from 192.168.2.2: icmp_seq=19 ttl=63 time=155 ms
64 bytes from 192.168.2.2: icmp_seq=20 ttl=63 time=148 ms
64 bytes from 192.168.2.2: icmp_seq=21 ttl=63 time=141 ms
64 bytes from 192.168.2.2: icmp_seq=22 ttl=63 time=133 ms
64 bytes from 192.168.2.2: icmp_seq=23 ttl=63 time=89.6 ms
64 bytes from 192.168.2.2: icmp_seq=24 ttl=63 time=166 ms
64 bytes from 192.168.2.2: icmp_seq=25 ttl=63 time=171 ms
64 bytes from 192.168.2.2: icmp_seq=26 ttl=63 time=114 ms
64 bytes from 192.168.2.2: icmp_seq=27 ttl=63 time=118 ms
64 bytes from 192.168.2.2: icmp_seq=28 ttl=63 time=112 ms
64 bytes from 192.168.2.2: icmp_seq=29 ttl=63 time=117 ms
64 bytes from 192.168.2.2: icmp_seq=30 ttl=63 time=121 ms
64 bytes from 192.168.2.2: icmp_seq=31 ttl=63 time=114 ms
64 bytes from 192.168.2.2: icmp_seq=32 ttl=63 time=119 ms
64 bytes from 192.168.2.2: icmp_seq=33 ttl=63 time=123 ms
64 bytes from 192.168.2.2: icmp_seq=34 ttl=63 time=140 ms
64 bytes from 192.168.2.2: icmp_seq=35 ttl=63 time=145 ms
64 bytes from 192.168.2.2: icmp_seq=36 ttl=63 time=137 ms
64 bytes from 192.168.2.2: icmp_seq=37 ttl=63 time=142 ms
64 bytes from 192.168.2.2: icmp_seq=38 ttl=63 time=134 ms
64 bytes from 192.168.2.2: icmp_seq=39 ttl=63 time=138 ms
64 bytes from 192.168.2.2: icmp_seq=40 ttl=63 time=143 ms
64 bytes from 192.168.2.2: icmp_seq=41 ttl=63 time=135 ms
64 bytes from 192.168.2.2: icmp_seq=42 ttl=63 time=139 ms
64 bytes from 192.168.2.2: icmp_seq=43 ttl=63 time=144 ms
64 bytes from 192.168.2.2: icmp_seq=44 ttl=63 time=52.0 ms
64 bytes from 192.168.2.2: icmp_seq=45 ttl=63 time=189 ms
64 bytes from 192.168.2.2: icmp_seq=46 ttl=63 time=145 ms
64 bytes from 192.168.2.2: icmp_seq=47 ttl=63 time=138 ms
64 bytes from 192.168.2.2: icmp_seq=48 ttl=63 time=142 ms
64 bytes from 192.168.2.2: icmp_seq=49 ttl=63 time=134 ms
64 bytes from 192.168.2.2: icmp_seq=50 ttl=63 time=139 ms
64 bytes from 192.168.2.2: icmp_seq=51 ttl=63 time=143 ms
64 bytes from 192.168.2.2: icmp_seq=52 ttl=63 time=159 ms
64 bytes from 192.168.2.2: icmp_seq=53 ttl=63 time=140 ms
64 bytes from 192.168.2.2: icmp_seq=54 ttl=63 time=48.4 ms
64 bytes from 192.168.2.2: icmp_seq=55 ttl=63 time=184 ms
64 bytes from 192.168.2.2: icmp_seq=56 ttl=63 time=182 ms
64 bytes from 192.168.2.2: icmp_seq=57 ttl=63 time=135 ms
64 bytes from 192.168.2.2: icmp_seq=58 ttl=63 time=151 ms
64 bytes from 192.168.2.2: icmp_seq=59 ttl=63 time=144 ms
64 bytes from 192.168.2.2: icmp_seq=60 ttl=63 time=137 ms
64 bytes from 192.168.2.2: icmp_seq=61 ttl=63 time=142 ms

--- 192.168.2.2 ping statistics ---
61 packets transmitted, 61 received, 0% packet loss, time 60141ms
rtt min/avg/max/mdev = 48.400/603.760/3530.804/841.788 ms, pipe 4
