PING 192.168.2.2 (192.168.2.2) 56(84) bytes of data.
64 bytes from 192.168.2.2: icmp_seq=1 ttl=63 time=0.042 ms
64 bytes from 192.168.2.2: icmp_seq=2 ttl=63 time=692 ms
64 bytes from 192.168.2.2: icmp_seq=3 ttl=63 time=760 ms
64 bytes from 192.168.2.2: icmp_seq=4 ttl=63 time=802 ms
64 bytes from 192.168.2.2: icmp_seq=5 ttl=63 time=844 ms
64 bytes from 192.168.2.2: icmp_seq=6 ttl=63 time=910 ms
64 bytes from 192.168.2.2: icmp_seq=7 ttl=63 time=1123 ms
64 bytes from 192.168.2.2: icmp_seq=8 ttl=63 time=1431 ms
64 bytes from 192.168.2.2: icmp_seq=9 ttl=63 time=1834 ms
64 bytes from 192.168.2.2: icmp_seq=10 ttl=63 time=2372 ms
64 bytes from 192.168.2.2: icmp_seq=11 ttl=63 time=2852 ms
64 bytes from 192.168.2.2: icmp_seq=12 ttl=63 time=3361 ms
64 bytes from 192.168.2.2: icmp_seq=13 ttl=63 time=3863 ms
64 bytes from 192.168.2.2: icmp_seq=14 ttl=63 time=4367 ms
64 bytes from 192.168.2.2: icmp_seq=15 ttl=63 time=4874 ms
64 bytes from 192.168.2.2: icmp_seq=16 ttl=63 time=5363 ms
64 bytes from 192.168.2.2: icmp_seq=17 ttl=63 time=5877 ms
64 bytes from 192.168.2.2: icmp_seq=18 ttl=63 time=6386 ms
64 bytes from 192.168.2.2: icmp_seq=19 ttl=63 time=6864 ms
64 bytes from 192.168.2.2: icmp_seq=20 ttl=63 time=7379 ms
64 bytes from 192.168.2.2: icmp_seq=21 ttl=63 time=7886 ms
64 bytes from 192.168.2.2: icmp_seq=22 ttl=63 time=8375 ms
64 bytes from 192.168.2.2: icmp_seq=23 ttl=63 time=8878 ms
64 bytes from 192.168.2.2: icmp_seq=24 ttl=63 time=9386 ms
64 bytes from 192.168.2.2: icmp_seq=25 ttl=63 time=9876 ms
64 bytes from 192.168.2.2: icmp_seq=26 ttl=63 time=10402 ms
64 bytes from 192.168.2.2: icmp_seq=27 ttl=63 time=10887 ms
64 bytes from 192.168.2.2: icmp_seq=28 ttl=63 time=11387 ms
64 bytes from 192.168.2.2: icmp_seq=29 ttl=63 time=11890 ms
64 bytes from 192.168.2.2: icmp_seq=30 ttl=63 time=12385 ms
64 bytes from 192.168.2.2: icmp_seq=31 ttl=63 time=12899 ms
64 bytes from 192.168.2.2: icmp_seq=32 ttl=63 time=13413 ms
64 bytes from 192.168.2.2: icmp_seq=33 ttl=63 time=13898 ms
64 bytes from 192.168.2.2: icmp_seq=34 ttl=63 time=14400 ms
64 bytes from 192.168.2.2: icmp_seq=46 ttl=63 time=21566 ms
64 bytes from 192.168.2.2: icmp_seq=47 ttl=63 time=20940 ms
64 bytes from 192.168.2.2: icmp_seq=48 ttl=63 time=21436 ms
64 bytes from 192.168.2.2: icmp_seq=49 ttl=63 time=21925 ms
64 bytes from 192.168.2.2: icmp_seq=50 ttl=63 time=22134 ms
64 bytes from 192.168.2.2: icmp_seq=51 ttl=63 time=21125 ms
64 bytes from 192.168.2.2: icmp_seq=52 ttl=63 time=20101 ms
64 bytes from 192.168.2.2: icmp_seq=53 ttl=63 time=19079 ms
64 bytes from 192.168.2.2: icmp_seq=54 ttl=63 time=18056 ms
64 bytes from 192.168.2.2: icmp_seq=55 ttl=63 time=17033 ms
64 bytes from 192.168.2.2: icmp_seq=56 ttl=63 time=16010 ms
64 bytes from 192.168.2.2: icmp_seq=57 ttl=63 time=14987 ms
64 bytes from 192.168.2.2: icmp_seq=58 ttl=63 time=13964 ms
64 bytes from 192.168.2.2: icmp_seq=59 ttl=63 time=12941 ms
64 bytes from 192.168.2.2: icmp_seq=60 ttl=63 time=11918 ms
64 bytes from 192.168.2.2: icmp_seq=61 ttl=63 time=10895 ms

--- 192.168.2.2 ping statistics ---
61 packets transmitted, 50 received, 18% packet loss, time 60429ms
rtt min/avg/max/mdev = 0.042/10041.070/22134.956/6812.906 ms, pipe 16
