No.,Time,Source,Destination,Protocol,Length,Calculated window size,Info
4,0.000382,192.168.2.2,192.168.1.2,TCP,74,43440,"5001  >  58524 [SYN, ACK] Seq=0 Ack=1 Win=43440 Len=0 MSS=1460 SACK_PERM=1 TSval=3266799566 TSecr=2457929667 WS=512"
7,0.000428,192.168.2.2,192.168.1.2,TCP,66,39936,5001  >  58524 [ACK] Seq=1 Ack=7241 Win=39936 Len=0 TSval=3266799566 TSecr=2457929667
12,0.049719,192.168.2.2,192.168.1.2,TCP,66,39936,5001  >  58524 [ACK] Seq=1 Ack=14481 Win=39936 Len=0 TSval=3266799615 TSecr=2457929667
15,0.110753,192.168.2.2,192.168.1.2,TCP,66,38400,5001  >  58524 [ACK] Seq=1 Ack=24617 Win=38400 Len=0 TSval=3266799676 TSecr=2457929667
24,0.195077,192.168.2.2,192.168.1.2,TCP,66,40960,5001  >  58524 [ACK] Seq=1 Ack=28961 Win=40960 Len=0 TSval=3266799760 TSecr=2457929667
28,0.231439,192.168.2.2,192.168.1.2,TCP,66,42496,5001  >  58524 [ACK] Seq=1 Ack=30409 Win=42496 Len=0 TSval=3266799797 TSecr=2457929682
31,0.244244,192.168.2.2,192.168.1.2,TCP,66,38912,5001  >  58524 [ACK] Seq=1 Ack=39097 Win=38912 Len=0 TSval=3266799809 TSecr=2457929716
34,0.316607,192.168.2.2,192.168.1.2,TCP,66,40960,5001  >  58524 [ACK] Seq=1 Ack=43441 Win=40960 Len=0 TSval=3266799882 TSecr=2457929742
38,0.352828,192.168.2.2,192.168.1.2,TCP,66,41984,5001  >  58524 [ACK] Seq=1 Ack=46337 Win=41984 Len=0 TSval=3266799918 TSecr=2457929777
40,0.376915,192.168.2.2,192.168.1.2,TCP,66,41984,5001  >  58524 [ACK] Seq=1 Ack=49233 Win=41984 Len=0 TSval=3266799942 TSecr=2457929777
42,0.401424,192.168.2.2,192.168.1.2,TCP,66,42496,5001  >  58524 [ACK] Seq=1 Ack=50681 Win=42496 Len=0 TSval=3266799967 TSecr=2457929777
44,0.413105,192.168.2.2,192.168.1.2,TCP,66,41984,5001  >  58524 [ACK] Seq=1 Ack=53577 Win=41984 Len=0 TSval=3266799978 TSecr=2457929777
46,0.437649,192.168.2.2,192.168.1.2,TCP,66,41984,5001  >  58524 [ACK] Seq=1 Ack=56473 Win=41984 Len=0 TSval=3266800003 TSecr=2457929778
49,0.462108,192.168.2.2,192.168.1.2,TCP,66,41984,5001  >  58524 [ACK] Seq=1 Ack=59369 Win=41984 Len=0 TSval=3266800027 TSecr=2457929778
52,0.48577,192.168.2.2,192.168.1.2,TCP,66,41984,5001  >  58524 [ACK] Seq=1 Ack=62265 Win=41984 Len=0 TSval=3266800051 TSecr=2457929778
54,0.510708,192.168.2.2,192.168.1.2,TCP,78,42496,[TCP Window Update] 5001  >  58524 [ACK] Seq=1 Ack=62265 Win=42496 Len=0 TSval=3266800076 TSecr=2457929829 SLE=60817 SRE=62265
