PING 192.168.2.2 (192.168.2.2) 56(84) bytes of data.
64 bytes from 192.168.2.2: icmp_seq=1 ttl=63 time=226 ms
64 bytes from 192.168.2.2: icmp_seq=2 ttl=63 time=681 ms
64 bytes from 192.168.2.2: icmp_seq=3 ttl=63 time=760 ms
64 bytes from 192.168.2.2: icmp_seq=4 ttl=63 time=802 ms
64 bytes from 192.168.2.2: icmp_seq=5 ttl=63 time=868 ms
64 bytes from 192.168.2.2: icmp_seq=6 ttl=63 time=958 ms
64 bytes from 192.168.2.2: icmp_seq=7 ttl=63 time=1171 ms
64 bytes from 192.168.2.2: icmp_seq=8 ttl=63 time=1493 ms
64 bytes from 192.168.2.2: icmp_seq=9 ttl=63 time=1967 ms
64 bytes from 192.168.2.2: icmp_seq=10 ttl=63 time=2493 ms
64 bytes from 192.168.2.2: icmp_seq=11 ttl=63 time=2984 ms
64 bytes from 192.168.2.2: icmp_seq=12 ttl=63 time=3519 ms
64 bytes from 192.168.2.2: icmp_seq=13 ttl=63 time=4009 ms
64 bytes from 192.168.2.2: icmp_seq=14 ttl=63 time=4488 ms
64 bytes from 192.168.2.2: icmp_seq=17 ttl=63 time=4688 ms
64 bytes from 192.168.2.2: icmp_seq=31 ttl=63 time=3262 ms
64 bytes from 192.168.2.2: icmp_seq=32 ttl=63 time=3257 ms
64 bytes from 192.168.2.2: icmp_seq=35 ttl=63 time=3200 ms
64 bytes from 192.168.2.2: icmp_seq=37 ttl=63 time=3084 ms
64 bytes from 192.168.2.2: icmp_seq=38 ttl=63 time=2786 ms
64 bytes from 192.168.2.2: icmp_seq=39 ttl=63 time=2489 ms
64 bytes from 192.168.2.2: icmp_seq=40 ttl=63 time=2383 ms
64 bytes from 192.168.2.2: icmp_seq=41 ttl=63 time=2390 ms
64 bytes from 192.168.2.2: icmp_seq=42 ttl=63 time=2395 ms
64 bytes from 192.168.2.2: icmp_seq=43 ttl=63 time=2098 ms
64 bytes from 192.168.2.2: icmp_seq=44 ttl=63 time=1787 ms
64 bytes from 192.168.2.2: icmp_seq=45 ttl=63 time=1706 ms
64 bytes from 192.168.2.2: icmp_seq=46 ttl=63 time=1786 ms
64 bytes from 192.168.2.2: icmp_seq=47 ttl=63 time=1889 ms
64 bytes from 192.168.2.2: icmp_seq=48 ttl=63 time=1920 ms
64 bytes from 192.168.2.2: icmp_seq=49 ttl=63 time=1986 ms
64 bytes from 192.168.2.2: icmp_seq=50 ttl=63 time=2016 ms
64 bytes from 192.168.2.2: icmp_seq=51 ttl=63 time=2023 ms
64 bytes from 192.168.2.2: icmp_seq=52 ttl=63 time=2073 ms
64 bytes from 192.168.2.2: icmp_seq=53 ttl=63 time=2184 ms
64 bytes from 192.168.2.2: icmp_seq=54 ttl=63 time=2371 ms
64 bytes from 192.168.2.2: icmp_seq=55 ttl=63 time=2630 ms
64 bytes from 192.168.2.2: icmp_seq=56 ttl=63 time=2999 ms
64 bytes from 192.168.2.2: icmp_seq=57 ttl=63 time=3488 ms
64 bytes from 192.168.2.2: icmp_seq=58 ttl=63 time=3990 ms
64 bytes from 192.168.2.2: icmp_seq=59 ttl=63 time=4496 ms

--- 192.168.2.2 ping statistics ---
61 packets transmitted, 41 received, 32% packet loss, time 60496ms
rtt min/avg/max/mdev = 226.837/2385.869/4688.625/1074.544 ms, pipe 5
