"No.","Time","Source","Destination","Protocol","Length","Calculated window size","Info"
"4","0.006305","192.168.2.2","192.168.1.2","TCP","74","28960","5001  >  47916 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=550543284 TSecr=455764999 WS=512"
"7","0.006351","192.168.2.2","192.168.1.2","TCP","66","43520","5001  >  47916 [ACK] Seq=1 Ack=7241 Win=43520 Len=0 TSval=550543284 TSecr=455764999"
"12","0.056023","192.168.2.2","192.168.1.2","TCP","66","58368","5001  >  47916 [ACK] Seq=1 Ack=14481 Win=58368 Len=0 TSval=550543334 TSecr=455764999"
"15","0.115819","192.168.2.2","192.168.1.2","TCP","66","78336","5001  >  47916 [ACK] Seq=1 Ack=24617 Win=78336 Len=0 TSval=550543393 TSecr=455764999"
"24","0.201039","192.168.2.2","192.168.1.2","TCP","66","87040","5001  >  47916 [ACK] Seq=1 Ack=28961 Win=87040 Len=0 TSval=550543479 TSecr=455764999"
"28","0.237264","192.168.2.2","192.168.1.2","TCP","66","90112","5001  >  47916 [ACK] Seq=1 Ack=30409 Win=90112 Len=0 TSval=550543515 TSecr=455765012"
"30","0.249057","192.168.2.2","192.168.1.2","TCP","66","107520","5001  >  47916 [ACK] Seq=1 Ack=39097 Win=107520 Len=0 TSval=550543527 TSecr=455765049"
"38","0.322561","192.168.2.2","192.168.1.2","TCP","66","116224","5001  >  47916 [ACK] Seq=1 Ack=43441 Win=116224 Len=0 TSval=550543600 TSecr=455765076"
"42","0.358797","192.168.2.2","192.168.1.2","TCP","66","121856","5001  >  47916 [ACK] Seq=1 Ack=46337 Win=121856 Len=0 TSval=550543636 TSecr=455765108"
"45","0.382971","192.168.2.2","192.168.1.2","TCP","66","127488","5001  >  47916 [ACK] Seq=1 Ack=49233 Win=127488 Len=0 TSval=550543660 TSecr=455765108"
"48","0.407188","192.168.2.2","192.168.1.2","TCP","66","130560","5001  >  47916 [ACK] Seq=1 Ack=50681 Win=130560 Len=0 TSval=550543685 TSecr=455765108"
"50","0.419587","192.168.2.2","192.168.1.2","TCP","66","136192","5001  >  47916 [ACK] Seq=1 Ack=53577 Win=136192 Len=0 TSval=550543697 TSecr=455765108"
"53","0.444162","192.168.2.2","192.168.1.2","TCP","66","142336","5001  >  47916 [ACK] Seq=1 Ack=56473 Win=142336 Len=0 TSval=550543722 TSecr=455765109"
"56","0.467992","192.168.2.2","192.168.1.2","TCP","66","147968","5001  >  47916 [ACK] Seq=1 Ack=59369 Win=147968 Len=0 TSval=550543745 TSecr=455765110"
"59","0.492108","192.168.2.2","192.168.1.2","TCP","66","153600","5001  >  47916 [ACK] Seq=1 Ack=62265 Win=153600 Len=0 TSval=550543769 TSecr=455765111"
"62","0.516556","192.168.2.2","192.168.1.2","TCP","66","156672","5001  >  47916 [ACK] Seq=1 Ack=63713 Win=156672 Len=0 TSval=550543794 TSecr=455765160"
"64","0.528318","192.168.2.2","192.168.1.2","TCP","66","162304","5001  >  47916 [ACK] Seq=1 Ack=66609 Win=162304 Len=0 TSval=550543806 TSecr=455765194"
"67","0.552845","192.168.2.2","192.168.1.2","TCP","66","168448","5001  >  47916 [ACK] Seq=1 Ack=69505 Win=168448 Len=0 TSval=550543830 TSecr=455765194"
"69","0.576759","192.168.2.2","192.168.1.2","TCP","66","174080","5001  >  47916 [ACK] Seq=1 Ack=72401 Win=174080 Len=0 TSval=550543854 TSecr=455765194"
"71","0.601834","192.168.2.2","192.168.1.2","TCP","66","179712","5001  >  47916 [ACK] Seq=1 Ack=75297 Win=179712 Len=0 TSval=550543879 TSecr=455765230"
"73","0.625353","192.168.2.2","192.168.1.2","TCP","66","185344","5001  >  47916 [ACK] Seq=1 Ack=78193 Win=185344 Len=0 TSval=550543903 TSecr=455765242"
"75","0.649861","192.168.2.2","192.168.1.2","TCP","66","185344","5001  >  47916 [ACK] Seq=1 Ack=81089 Win=185344 Len=0 TSval=550543927 TSecr=455765242"
"77","0.674435","192.168.2.2","192.168.1.2","TCP","66","185344","5001  >  47916 [ACK] Seq=1 Ack=83985 Win=185344 Len=0 TSval=550543952 TSecr=455765242"
"79","0.697887","192.168.2.2","192.168.1.2","TCP","66","185344","5001  >  47916 [ACK] Seq=1 Ack=86881 Win=185344 Len=0 TSval=550543975 TSecr=455765242"
"81","0.722410","192.168.2.2","192.168.1.2","TCP","66","185344","5001  >  47916 [ACK] Seq=1 Ack=89777 Win=185344 Len=0 TSval=550544000 TSecr=455765243"
"83","0.746350","192.168.2.2","192.168.1.2","TCP","66","185344","5001  >  47916 [ACK] Seq=1 Ack=92673 Win=185344 Len=0 TSval=550544024 TSecr=455765244"
"85","0.770640","192.168.2.2","192.168.1.2","TCP","66","185344","5001  >  47916 [ACK] Seq=1 Ack=95569 Win=185344 Len=0 TSval=550544048 TSecr=455765315"
"88","0.795002","192.168.2.2","192.168.1.2","TCP","66","185344","5001  >  47916 [ACK] Seq=1 Ack=98465 Win=185344 Len=0 TSval=550544072 TSecr=455765315"
"90","0.819456","192.168.2.2","192.168.1.2","TCP","78","185344","[TCP Dup ACK 88#1] 5001  >  47916 [ACK] Seq=1 Ack=98465 Win=185344 Len=0 TSval=550544097 TSecr=455765315 SLE=101361 SRE=104257"
