No.,Time,Source,Destination,Protocol,Length,Calculated window size,Info
4,0.000478,192.168.2.2,192.168.1.2,TCP,74,43440,"5001  >  53342 [SYN, ACK] Seq=0 Ack=1 Win=43440 Len=0 MSS=1460 SACK_PERM=1 TSval=2326339400 TSecr=1377379323 WS=512"
7,0.000531,192.168.2.2,192.168.1.2,TCP,66,39936,5001  >  53342 [ACK] Seq=1 Ack=7241 Win=39936 Len=0 TSval=2326339400 TSecr=1377379323
13,0.050331,192.168.2.2,192.168.1.2,TCP,66,39936,5001  >  53342 [ACK] Seq=1 Ack=14481 Win=39936 Len=0 TSval=2326339450 TSecr=1377379323
16,0.110893,192.168.2.2,192.168.1.2,TCP,66,38400,5001  >  53342 [ACK] Seq=1 Ack=24617 Win=38400 Len=0 TSval=2326339510 TSecr=1377379323
25,0.19661,192.168.2.2,192.168.1.2,TCP,66,40960,5001  >  53342 [ACK] Seq=1 Ack=28961 Win=40960 Len=0 TSval=2326339596 TSecr=1377379323
28,0.232029,192.168.2.2,192.168.1.2,TCP,66,42496,5001  >  53342 [ACK] Seq=1 Ack=30409 Win=42496 Len=0 TSval=2326339631 TSecr=1377379338
31,0.244129,192.168.2.2,192.168.1.2,TCP,66,38912,5001  >  53342 [ACK] Seq=1 Ack=39097 Win=38912 Len=0 TSval=2326339644 TSecr=1377379373
33,0.316818,192.168.2.2,192.168.1.2,TCP,66,40960,5001  >  53342 [ACK] Seq=1 Ack=43441 Win=40960 Len=0 TSval=2326339716 TSecr=1377379399
37,0.353525,192.168.2.2,192.168.1.2,TCP,66,41984,5001  >  53342 [ACK] Seq=1 Ack=46337 Win=41984 Len=0 TSval=2326339753 TSecr=1377379433
39,0.377936,192.168.2.2,192.168.1.2,TCP,66,41984,5001  >  53342 [ACK] Seq=1 Ack=49233 Win=41984 Len=0 TSval=2326339777 TSecr=1377379433
41,0.401579,192.168.2.2,192.168.1.2,TCP,66,42496,5001  >  53342 [ACK] Seq=1 Ack=50681 Win=42496 Len=0 TSval=2326339801 TSecr=1377379433
43,0.414219,192.168.2.2,192.168.1.2,TCP,66,41984,5001  >  53342 [ACK] Seq=1 Ack=53577 Win=41984 Len=0 TSval=2326339814 TSecr=1377379433
45,0.438737,192.168.2.2,192.168.1.2,TCP,66,41984,5001  >  53342 [ACK] Seq=1 Ack=56473 Win=41984 Len=0 TSval=2326339838 TSecr=1377379434
47,0.462274,192.168.2.2,192.168.1.2,TCP,66,41984,5001  >  53342 [ACK] Seq=1 Ack=59369 Win=41984 Len=0 TSval=2326339862 TSecr=1377379434
49,0.48638,192.168.2.2,192.168.1.2,TCP,66,41984,5001  >  53342 [ACK] Seq=1 Ack=62265 Win=41984 Len=0 TSval=2326339886 TSecr=1377379434
51,0.511315,192.168.2.2,192.168.1.2,TCP,78,42496,[TCP Window Update] 5001  >  53342 [ACK] Seq=1 Ack=62265 Win=42496 Len=0 TSval=2326339911 TSecr=1377379487 SLE=60817 SRE=62265
53,0.523004,192.168.2.2,192.168.1.2,TCP,66,41984,5001  >  53342 [ACK] Seq=1 Ack=65161 Win=41984 Len=0 TSval=2326339922 TSecr=1377379519
55,0.54758,192.168.2.2,192.168.1.2,TCP,66,41984,5001  >  53342 [ACK] Seq=1 Ack=68057 Win=41984 Len=0 TSval=2326339947 TSecr=1377379519
57,0.571229,192.168.2.2,192.168.1.2,TCP,66,41984,5001  >  53342 [ACK] Seq=1 Ack=70953 Win=41984 Len=0 TSval=2326339971 TSecr=1377379555
59,0.595609,192.168.2.2,192.168.1.2,TCP,66,42496,5001  >  53342 [ACK] Seq=1 Ack=72401 Win=42496 Len=0 TSval=2326339995 TSecr=1377379555
61,0.607544,192.168.2.2,192.168.1.2,TCP,66,41984,5001  >  53342 [ACK] Seq=1 Ack=75297 Win=41984 Len=0 TSval=2326340007 TSecr=1377379567
63,0.631809,192.168.2.2,192.168.1.2,TCP,66,41984,5001  >  53342 [ACK] Seq=1 Ack=78193 Win=41984 Len=0 TSval=2326340031 TSecr=1377379639
