"No.","Time","Source","Destination","Protocol","Length","Calculated window size","Info"
"4","0.001273","192.168.2.2","192.168.1.2","TCP","74","28960","5001  >  48034 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=552313579 TSecr=457535294 WS=512"
"7","0.001366","192.168.2.2","192.168.1.2","TCP","66","43520","5001  >  48034 [ACK] Seq=1 Ack=7241 Win=43520 Len=0 TSval=552313580 TSecr=457535295"
"11","0.050472","192.168.2.2","192.168.1.2","TCP","66","58368","5001  >  48034 [ACK] Seq=1 Ack=14481 Win=58368 Len=0 TSval=552313629 TSecr=457535295"
"13","0.111259","192.168.2.2","192.168.1.2","TCP","66","72704","5001  >  48034 [ACK] Seq=1 Ack=21721 Win=72704 Len=0 TSval=552313689 TSecr=457535295"
"17","0.171442","192.168.2.2","192.168.1.2","TCP","66","75776","5001  >  48034 [ACK] Seq=1 Ack=23169 Win=75776 Len=0 TSval=552313750 TSecr=457535307"
"18","0.183847","192.168.2.2","192.168.1.2","TCP","66","78336","5001  >  48034 [ACK] Seq=1 Ack=24617 Win=78336 Len=0 TSval=552313762 TSecr=457535377"
"20","0.195622","192.168.2.2","192.168.1.2","TCP","66","81408","5001  >  48034 [ACK] Seq=1 Ack=26065 Win=81408 Len=0 TSval=552313774 TSecr=457535454"
"22","0.208306","192.168.2.2","192.168.1.2","TCP","66","84480","5001  >  48034 [ACK] Seq=1 Ack=27513 Win=84480 Len=0 TSval=552313786 TSecr=457535477"
"25","0.220085","192.168.2.2","192.168.1.2","TCP","66","87040","5001  >  48034 [ACK] Seq=1 Ack=28961 Win=87040 Len=0 TSval=552313798 TSecr=457535489"
"27","0.231939","192.168.2.2","192.168.1.2","TCP","66","90112","5001  >  48034 [ACK] Seq=1 Ack=30409 Win=90112 Len=0 TSval=552313810 TSecr=457535501"
"29","0.244202","192.168.2.2","192.168.1.2","TCP","66","92672","5001  >  48034 [ACK] Seq=1 Ack=31857 Win=92672 Len=0 TSval=552313822 TSecr=457535501"
"31","0.256347","192.168.2.2","192.168.1.2","TCP","66","95744","5001  >  48034 [ACK] Seq=1 Ack=33305 Win=95744 Len=0 TSval=552313834 TSecr=457535513"
"33","0.268264","192.168.2.2","192.168.1.2","TCP","66","98816","5001  >  48034 [ACK] Seq=1 Ack=34753 Win=98816 Len=0 TSval=552313846 TSecr=457535525"
"35","0.280396","192.168.2.2","192.168.1.2","TCP","66","101376","5001  >  48034 [ACK] Seq=1 Ack=36201 Win=101376 Len=0 TSval=552313858 TSecr=457535537"
"37","0.292601","192.168.2.2","192.168.1.2","TCP","66","107520","5001  >  48034 [ACK] Seq=1 Ack=39097 Win=107520 Len=0 TSval=552313871 TSecr=457535549"
"39","0.317354","192.168.2.2","192.168.1.2","TCP","66","110080","5001  >  48034 [ACK] Seq=1 Ack=40545 Win=110080 Len=0 TSval=552313895 TSecr=457535561"
"41","0.329804","192.168.2.2","192.168.1.2","TCP","66","113152","5001  >  48034 [ACK] Seq=1 Ack=41993 Win=113152 Len=0 TSval=552313908 TSecr=457535573"
"43","0.341643","192.168.2.2","192.168.1.2","TCP","66","116224","5001  >  48034 [ACK] Seq=1 Ack=43441 Win=116224 Len=0 TSval=552313920 TSecr=457535586"
"45","0.354337","192.168.2.2","192.168.1.2","TCP","66","121856","5001  >  48034 [ACK] Seq=1 Ack=46337 Win=121856 Len=0 TSval=552313932 TSecr=457535611"
"47","0.377923","192.168.2.2","192.168.1.2","TCP","66","127488","5001  >  48034 [ACK] Seq=1 Ack=49233 Win=127488 Len=0 TSval=552313956 TSecr=457535623"
"49","0.402346","192.168.2.2","192.168.1.2","TCP","66","130560","5001  >  48034 [ACK] Seq=1 Ack=50681 Win=130560 Len=0 TSval=552313980 TSecr=457535635"
"51","0.414271","192.168.2.2","192.168.1.2","TCP","66","136192","5001  >  48034 [ACK] Seq=1 Ack=53577 Win=136192 Len=0 TSval=552313992 TSecr=457535647"
"53","0.438753","192.168.2.2","192.168.1.2","TCP","66","142336","5001  >  48034 [ACK] Seq=1 Ack=56473 Win=142336 Len=0 TSval=552314017 TSecr=457535671"
"55","0.462710","192.168.2.2","192.168.1.2","TCP","66","144896","5001  >  48034 [ACK] Seq=1 Ack=57921 Win=144896 Len=0 TSval=552314041 TSecr=457535696"
"57","0.474823","192.168.2.2","192.168.1.2","TCP","66","151040","5001  >  48034 [ACK] Seq=1 Ack=60817 Win=151040 Len=0 TSval=552314053 TSecr=457535707"
"59","0.499390","192.168.2.2","192.168.1.2","TCP","66","156672","5001  >  48034 [ACK] Seq=1 Ack=63713 Win=156672 Len=0 TSval=552314077 TSecr=457535732"
"61","0.523903","192.168.2.2","192.168.1.2","TCP","66","159744","5001  >  48034 [ACK] Seq=1 Ack=65161 Win=159744 Len=0 TSval=552314102 TSecr=457535756"
"63","0.535372","192.168.2.2","192.168.1.2","TCP","66","165376","5001  >  48034 [ACK] Seq=1 Ack=68057 Win=165376 Len=0 TSval=552314113 TSecr=457535768"
"65","0.560086","192.168.2.2","192.168.1.2","TCP","66","171008","5001  >  48034 [ACK] Seq=1 Ack=70953 Win=171008 Len=0 TSval=552314138 TSecr=457535792"
"67","0.583829","192.168.2.2","192.168.1.2","TCP","66","177152","5001  >  48034 [ACK] Seq=1 Ack=73849 Win=177152 Len=0 TSval=552314162 TSecr=457535817"
"70","0.608075","192.168.2.2","192.168.1.2","TCP","66","182784","5001  >  48034 [ACK] Seq=1 Ack=76745 Win=182784 Len=0 TSval=552314186 TSecr=457535828"
"72","0.633157","192.168.2.2","192.168.1.2","TCP","66","185344","5001  >  48034 [ACK] Seq=1 Ack=79641 Win=185344 Len=0 TSval=552314211 TSecr=457535853"
