No.,Time,Source,Destination,Protocol,Length,Calculated window size,Info
4,0.000386,192.168.2.2,192.168.1.2,TCP,74,28960,"5001  >  47996 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=551772869 TSecr=456994584 WS=512"
7,0.000432,192.168.2.2,192.168.1.2,TCP,66,43520,5001  >  47996 [ACK] Seq=1 Ack=7241 Win=43520 Len=0 TSval=551772869 TSecr=456994584
11,0.049803,192.168.2.2,192.168.1.2,TCP,66,58368,5001  >  47996 [ACK] Seq=1 Ack=14481 Win=58368 Len=0 TSval=551772918 TSecr=456994584
13,0.110536,192.168.2.2,192.168.1.2,TCP,66,72704,5001  >  47996 [ACK] Seq=1 Ack=21721 Win=72704 Len=0 TSval=551772979 TSecr=456994584
15,0.171367,192.168.2.2,192.168.1.2,TCP,66,75776,5001  >  47996 [ACK] Seq=1 Ack=23169 Win=75776 Len=0 TSval=551773039 TSecr=456994598
16,0.18314,192.168.2.2,192.168.1.2,TCP,66,78336,5001  >  47996 [ACK] Seq=1 Ack=24617 Win=78336 Len=0 TSval=551773051 TSecr=456994661
18,0.195924,192.168.2.2,192.168.1.2,TCP,66,81408,5001  >  47996 [ACK] Seq=1 Ack=26065 Win=81408 Len=0 TSval=551773064 TSecr=456994745
20,0.207587,192.168.2.2,192.168.1.2,TCP,66,84480,5001  >  47996 [ACK] Seq=1 Ack=27513 Win=84480 Len=0 TSval=551773076 TSecr=456994766
23,0.219337,192.168.2.2,192.168.1.2,TCP,66,87040,5001  >  47996 [ACK] Seq=1 Ack=28961 Win=87040 Len=0 TSval=551773087 TSecr=456994779
25,0.231416,192.168.2.2,192.168.1.2,TCP,66,90112,5001  >  47996 [ACK] Seq=1 Ack=30409 Win=90112 Len=0 TSval=551773099 TSecr=456994791
27,0.243903,192.168.2.2,192.168.1.2,TCP,66,92672,5001  >  47996 [ACK] Seq=1 Ack=31857 Win=92672 Len=0 TSval=551773112 TSecr=456994791
29,0.255647,192.168.2.2,192.168.1.2,TCP,66,95744,5001  >  47996 [ACK] Seq=1 Ack=33305 Win=95744 Len=0 TSval=551773124 TSecr=456994802
31,0.268378,192.168.2.2,192.168.1.2,TCP,66,98816,5001  >  47996 [ACK] Seq=1 Ack=34753 Win=98816 Len=0 TSval=551773136 TSecr=456994815
33,0.280138,192.168.2.2,192.168.1.2,TCP,66,101376,5001  >  47996 [ACK] Seq=1 Ack=36201 Win=101376 Len=0 TSval=551773148 TSecr=456994827
35,0.292039,192.168.2.2,192.168.1.2,TCP,66,107520,5001  >  47996 [ACK] Seq=1 Ack=39097 Win=107520 Len=0 TSval=551773160 TSecr=456994839
37,0.316497,192.168.2.2,192.168.1.2,TCP,66,110080,5001  >  47996 [ACK] Seq=1 Ack=40545 Win=110080 Len=0 TSval=551773184 TSecr=456994851
39,0.328458,192.168.2.2,192.168.1.2,TCP,66,113152,5001  >  47996 [ACK] Seq=1 Ack=41993 Win=113152 Len=0 TSval=551773196 TSecr=456994863
41,0.340469,192.168.2.2,192.168.1.2,TCP,66,116224,5001  >  47996 [ACK] Seq=1 Ack=43441 Win=116224 Len=0 TSval=551773208 TSecr=456994875
43,0.352725,192.168.2.2,192.168.1.2,TCP,66,121856,5001  >  47996 [ACK] Seq=1 Ack=46337 Win=121856 Len=0 TSval=551773221 TSecr=456994900
