PING 192.168.2.2 (192.168.2.2) 56(84) bytes of data.
64 bytes from 192.168.2.2: icmp_seq=1 ttl=63 time=0.034 ms
64 bytes from 192.168.2.2: icmp_seq=2 ttl=63 time=98.3 ms
64 bytes from 192.168.2.2: icmp_seq=3 ttl=63 time=117 ms
64 bytes from 192.168.2.2: icmp_seq=4 ttl=63 time=134 ms
64 bytes from 192.168.2.2: icmp_seq=5 ttl=63 time=163 ms
64 bytes from 192.168.2.2: icmp_seq=6 ttl=63 time=179 ms
64 bytes from 192.168.2.2: icmp_seq=7 ttl=63 time=172 ms
64 bytes from 192.168.2.2: icmp_seq=8 ttl=63 time=188 ms
64 bytes from 192.168.2.2: icmp_seq=9 ttl=63 time=181 ms
64 bytes from 192.168.2.2: icmp_seq=10 ttl=63 time=173 ms
64 bytes from 192.168.2.2: icmp_seq=11 ttl=63 time=215 ms
64 bytes from 192.168.2.2: icmp_seq=12 ttl=63 time=222 ms
64 bytes from 192.168.2.2: icmp_seq=13 ttl=63 time=195 ms
64 bytes from 192.168.2.2: icmp_seq=14 ttl=63 time=218 ms
64 bytes from 192.168.2.2: icmp_seq=15 ttl=63 time=212 ms
64 bytes from 192.168.2.2: icmp_seq=16 ttl=63 time=206 ms
64 bytes from 192.168.2.2: icmp_seq=17 ttl=63 time=220 ms
64 bytes from 192.168.2.2: icmp_seq=18 ttl=63 time=214 ms
64 bytes from 192.168.2.2: icmp_seq=19 ttl=63 time=206 ms
64 bytes from 192.168.2.2: icmp_seq=20 ttl=63 time=223 ms
64 bytes from 192.168.2.2: icmp_seq=21 ttl=63 time=203 ms
64 bytes from 192.168.2.2: icmp_seq=22 ttl=63 time=220 ms
64 bytes from 192.168.2.2: icmp_seq=23 ttl=63 time=200 ms
64 bytes from 192.168.2.2: icmp_seq=24 ttl=63 time=194 ms
64 bytes from 192.168.2.2: icmp_seq=25 ttl=63 time=222 ms
64 bytes from 192.168.2.2: icmp_seq=26 ttl=63 time=215 ms
64 bytes from 192.168.2.2: icmp_seq=27 ttl=63 time=206 ms
64 bytes from 192.168.2.2: icmp_seq=28 ttl=63 time=223 ms
64 bytes from 192.168.2.2: icmp_seq=29 ttl=63 time=227 ms
64 bytes from 192.168.2.2: icmp_seq=30 ttl=63 time=208 ms
64 bytes from 192.168.2.2: icmp_seq=31 ttl=63 time=212 ms
64 bytes from 192.168.2.2: icmp_seq=32 ttl=63 time=216 ms
64 bytes from 192.168.2.2: icmp_seq=33 ttl=63 time=221 ms
64 bytes from 192.168.2.2: icmp_seq=34 ttl=63 time=225 ms
64 bytes from 192.168.2.2: icmp_seq=35 ttl=63 time=205 ms
64 bytes from 192.168.2.2: icmp_seq=36 ttl=63 time=210 ms
64 bytes from 192.168.2.2: icmp_seq=37 ttl=63 time=214 ms
64 bytes from 192.168.2.2: icmp_seq=38 ttl=63 time=218 ms
64 bytes from 192.168.2.2: icmp_seq=39 ttl=63 time=198 ms
64 bytes from 192.168.2.2: icmp_seq=40 ttl=63 time=215 ms
64 bytes from 192.168.2.2: icmp_seq=41 ttl=63 time=220 ms
64 bytes from 192.168.2.2: icmp_seq=42 ttl=63 time=224 ms
64 bytes from 192.168.2.2: icmp_seq=43 ttl=63 time=205 ms
64 bytes from 192.168.2.2: icmp_seq=44 ttl=63 time=209 ms
64 bytes from 192.168.2.2: icmp_seq=45 ttl=63 time=214 ms
64 bytes from 192.168.2.2: icmp_seq=46 ttl=63 time=218 ms
64 bytes from 192.168.2.2: icmp_seq=47 ttl=63 time=222 ms
64 bytes from 192.168.2.2: icmp_seq=48 ttl=63 time=228 ms
64 bytes from 192.168.2.2: icmp_seq=49 ttl=63 time=209 ms
64 bytes from 192.168.2.2: icmp_seq=50 ttl=63 time=214 ms
64 bytes from 192.168.2.2: icmp_seq=51 ttl=63 time=218 ms
64 bytes from 192.168.2.2: icmp_seq=52 ttl=63 time=199 ms
64 bytes from 192.168.2.2: icmp_seq=53 ttl=63 time=215 ms
64 bytes from 192.168.2.2: icmp_seq=54 ttl=63 time=207 ms
64 bytes from 192.168.2.2: icmp_seq=55 ttl=63 time=212 ms
64 bytes from 192.168.2.2: icmp_seq=56 ttl=63 time=229 ms
64 bytes from 192.168.2.2: icmp_seq=57 ttl=63 time=197 ms
64 bytes from 192.168.2.2: icmp_seq=58 ttl=63 time=227 ms
64 bytes from 192.168.2.2: icmp_seq=59 ttl=63 time=195 ms
64 bytes from 192.168.2.2: icmp_seq=60 ttl=63 time=213 ms
64 bytes from 192.168.2.2: icmp_seq=61 ttl=63 time=206 ms

--- 192.168.2.2 ping statistics ---
61 packets transmitted, 61 received, 0% packet loss, time 60119ms
rtt min/avg/max/mdev = 0.034/201.659/229.665/35.909 ms
