No.,Time,Source,Destination,Protocol,Length,Calculated window size,Info
4,0.000336,192.168.2.2,192.168.1.2,TCP,74,43440,"5001  >  53142 [SYN, ACK] Seq=0 Ack=1 Win=43440 Len=0 MSS=1460 SACK_PERM=1 TSval=2325275067 TSecr=1376314990 WS=512"
7,0.000383,192.168.2.2,192.168.1.2,TCP,66,39936,5001  >  53142 [ACK] Seq=1 Ack=7241 Win=39936 Len=0 TSval=2325275067 TSecr=1376314990
11,0.050071,192.168.2.2,192.168.1.2,TCP,66,39936,5001  >  53142 [ACK] Seq=1 Ack=14481 Win=39936 Len=0 TSval=2325275117 TSecr=1376314990
13,0.110301,192.168.2.2,192.168.1.2,TCP,66,39936,5001  >  53142 [ACK] Seq=1 Ack=21721 Win=39936 Len=0 TSval=2325275177 TSecr=1376314990
15,0.17149,192.168.2.2,192.168.1.2,TCP,66,42496,5001  >  53142 [ACK] Seq=1 Ack=23169 Win=42496 Len=0 TSval=2325275238 TSecr=1376315004
16,0.182991,192.168.2.2,192.168.1.2,TCP,66,42496,5001  >  53142 [ACK] Seq=1 Ack=24617 Win=42496 Len=0 TSval=2325275250 TSecr=1376315064
18,0.195113,192.168.2.2,192.168.1.2,TCP,66,42496,5001  >  53142 [ACK] Seq=1 Ack=26065 Win=42496 Len=0 TSval=2325275262 TSecr=1376315152
20,0.207228,192.168.2.2,192.168.1.2,TCP,66,42496,5001  >  53142 [ACK] Seq=1 Ack=27513 Win=42496 Len=0 TSval=2325275274 TSecr=1376315173
23,0.219305,192.168.2.2,192.168.1.2,TCP,66,42496,5001  >  53142 [ACK] Seq=1 Ack=28961 Win=42496 Len=0 TSval=2325275286 TSecr=1376315185
25,0.231414,192.168.2.2,192.168.1.2,TCP,66,42496,5001  >  53142 [ACK] Seq=1 Ack=30409 Win=42496 Len=0 TSval=2325275298 TSecr=1376315197
27,0.244105,192.168.2.2,192.168.1.2,TCP,66,42496,5001  >  53142 [ACK] Seq=1 Ack=31857 Win=42496 Len=0 TSval=2325275311 TSecr=1376315197
29,0.255866,192.168.2.2,192.168.1.2,TCP,66,42496,5001  >  53142 [ACK] Seq=1 Ack=33305 Win=42496 Len=0 TSval=2325275323 TSecr=1376315209
31,0.267773,192.168.2.2,192.168.1.2,TCP,66,42496,5001  >  53142 [ACK] Seq=1 Ack=34753 Win=42496 Len=0 TSval=2325275334 TSecr=1376315221
33,0.279845,192.168.2.2,192.168.1.2,TCP,66,42496,5001  >  53142 [ACK] Seq=1 Ack=36201 Win=42496 Len=0 TSval=2325275347 TSecr=1376315234
35,0.292077,192.168.2.2,192.168.1.2,TCP,66,41984,5001  >  53142 [ACK] Seq=1 Ack=39097 Win=41984 Len=0 TSval=2325275359 TSecr=1376315246
37,0.316633,192.168.2.2,192.168.1.2,TCP,66,42496,5001  >  53142 [ACK] Seq=1 Ack=40545 Win=42496 Len=0 TSval=2325275383 TSecr=1376315258
39,0.340572,192.168.2.2,192.168.1.2,TCP,66,42496,5001  >  53142 [ACK] Seq=1 Ack=43441 Win=42496 Len=0 TSval=2325275407 TSecr=1376315270
41,0.353342,192.168.2.2,192.168.1.2,TCP,66,42496,5001  >  53142 [ACK] Seq=1 Ack=46337 Win=42496 Len=0 TSval=2325275420 TSecr=1376315306
45,0.376864,192.168.2.2,192.168.1.2,TCP,66,42496,5001  >  53142 [ACK] Seq=1 Ack=49233 Win=42496 Len=0 TSval=2325275443 TSecr=1376315330
47,0.401373,192.168.2.2,192.168.1.2,TCP,66,42496,5001  >  53142 [ACK] Seq=1 Ack=52129 Win=42496 Len=0 TSval=2325275468 TSecr=1376315343
49,0.438158,192.168.2.2,192.168.1.2,TCP,66,42496,5001  >  53142 [ACK] Seq=1 Ack=56473 Win=42496 Len=0 TSval=2325275505 TSecr=1376315343
51,0.46229,192.168.2.2,192.168.1.2,TCP,66,42496,5001  >  53142 [ACK] Seq=1 Ack=59369 Win=42496 Len=0 TSval=2325275529 TSecr=1376315391
54,0.486632,192.168.2.2,192.168.1.2,TCP,66,42496,5001  >  53142 [ACK] Seq=1 Ack=62265 Win=42496 Len=0 TSval=2325275553 TSecr=1376315428
56,0.511113,192.168.2.2,192.168.1.2,TCP,66,42496,5001  >  53142 [ACK] Seq=1 Ack=65161 Win=42496 Len=0 TSval=2325275578 TSecr=1376315452
58,0.547028,192.168.2.2,192.168.1.2,TCP,66,42496,5001  >  53142 [ACK] Seq=1 Ack=69505 Win=42496 Len=0 TSval=2325275614 TSecr=1376315452
61,0.571263,192.168.2.2,192.168.1.2,TCP,66,42496,5001  >  53142 [ACK] Seq=1 Ack=72401 Win=42496 Len=0 TSval=2325275638 TSecr=1376315501
63,0.596327,192.168.2.2,192.168.1.2,TCP,66,42496,5001  >  53142 [ACK] Seq=1 Ack=75297 Win=42496 Len=0 TSval=2325275663 TSecr=1376315537
65,0.619969,192.168.2.2,192.168.1.2,TCP,66,42496,5001  >  53142 [ACK] Seq=1 Ack=78193 Win=42496 Len=0 TSval=2325275686 TSecr=1376315537
67,0.644401,192.168.2.2,192.168.1.2,TCP,66,42496,5001  >  53142 [ACK] Seq=1 Ack=81089 Win=42496 Len=0 TSval=2325275711 TSecr=1376315561
69,0.668277,192.168.2.2,192.168.1.2,TCP,66,42496,5001  >  53142 [ACK] Seq=1 Ack=83985 Win=42496 Len=0 TSval=2325275735 TSecr=1376315586
71,0.694647,192.168.2.2,192.168.1.2,TCP,66,42496,5001  >  53142 [ACK] Seq=1 Ack=86881 Win=42496 Len=0 TSval=2325275761 TSecr=1376315610
