"No.","Time","Source","Destination","Protocol","Length","Calculated window size","Info"
"4","0.002532","192.168.2.2","192.168.1.2","TCP","74","43440","5001  >  45658 [SYN, ACK] Seq=0 Ack=1 Win=43440 Len=0 MSS=1460 SACK_PERM=1 TSval=2321244874 TSecr=787873046 WS=512"
"7","0.002590","192.168.2.2","192.168.1.2","TCP","66","39936","5001  >  45658 [ACK] Seq=1 Ack=7241 Win=39936 Len=0 TSval=2321244874 TSecr=787873046"
"12","0.051585","192.168.2.2","192.168.1.2","TCP","66","38400","5001  >  45658 [ACK] Seq=1 Ack=17377 Win=38400 Len=0 TSval=2321244923 TSecr=787873047"
"15","0.136845","192.168.2.2","192.168.1.2","TCP","66","38400","5001  >  45658 [ACK] Seq=1 Ack=27513 Win=38400 Len=0 TSval=2321245009 TSecr=787873048"
"19","0.221079","192.168.2.2","192.168.1.2","TCP","66","42496","5001  >  45658 [ACK] Seq=1 Ack=28961 Win=42496 Len=0 TSval=2321245093 TSecr=787873049"
"21","0.233122","192.168.2.2","192.168.1.2","TCP","66","42496","5001  >  45658 [ACK] Seq=1 Ack=30409 Win=42496 Len=0 TSval=2321245105 TSecr=787873062"
"24","0.245574","192.168.2.2","192.168.1.2","TCP","66","35328","5001  >  45658 [ACK] Seq=1 Ack=46337 Win=35328 Len=0 TSval=2321245117 TSecr=787873095"
"28","0.378851","192.168.2.2","192.168.1.2","TCP","66","41984","5001  >  45658 [ACK] Seq=1 Ack=49233 Win=41984 Len=0 TSval=2321245251 TSecr=787873122"
"30","0.403426","192.168.2.2","192.168.1.2","TCP","66","45568","5001  >  45658 [ACK] Seq=1 Ack=50681 Win=45568 Len=0 TSval=2321245275 TSecr=787873181"
"32","0.415542","192.168.2.2","192.168.1.2","TCP","66","75776","5001  >  45658 [ACK] Seq=1 Ack=65913 Win=75776 Len=0 TSval=2321245287 TSecr=787873181"
"35","0.543391","192.168.2.2","192.168.1.2","TCP","78","75776","[TCP Dup ACK 32#1] 5001  >  45658 [ACK] Seq=1 Ack=65913 Win=75776 Len=0 TSval=2321245415 TSecr=787873234 SLE=65161 SRE=65913"
"37","0.550249","192.168.2.2","192.168.1.2","TCP","66","84480","5001  >  45658 [ACK] Seq=1 Ack=70257 Win=84480 Len=0 TSval=2321245422 TSecr=787873265"
"39","0.586504","192.168.2.2","192.168.1.2","TCP","66","87552","5001  >  45658 [ACK] Seq=1 Ack=71705 Win=87552 Len=0 TSval=2321245458 TSecr=787873277"
"41","0.598303","192.168.2.2","192.168.1.2","TCP","66","90112","5001  >  45658 [ACK] Seq=1 Ack=72401 Win=90112 Len=0 TSval=2321245470 TSecr=787873277"
"43","0.604304","192.168.2.2","192.168.1.2","TCP","66","93184","5001  >  45658 [ACK] Seq=1 Ack=81089 Win=93184 Len=0 TSval=2321245476 TSecr=787873289"
"45","0.676988","192.168.2.2","192.168.1.2","TCP","66","93184","5001  >  45658 [ACK] Seq=1 Ack=89777 Win=93184 Len=0 TSval=2321245549 TSecr=787873423"
"49","0.750079","192.168.2.2","192.168.1.2","TCP","66","95232","5001  >  45658 [ACK] Seq=1 Ack=94121 Win=95232 Len=0 TSval=2321245622 TSecr=787873447"
"51","0.786351","192.168.2.2","192.168.1.2","TCP","66","86528","5001  >  45658 [ACK] Seq=1 Ack=115841 Win=86528 Len=0 TSval=2321245658 TSecr=787873459"
"55","0.967816","192.168.2.2","192.168.1.2","TCP","66","86528","5001  >  45658 [ACK] Seq=1 Ack=137561 Win=86528 Len=0 TSval=2321245839 TSecr=787873459"
"58","1.149759","192.168.2.2","192.168.1.2","TCP","66","101376","5001  >  45658 [ACK] Seq=1 Ack=140457 Win=101376 Len=0 TSval=2321246021 TSecr=787873587"
"60","1.174226","192.168.2.2","192.168.1.2","TCP","66","127488","5001  >  45658 [ACK] Seq=1 Ack=153489 Win=127488 Len=0 TSval=2321246046 TSecr=787873594"
"63","1.282967","192.168.2.2","192.168.1.2","TCP","66","135680","5001  >  45658 [ACK] Seq=1 Ack=157833 Win=135680 Len=0 TSval=2321246155 TSecr=787873630"
"68","1.318905","192.168.2.2","192.168.1.2","TCP","66","138752","5001  >  45658 [ACK] Seq=1 Ack=159281 Win=138752 Len=0 TSval=2321246191 TSecr=787873642"
"70","1.331012","192.168.2.2","192.168.1.2","TCP","66","168960","5001  >  45658 [ACK] Seq=1 Ack=174273 Win=168960 Len=0 TSval=2321246203 TSecr=787873648"
"73","1.457332","192.168.2.2","192.168.1.2","TCP","66","180224","5001  >  45658 [ACK] Seq=1 Ack=180065 Win=180224 Len=0 TSval=2321246329 TSecr=787873721"
"75","1.505402","192.168.2.2","192.168.1.2","TCP","66","183296","5001  >  45658 [ACK] Seq=1 Ack=181001 Win=183296 Len=0 TSval=2321246377 TSecr=787873721"
"77","1.513333","192.168.2.2","192.168.1.2","TCP","66","197632","5001  >  45658 [ACK] Seq=1 Ack=188241 Win=197632 Len=0 TSval=2321246385 TSecr=787873794"
"80","1.573880","192.168.2.2","192.168.1.2","TCP","66","223744","5001  >  45658 [ACK] Seq=1 Ack=201273 Win=223744 Len=0 TSval=2321246446 TSecr=787873830"
"82","1.682996","192.168.2.2","192.168.1.2","TCP","66","226816","5001  >  45658 [ACK] Seq=1 Ack=202721 Win=226816 Len=0 TSval=2321246555 TSecr=787874012"
"86","1.696971","192.168.2.2","192.168.1.2","TCP","66","270336","5001  >  45658 [ACK] Seq=1 Ack=224441 Win=270336 Len=0 TSval=2321246569 TSecr=787874193"
"91","1.878654","192.168.2.2","192.168.1.2","TCP","66","304640","5001  >  45658 [ACK] Seq=1 Ack=246161 Win=304640 Len=0 TSval=2321246750 TSecr=787874218"
"95","2.060729","192.168.2.2","192.168.1.2","TCP","66","304640","5001  >  45658 [ACK] Seq=1 Ack=267881 Win=304640 Len=0 TSval=2321246932 TSecr=787874218"
"97","2.242963","192.168.2.2","192.168.1.2","TCP","66","304640","5001  >  45658 [ACK] Seq=1 Ack=289601 Win=304640 Len=0 TSval=2321247115 TSecr=787874327"
"100","2.424167","192.168.2.2","192.168.1.2","TCP","66","310784","5001  >  45658 [ACK] Seq=1 Ack=292497 Win=310784 Len=0 TSval=2321247296 TSecr=787874350"
"102","2.447923","192.168.2.2","192.168.1.2","TCP","66","319488","5001  >  45658 [ACK] Seq=1 Ack=296841 Win=319488 Len=0 TSval=2321247320 TSecr=787874363"
"104","2.484933","192.168.2.2","192.168.1.2","TCP","66","348160","5001  >  45658 [ACK] Seq=1 Ack=311321 Win=348160 Len=0 TSval=2321247357 TSecr=787874375"
"106","2.605411","192.168.2.2","192.168.1.2","TCP","66","391680","5001  >  45658 [ACK] Seq=1 Ack=333041 Win=391680 Len=0 TSval=2321247477 TSecr=787874375"
"108","2.787583","192.168.2.2","192.168.1.2","TCP","66","435200","5001  >  45658 [ACK] Seq=1 Ack=354761 Win=435200 Len=0 TSval=2321247659 TSecr=787874501"
"111","2.969799","192.168.2.2","192.168.1.2","TCP","66","454144","5001  >  45658 [ACK] Seq=1 Ack=364297 Win=454144 Len=0 TSval=2321247841 TSecr=787874549"
"114","3.049091","192.168.2.2","192.168.1.2","TCP","66","477184","5001  >  45658 [ACK] Seq=1 Ack=375881 Win=477184 Len=0 TSval=2321247921 TSecr=787874557"
"116","3.145614","192.168.2.2","192.168.1.2","TCP","66","480256","5001  >  45658 [ACK] Seq=1 Ack=376481 Win=480256 Len=0 TSval=2321248017 TSecr=787874557"
"118","3.150954","192.168.2.2","192.168.1.2","TCP","66","481280","5001  >  45658 [ACK] Seq=1 Ack=398201 Win=481280 Len=0 TSval=2321248023 TSecr=787874618"
"120","3.333153","192.168.2.2","192.168.1.2","TCP","66","483840","5001  >  45658 [ACK] Seq=1 Ack=415577 Win=483840 Len=0 TSval=2321248205 TSecr=787874727"
"122","3.478148","192.168.2.2","192.168.1.2","TCP","66","489984","5001  >  45658 [ACK] Seq=1 Ack=419921 Win=489984 Len=0 TSval=2321248350 TSecr=787874741"
"124","3.514414","192.168.2.2","192.168.1.2","TCP","66","483840","5001  >  45658 [ACK] Seq=1 Ack=437297 Win=483840 Len=0 TSval=2321248386 TSecr=787874863"
"126","3.659704","192.168.2.2","192.168.1.2","TCP","66","489984","5001  >  45658 [ACK] Seq=1 Ack=441641 Win=489984 Len=0 TSval=2321248531 TSecr=787874922"
"129","3.697498","192.168.2.2","192.168.1.2","TCP","66","492032","5001  >  45658 [ACK] Seq=1 Ack=463361 Win=492032 Len=0 TSval=2321248569 TSecr=787875104"
"131","3.879795","192.168.2.2","192.168.1.2","TCP","66","492032","5001  >  45658 [ACK] Seq=1 Ack=485081 Win=492032 Len=0 TSval=2321248751 TSecr=787875287"
"134","4.060980","192.168.2.2","192.168.1.2","TCP","66","494080","5001  >  45658 [ACK] Seq=1 Ack=502457 Win=494080 Len=0 TSval=2321248933 TSecr=787875375"
"136","4.206925","192.168.2.2","192.168.1.2","TCP","66","499712","5001  >  45658 [ACK] Seq=1 Ack=505353 Win=499712 Len=0 TSval=2321249079 TSecr=787875468"
"138","4.230415","192.168.2.2","192.168.1.2","TCP","66","501760","5001  >  45658 [ACK] Seq=1 Ack=506801 Win=501760 Len=0 TSval=2321249102 TSecr=787875492"
"140","4.243171","192.168.2.2","192.168.1.2","TCP","66","494080","5001  >  45658 [ACK] Seq=1 Ack=524177 Win=494080 Len=0 TSval=2321249115 TSecr=787875529"
"143","4.388169","192.168.2.2","192.168.1.2","TCP","66","500736","5001  >  45658 [ACK] Seq=1 Ack=528521 Win=500736 Len=0 TSval=2321249260 TSecr=787875649"
"145","4.424199","192.168.2.2","192.168.1.2","TCP","66","492032","5001  >  45658 [ACK] Seq=1 Ack=550241 Win=492032 Len=0 TSval=2321249296 TSecr=787875831"
