"No.","Time","Source","Destination","Protocol","Length","Window size scaling factor","Calculated window size","Info"
"4","0.000379","192.168.2.2","192.168.1.2","TCP","74","","43440","5001  >  43962 [SYN, ACK] Seq=0 Ack=1 Win=43440 Len=0 MSS=1460 SACK_PERM=1 TSval=3824096322 TSecr=3459206020 WS=512"
"7","0.000474","192.168.2.2","192.168.1.2","TCP","66","512","39936","5001  >  43962 [ACK] Seq=1 Ack=7241 Win=39936 Len=0 TSval=3824096322 TSecr=3459206020"
"10","0.001989","192.168.2.2","192.168.1.2","TCP","66","512","36352","5001  >  43962 [ACK] Seq=1 Ack=14481 Win=36352 Len=0 TSval=3824096323 TSecr=3459206020"
"12","0.003406","192.168.2.2","192.168.1.2","TCP","66","512","31232","5001  >  43962 [ACK] Seq=1 Ack=24617 Win=31232 Len=0 TSval=3824096325 TSecr=3459206020"
"14","0.004445","192.168.2.2","192.168.1.2","TCP","66","512","29184","5001  >  43962 [ACK] Seq=1 Ack=28961 Win=29184 Len=0 TSval=3824096326 TSecr=3459206020"
"15","0.005355","192.168.2.2","192.168.1.2","TCP","66","512","22016","5001  >  43962 [ACK] Seq=1 Ack=43441 Win=22016 Len=0 TSval=3824096327 TSecr=3459206021"
"18","0.011894","192.168.2.2","192.168.1.2","TCP","66","512","42496","5001  >  43962 [ACK] Seq=1 Ack=58145 Win=42496 Len=0 TSval=3824096333 TSecr=3459206023"
"20","0.011924","192.168.2.2","192.168.1.2","TCP","66","512","71168","5001  >  43962 [ACK] Seq=1 Ack=72401 Win=71168 Len=0 TSval=3824096333 TSecr=3459206031"
"22","0.013726","192.168.2.2","192.168.1.2","TCP","66","512","108544","5001  >  43962 [ACK] Seq=1 Ack=91225 Win=108544 Len=0 TSval=3824096335 TSecr=3459206031"
"24","0.015691","192.168.2.2","192.168.1.2","TCP","66","512","114688","5001  >  43962 [ACK] Seq=1 Ack=94121 Win=114688 Len=0 TSval=3824096337 TSecr=3459206031"
"26","0.016647","192.168.2.2","192.168.1.2","TCP","66","512","120320","5001  >  43962 [ACK] Seq=1 Ack=97017 Win=120320 Len=0 TSval=3824096338 TSecr=3459206033"
"28","0.017609","192.168.2.2","192.168.1.2","TCP","66","512","157696","5001  >  43962 [ACK] Seq=1 Ack=115841 Win=157696 Len=0 TSval=3824096339 TSecr=3459206033"
"30","0.019659","192.168.2.2","192.168.1.2","TCP","66","512","186880","5001  >  43962 [ACK] Seq=1 Ack=130321 Win=186880 Len=0 TSval=3824096341 TSecr=3459206033"
"32","0.021568","192.168.2.2","192.168.1.2","TCP","66","512","198656","5001  >  43962 [ACK] Seq=1 Ack=136113 Win=198656 Len=0 TSval=3824096343 TSecr=3459206037"
"35","0.022548","192.168.2.2","192.168.1.2","TCP","66","512","201216","5001  >  43962 [ACK] Seq=1 Ack=137561 Win=201216 Len=0 TSval=3824096344 TSecr=3459206039"
"36","0.022549","192.168.2.2","192.168.1.2","TCP","66","512","232960","5001  >  43962 [ACK] Seq=1 Ack=153489 Win=232960 Len=0 TSval=3824096344 TSecr=3459206039"
"38","0.024523","192.168.2.2","192.168.1.2","TCP","66","512","244736","5001  >  43962 [ACK] Seq=1 Ack=159281 Win=244736 Len=0 TSval=3824096346 TSecr=3459206042"
"40","0.025467","192.168.2.2","192.168.1.2","TCP","66","512","273920","5001  >  43962 [ACK] Seq=1 Ack=173761 Win=273920 Len=0 TSval=3824096347 TSecr=3459206042"
"42","0.027452","192.168.2.2","192.168.1.2","TCP","66","512","281088","5001  >  43962 [ACK] Seq=1 Ack=181001 Win=281088 Len=0 TSval=3824096349 TSecr=3459206044"
"45","0.030390","192.168.2.2","192.168.1.2","TCP","66","512","281088","5001  >  43962 [ACK] Seq=1 Ack=202721 Win=281088 Len=0 TSval=3824096352 TSecr=3459206044"
"47","0.031413","192.168.2.2","192.168.1.2","TCP","66","512","281088","5001  >  43962 [ACK] Seq=1 Ack=220097 Win=281088 Len=0 TSval=3824096353 TSecr=3459206047"
"49","0.033309","192.168.2.2","192.168.1.2","TCP","66","512","282624","5001  >  43962 [ACK] Seq=1 Ack=224441 Win=282624 Len=0 TSval=3824096355 TSecr=3459206051"
"51","0.034277","192.168.2.2","192.168.1.2","TCP","66","512","282624","5001  >  43962 [ACK] Seq=1 Ack=238921 Win=282624 Len=0 TSval=3824096356 TSecr=3459206051"
"54","0.038415","192.168.2.2","192.168.1.2","TCP","66","512","282624","5001  >  43962 [ACK] Seq=1 Ack=263537 Win=282624 Len=0 TSval=3824096360 TSecr=3459206051"
"56","0.039217","192.168.2.2","192.168.1.2","TCP","66","512","282624","5001  >  43962 [ACK] Seq=1 Ack=279465 Win=282624 Len=0 TSval=3824096360 TSecr=3459206054"
"60","0.044094","192.168.2.2","192.168.1.2","TCP","66","512","282624","5001  >  43962 [ACK] Seq=1 Ack=317113 Win=282624 Len=0 TSval=3824096365 TSecr=3459206058"
"62","0.045060","192.168.2.2","192.168.1.2","TCP","66","512","282624","5001  >  43962 [ACK] Seq=1 Ack=324353 Win=282624 Len=0 TSval=3824096366 TSecr=3459206061"
"64","0.046031","192.168.2.2","192.168.1.2","TCP","66","512","282624","5001  >  43962 [ACK] Seq=1 Ack=337385 Win=282624 Len=0 TSval=3824096367 TSecr=3459206063"
"66","0.047004","192.168.2.2","192.168.1.2","TCP","66","512","282624","5001  >  43962 [ACK] Seq=1 Ack=350417 Win=282624 Len=0 TSval=3824096368 TSecr=3459206063"
"68","0.048833","192.168.2.2","192.168.1.2","TCP","66","512","282624","5001  >  43962 [ACK] Seq=1 Ack=354761 Win=282624 Len=0 TSval=3824096370 TSecr=3459206065"
"70","0.049066","192.168.2.2","192.168.1.2","TCP","66","512","282624","5001  >  43962 [ACK] Seq=1 Ack=367793 Win=282624 Len=0 TSval=3824096370 TSecr=3459206065"
"72","0.050162","192.168.2.2","192.168.1.2","TCP","66","512","282624","5001  >  43962 [ACK] Seq=1 Ack=372137 Win=282624 Len=0 TSval=3824096371 TSecr=3459206068"
"74","0.050523","192.168.2.2","192.168.1.2","TCP","66","512","282624","5001  >  43962 [ACK] Seq=1 Ack=388065 Win=282624 Len=0 TSval=3824096372 TSecr=3459206068"
"76","0.051925","192.168.2.2","192.168.1.2","TCP","66","512","282624","5001  >  43962 [ACK] Seq=1 Ack=403993 Win=282624 Len=0 TSval=3824096373 TSecr=3459206068"
"78","0.053902","192.168.2.2","192.168.1.2","TCP","66","512","282624","5001  >  43962 [ACK] Seq=1 Ack=415577 Win=282624 Len=0 TSval=3824096375 TSecr=3459206070"
"80","0.054742","192.168.2.2","192.168.1.2","TCP","66","512","282624","5001  >  43962 [ACK] Seq=1 Ack=419921 Win=282624 Len=0 TSval=3824096376 TSecr=3459206071"
"82","0.055111","192.168.2.2","192.168.1.2","TCP","66","512","282624","5001  >  43962 [ACK] Seq=1 Ack=435849 Win=282624 Len=0 TSval=3824096376 TSecr=3459206071"
"84","0.056437","192.168.2.2","192.168.1.2","TCP","66","512","282624","5001  >  43962 [ACK] Seq=1 Ack=453225 Win=282624 Len=0 TSval=3824096378 TSecr=3459206071"
"86","0.057889","192.168.2.2","192.168.1.2","TCP","66","512","282624","5001  >  43962 [ACK] Seq=1 Ack=472049 Win=282624 Len=0 TSval=3824096379 TSecr=3459206074"
"88","0.059762","192.168.2.2","192.168.1.2","TCP","66","512","282624","5001  >  43962 [ACK] Seq=1 Ack=485081 Win=282624 Len=0 TSval=3824096381 TSecr=3459206076"
"90","0.060716","192.168.2.2","192.168.1.2","TCP","66","512","282624","5001  >  43962 [ACK] Seq=1 Ack=502457 Win=282624 Len=0 TSval=3824096382 TSecr=3459206076"
"93","0.062680","192.168.2.2","192.168.1.2","TCP","66","512","283648","5001  >  43962 [ACK] Seq=1 Ack=503905 Win=283648 Len=0 TSval=3824096384 TSecr=3459206079"
"94","0.062883","192.168.2.2","192.168.1.2","TCP","66","512","283648","5001  >  43962 [ACK] Seq=1 Ack=522729 Win=283648 Len=0 TSval=3824096384 TSecr=3459206079"
"96","0.064647","192.168.2.2","192.168.1.2","TCP","66","512","283648","5001  >  43962 [ACK] Seq=1 Ack=540105 Win=283648 Len=0 TSval=3824096386 TSecr=3459206080"
"98","0.066629","192.168.2.2","192.168.1.2","TCP","66","512","283648","5001  >  43962 [ACK] Seq=1 Ack=550241 Win=283648 Len=0 TSval=3824096388 TSecr=3459206082"
"100","0.067343","192.168.2.2","192.168.1.2","TCP","66","512","283648","5001  >  43962 [ACK] Seq=1 Ack=569065 Win=283648 Len=0 TSval=3824096389 TSecr=3459206082"
"102","0.068924","192.168.2.2","192.168.1.2","TCP","66","512","283648","5001  >  43962 [ACK] Seq=1 Ack=587889 Win=283648 Len=0 TSval=3824096390 TSecr=3459206084"
"104","0.070506","192.168.2.2","192.168.1.2","TCP","66","512","283648","5001  >  43962 [ACK] Seq=1 Ack=605265 Win=283648 Len=0 TSval=3824096392 TSecr=3459206087"
"106","0.072471","192.168.2.2","192.168.1.2","TCP","66","512","283648","5001  >  43962 [ACK] Seq=1 Ack=615401 Win=283648 Len=0 TSval=3824096394 TSecr=3459206088"
"108","0.073194","192.168.2.2","192.168.1.2","TCP","66","512","283648","5001  >  43962 [ACK] Seq=1 Ack=632777 Win=283648 Len=0 TSval=3824096394 TSecr=3459206088"
"110","0.074650","192.168.2.2","192.168.1.2","TCP","66","512","283648","5001  >  43962 [ACK] Seq=1 Ack=644361 Win=283648 Len=0 TSval=3824096396 TSecr=3459206092"
"112","0.075627","192.168.2.2","192.168.1.2","TCP","66","512","283648","5001  >  43962 [ACK] Seq=1 Ack=661737 Win=283648 Len=0 TSval=3824096397 TSecr=3459206092"
"114","0.077370","192.168.2.2","192.168.1.2","TCP","66","512","283648","5001  >  43962 [ACK] Seq=1 Ack=679113 Win=283648 Len=0 TSval=3824096399 TSecr=3459206092"
"117","0.079430","192.168.2.2","192.168.1.2","TCP","66","512","283648","5001  >  43962 [ACK] Seq=1 Ack=699385 Win=283648 Len=0 TSval=3824096401 TSecr=3459206095"
"119","0.081047","192.168.2.2","192.168.1.2","TCP","66","512","283648","5001  >  43962 [ACK] Seq=1 Ack=718209 Win=283648 Len=0 TSval=3824096402 TSecr=3459206097"
"121","0.084898","192.168.2.2","192.168.1.2","TCP","66","512","283648","5001  >  43962 [ACK] Seq=1 Ack=737033 Win=283648 Len=0 TSval=3824096406 TSecr=3459206099"
"123","0.085235","192.168.2.2","192.168.1.2","TCP","66","512","283648","5001  >  43962 [ACK] Seq=1 Ack=745721 Win=283648 Len=0 TSval=3824096407 TSecr=3459206100"
"125","0.086432","192.168.2.2","192.168.1.2","TCP","66","512","283648","5001  >  43962 [ACK] Seq=1 Ack=765993 Win=283648 Len=0 TSval=3824096408 TSecr=3459206100"
"127","0.088234","192.168.2.2","192.168.1.2","TCP","66","512","283648","5001  >  43962 [ACK] Seq=1 Ack=780473 Win=283648 Len=0 TSval=3824096410 TSecr=3459206105"
"129","0.090164","192.168.2.2","192.168.1.2","TCP","66","512","283648","5001  >  43962 [ACK] Seq=1 Ack=799297 Win=283648 Len=0 TSval=3824096411 TSecr=3459206105"
"131","0.092165","192.168.2.2","192.168.1.2","TCP","66","512","283648","5001  >  43962 [ACK] Seq=1 Ack=810881 Win=283648 Len=0 TSval=3824096413 TSecr=3459206108"
"133","0.093083","192.168.2.2","192.168.1.2","TCP","66","512","283648","5001  >  43962 [ACK] Seq=1 Ack=829705 Win=283648 Len=0 TSval=3824096414 TSecr=3459206108"
"135","0.095045","192.168.2.2","192.168.1.2","TCP","66","512","283648","5001  >  43962 [ACK] Seq=1 Ack=848529 Win=283648 Len=0 TSval=3824096416 TSecr=3459206109"
"137","0.096998","192.168.2.2","192.168.1.2","TCP","66","512","283648","5001  >  43962 [ACK] Seq=1 Ack=865905 Win=283648 Len=0 TSval=3824096418 TSecr=3459206112"
"139","0.098969","192.168.2.2","192.168.1.2","TCP","66","512","283648","5001  >  43962 [ACK] Seq=1 Ack=876041 Win=283648 Len=0 TSval=3824096420 TSecr=3459206114"
"141","0.099996","192.168.2.2","192.168.1.2","TCP","66","512","283648","5001  >  43962 [ACK] Seq=1 Ack=894865 Win=283648 Len=0 TSval=3824096421 TSecr=3459206114"
"143","0.102867","192.168.2.2","192.168.1.2","TCP","66","512","283648","5001  >  43962 [ACK] Seq=1 Ack=913689 Win=283648 Len=0 TSval=3824096424 TSecr=3459206116"
"145","0.104815","192.168.2.2","192.168.1.2","TCP","66","512","283648","5001  >  43962 [ACK] Seq=1 Ack=932513 Win=283648 Len=0 TSval=3824096426 TSecr=3459206119"
"148","0.106826","192.168.2.2","192.168.1.2","TCP","66","512","283648","5001  >  43962 [ACK] Seq=1 Ack=941201 Win=283648 Len=0 TSval=3824096428 TSecr=3459206123"
"149","0.107819","192.168.2.2","192.168.1.2","TCP","66","512","283648","5001  >  43962 [ACK] Seq=1 Ack=960025 Win=283648 Len=0 TSval=3824096429 TSecr=3459206123"
"151","0.109237","192.168.2.2","192.168.1.2","TCP","66","512","283648","5001  >  43962 [ACK] Seq=1 Ack=978849 Win=283648 Len=0 TSval=3824096431 TSecr=3459206123"
"154","0.111679","192.168.2.2","192.168.1.2","TCP","66","512","283648","5001  >  43962 [ACK] Seq=1 Ack=997673 Win=283648 Len=0 TSval=3824096433 TSecr=3459206126"
"156","0.113118","192.168.2.2","192.168.1.2","TCP","66","512","283648","5001  >  43962 [ACK] Seq=1 Ack=1006361 Win=283648 Len=0 TSval=3824096434 TSecr=3459206128"
"158","0.113859","192.168.2.2","192.168.1.2","TCP","66","512","283648","5001  >  43962 [ACK] Seq=1 Ack=1025185 Win=283648 Len=0 TSval=3824096435 TSecr=3459206128"
"160","0.115578","192.168.2.2","192.168.1.2","TCP","66","512","283648","5001  >  43962 [ACK] Seq=1 Ack=1044009 Win=283648 Len=0 TSval=3824096437 TSecr=3459206129"
"162","0.117532","192.168.2.2","192.168.1.2","TCP","66","512","283648","5001  >  43962 [ACK] Seq=1 Ack=1062833 Win=283648 Len=0 TSval=3824096439 TSecr=3459206132"
