PING 192.168.2.2 (192.168.2.2) 56(84) bytes of data.
64 bytes from 192.168.2.2: icmp_seq=1 ttl=63 time=0.036 ms
64 bytes from 192.168.2.2: icmp_seq=2 ttl=63 time=7.82 ms
64 bytes from 192.168.2.2: icmp_seq=3 ttl=63 time=7.05 ms
64 bytes from 192.168.2.2: icmp_seq=4 ttl=63 time=8.21 ms
64 bytes from 192.168.2.2: icmp_seq=5 ttl=63 time=6.88 ms
64 bytes from 192.168.2.2: icmp_seq=6 ttl=63 time=7.98 ms
64 bytes from 192.168.2.2: icmp_seq=7 ttl=63 time=10.7 ms
64 bytes from 192.168.2.2: icmp_seq=8 ttl=63 time=6.63 ms
64 bytes from 192.168.2.2: icmp_seq=9 ttl=63 time=5.92 ms
64 bytes from 192.168.2.2: icmp_seq=10 ttl=63 time=5.90 ms
64 bytes from 192.168.2.2: icmp_seq=11 ttl=63 time=6.58 ms
64 bytes from 192.168.2.2: icmp_seq=12 ttl=63 time=6.43 ms
64 bytes from 192.168.2.2: icmp_seq=13 ttl=63 time=8.61 ms
64 bytes from 192.168.2.2: icmp_seq=14 ttl=63 time=8.31 ms
64 bytes from 192.168.2.2: icmp_seq=15 ttl=63 time=8.91 ms
64 bytes from 192.168.2.2: icmp_seq=16 ttl=63 time=8.20 ms
64 bytes from 192.168.2.2: icmp_seq=17 ttl=63 time=5.84 ms
64 bytes from 192.168.2.2: icmp_seq=18 ttl=63 time=11.8 ms
64 bytes from 192.168.2.2: icmp_seq=19 ttl=63 time=11.7 ms
64 bytes from 192.168.2.2: icmp_seq=20 ttl=63 time=9.16 ms
64 bytes from 192.168.2.2: icmp_seq=21 ttl=63 time=8.29 ms
64 bytes from 192.168.2.2: icmp_seq=22 ttl=63 time=6.06 ms
64 bytes from 192.168.2.2: icmp_seq=23 ttl=63 time=10.0 ms
64 bytes from 192.168.2.2: icmp_seq=24 ttl=63 time=9.00 ms
64 bytes from 192.168.2.2: icmp_seq=25 ttl=63 time=9.84 ms
64 bytes from 192.168.2.2: icmp_seq=26 ttl=63 time=5.47 ms
64 bytes from 192.168.2.2: icmp_seq=27 ttl=63 time=8.79 ms
64 bytes from 192.168.2.2: icmp_seq=28 ttl=63 time=12.6 ms
64 bytes from 192.168.2.2: icmp_seq=29 ttl=63 time=11.1 ms
64 bytes from 192.168.2.2: icmp_seq=30 ttl=63 time=8.24 ms
64 bytes from 192.168.2.2: icmp_seq=31 ttl=63 time=10.5 ms
64 bytes from 192.168.2.2: icmp_seq=32 ttl=63 time=6.52 ms
64 bytes from 192.168.2.2: icmp_seq=33 ttl=63 time=8.80 ms
64 bytes from 192.168.2.2: icmp_seq=34 ttl=63 time=3.31 ms
64 bytes from 192.168.2.2: icmp_seq=35 ttl=63 time=8.87 ms
64 bytes from 192.168.2.2: icmp_seq=36 ttl=63 time=7.93 ms
64 bytes from 192.168.2.2: icmp_seq=37 ttl=63 time=6.08 ms
64 bytes from 192.168.2.2: icmp_seq=38 ttl=63 time=8.78 ms
64 bytes from 192.168.2.2: icmp_seq=39 ttl=63 time=9.08 ms
64 bytes from 192.168.2.2: icmp_seq=40 ttl=63 time=11.8 ms
64 bytes from 192.168.2.2: icmp_seq=41 ttl=63 time=10.1 ms
64 bytes from 192.168.2.2: icmp_seq=42 ttl=63 time=10.9 ms
64 bytes from 192.168.2.2: icmp_seq=43 ttl=63 time=8.32 ms
64 bytes from 192.168.2.2: icmp_seq=44 ttl=63 time=8.84 ms
64 bytes from 192.168.2.2: icmp_seq=45 ttl=63 time=6.36 ms
64 bytes from 192.168.2.2: icmp_seq=46 ttl=63 time=5.84 ms
64 bytes from 192.168.2.2: icmp_seq=47 ttl=63 time=11.1 ms
64 bytes from 192.168.2.2: icmp_seq=48 ttl=63 time=9.01 ms
64 bytes from 192.168.2.2: icmp_seq=49 ttl=63 time=10.4 ms
64 bytes from 192.168.2.2: icmp_seq=50 ttl=63 time=8.83 ms
64 bytes from 192.168.2.2: icmp_seq=51 ttl=63 time=8.02 ms
64 bytes from 192.168.2.2: icmp_seq=52 ttl=63 time=5.25 ms
64 bytes from 192.168.2.2: icmp_seq=53 ttl=63 time=10.3 ms
64 bytes from 192.168.2.2: icmp_seq=54 ttl=63 time=9.37 ms
64 bytes from 192.168.2.2: icmp_seq=55 ttl=63 time=5.58 ms
64 bytes from 192.168.2.2: icmp_seq=56 ttl=63 time=6.62 ms
64 bytes from 192.168.2.2: icmp_seq=57 ttl=63 time=8.88 ms
64 bytes from 192.168.2.2: icmp_seq=58 ttl=63 time=5.84 ms
64 bytes from 192.168.2.2: icmp_seq=59 ttl=63 time=10.9 ms
64 bytes from 192.168.2.2: icmp_seq=60 ttl=63 time=8.92 ms
64 bytes from 192.168.2.2: icmp_seq=61 ttl=63 time=7.22 ms

--- 192.168.2.2 ping statistics ---
61 packets transmitted, 61 received, 0% packet loss, time 60091ms
rtt min/avg/max/mdev = 0.036/8.215/12.603/2.226 ms
