"No.","Time","Source","Destination","Protocol","Length","Calculated window size","Info"
"4","0.000678","192.168.2.2","192.168.1.2","TCP","74","43440","5001  >  45814 [SYN, ACK] Seq=0 Ack=1 Win=43440 Len=0 MSS=1460 SACK_PERM=1 TSval=2324607456 TSecr=791235628 WS=512"
"7","0.000729","192.168.2.2","192.168.1.2","TCP","66","39936","5001  >  45814 [ACK] Seq=1 Ack=7241 Win=39936 Len=0 TSval=2324607456 TSecr=791235628"
"12","0.049922","192.168.2.2","192.168.1.2","TCP","66","39936","5001  >  45814 [ACK] Seq=1 Ack=14481 Win=39936 Len=0 TSval=2324607506 TSecr=791235628"
"15","0.110692","192.168.2.2","192.168.1.2","TCP","66","38400","5001  >  45814 [ACK] Seq=1 Ack=24617 Win=38400 Len=0 TSval=2324607566 TSecr=791235628"
"24","0.195088","192.168.2.2","192.168.1.2","TCP","66","40960","5001  >  45814 [ACK] Seq=1 Ack=28961 Win=40960 Len=0 TSval=2324607651 TSecr=791235628"
"28","0.231489","192.168.2.2","192.168.1.2","TCP","66","42496","5001  >  45814 [ACK] Seq=1 Ack=30409 Win=42496 Len=0 TSval=2324607687 TSecr=791235643"
"31","0.243529","192.168.2.2","192.168.1.2","TCP","66","38912","5001  >  45814 [ACK] Seq=1 Ack=39097 Win=38912 Len=0 TSval=2324607699 TSecr=791235678"
"34","0.316210","192.168.2.2","192.168.1.2","TCP","66","40960","5001  >  45814 [ACK] Seq=1 Ack=43441 Win=40960 Len=0 TSval=2324607772 TSecr=791235703"
"38","0.352824","192.168.2.2","192.168.1.2","TCP","66","41984","5001  >  45814 [ACK] Seq=1 Ack=46337 Win=41984 Len=0 TSval=2324607808 TSecr=791235738"
"40","0.377275","192.168.2.2","192.168.1.2","TCP","66","41984","5001  >  45814 [ACK] Seq=1 Ack=49233 Win=41984 Len=0 TSval=2324607833 TSecr=791235738"
"42","0.401015","192.168.2.2","192.168.1.2","TCP","66","42496","5001  >  45814 [ACK] Seq=1 Ack=50681 Win=42496 Len=0 TSval=2324607856 TSecr=791235738"
"44","0.413635","192.168.2.2","192.168.1.2","TCP","66","41984","5001  >  45814 [ACK] Seq=1 Ack=53577 Win=41984 Len=0 TSval=2324607869 TSecr=791235738"
"46","0.438063","192.168.2.2","192.168.1.2","TCP","66","41984","5001  >  45814 [ACK] Seq=1 Ack=56473 Win=41984 Len=0 TSval=2324607894 TSecr=791235738"
"49","0.461625","192.168.2.2","192.168.1.2","TCP","66","41984","5001  >  45814 [ACK] Seq=1 Ack=59369 Win=41984 Len=0 TSval=2324607917 TSecr=791235739"
"51","0.486082","192.168.2.2","192.168.1.2","TCP","66","41984","5001  >  45814 [ACK] Seq=1 Ack=62265 Win=41984 Len=0 TSval=2324607942 TSecr=791235739"
"53","0.510599","192.168.2.2","192.168.1.2","TCP","78","42496","[TCP Window Update] 5001  >  45814 [ACK] Seq=1 Ack=62265 Win=42496 Len=0 TSval=2324607966 TSecr=791235791 SLE=60817 SRE=62265"
"55","0.522361","192.168.2.2","192.168.1.2","TCP","66","41984","5001  >  45814 [ACK] Seq=1 Ack=65161 Win=41984 Len=0 TSval=2324607978 TSecr=791235823"
"57","0.546856","192.168.2.2","192.168.1.2","TCP","66","41984","5001  >  45814 [ACK] Seq=1 Ack=68057 Win=41984 Len=0 TSval=2324608002 TSecr=791235823"
"60","0.571332","192.168.2.2","192.168.1.2","TCP","66","41984","5001  >  45814 [ACK] Seq=1 Ack=70953 Win=41984 Len=0 TSval=2324608027 TSecr=791235859"
"62","0.594876","192.168.2.2","192.168.1.2","TCP","66","42496","5001  >  45814 [ACK] Seq=1 Ack=72401 Win=42496 Len=0 TSval=2324608050 TSecr=791235859"
"64","0.606998","192.168.2.2","192.168.1.2","TCP","66","41984","5001  >  45814 [ACK] Seq=1 Ack=75297 Win=41984 Len=0 TSval=2324608062 TSecr=791235871"
"66","0.631156","192.168.2.2","192.168.1.2","TCP","66","41984","5001  >  45814 [ACK] Seq=1 Ack=78193 Win=41984 Len=0 TSval=2324608087 TSecr=791235944"
"68","0.655628","192.168.2.2","192.168.1.2","TCP","66","48128","5001  >  45814 [ACK] Seq=1 Ack=81089 Win=48128 Len=0 TSval=2324608111 TSecr=791235944"
