PING 192.168.2.2 (192.168.2.2) 56(84) bytes of data.
64 bytes from 192.168.2.2: icmp_seq=1 ttl=63 time=0.069 ms
64 bytes from 192.168.2.2: icmp_seq=2 ttl=63 time=717 ms
64 bytes from 192.168.2.2: icmp_seq=3 ttl=63 time=794 ms
64 bytes from 192.168.2.2: icmp_seq=4 ttl=63 time=838 ms
64 bytes from 192.168.2.2: icmp_seq=5 ttl=63 time=883 ms
64 bytes from 192.168.2.2: icmp_seq=6 ttl=63 time=1015 ms
64 bytes from 192.168.2.2: icmp_seq=7 ttl=63 time=1194 ms
64 bytes from 192.168.2.2: icmp_seq=8 ttl=63 time=1460 ms
64 bytes from 192.168.2.2: icmp_seq=9 ttl=63 time=2063 ms
64 bytes from 192.168.2.2: icmp_seq=10 ttl=63 time=2541 ms
64 bytes from 192.168.2.2: icmp_seq=11 ttl=63 time=2792 ms
64 bytes from 192.168.2.2: icmp_seq=12 ttl=63 time=3330 ms
64 bytes from 192.168.2.2: icmp_seq=13 ttl=63 time=3889 ms
64 bytes from 192.168.2.2: icmp_seq=14 ttl=63 time=4361 ms
64 bytes from 192.168.2.2: icmp_seq=15 ttl=63 time=4870 ms
64 bytes from 192.168.2.2: icmp_seq=16 ttl=63 time=5372 ms
64 bytes from 192.168.2.2: icmp_seq=17 ttl=63 time=5902 ms
64 bytes from 192.168.2.2: icmp_seq=18 ttl=63 time=6406 ms
64 bytes from 192.168.2.2: icmp_seq=19 ttl=63 time=6900 ms
64 bytes from 192.168.2.2: icmp_seq=20 ttl=63 time=7561 ms
64 bytes from 192.168.2.2: icmp_seq=21 ttl=63 time=8052 ms
64 bytes from 192.168.2.2: icmp_seq=22 ttl=63 time=8588 ms
64 bytes from 192.168.2.2: icmp_seq=23 ttl=63 time=9035 ms
64 bytes from 192.168.2.2: icmp_seq=24 ttl=63 time=9549 ms
64 bytes from 192.168.2.2: icmp_seq=25 ttl=63 time=10028 ms
64 bytes from 192.168.2.2: icmp_seq=26 ttl=63 time=10573 ms
64 bytes from 192.168.2.2: icmp_seq=27 ttl=63 time=10813 ms
64 bytes from 192.168.2.2: icmp_seq=28 ttl=63 time=11361 ms
64 bytes from 192.168.2.2: icmp_seq=29 ttl=63 time=11868 ms
64 bytes from 192.168.2.2: icmp_seq=30 ttl=63 time=12394 ms
64 bytes from 192.168.2.2: icmp_seq=31 ttl=63 time=12971 ms
64 bytes from 192.168.2.2: icmp_seq=32 ttl=63 time=13460 ms
64 bytes from 192.168.2.2: icmp_seq=33 ttl=63 time=14090 ms
64 bytes from 192.168.2.2: icmp_seq=34 ttl=63 time=14594 ms
64 bytes from 192.168.2.2: icmp_seq=35 ttl=63 time=15249 ms
64 bytes from 192.168.2.2: icmp_seq=36 ttl=63 time=15853 ms
64 bytes from 192.168.2.2: icmp_seq=37 ttl=63 time=16361 ms
64 bytes from 192.168.2.2: icmp_seq=38 ttl=63 time=16875 ms
64 bytes from 192.168.2.2: icmp_seq=39 ttl=63 time=17328 ms
64 bytes from 192.168.2.2: icmp_seq=40 ttl=63 time=17814 ms
64 bytes from 192.168.2.2: icmp_seq=41 ttl=63 time=18309 ms
64 bytes from 192.168.2.2: icmp_seq=42 ttl=63 time=18845 ms
64 bytes from 192.168.2.2: icmp_seq=43 ttl=63 time=19382 ms
64 bytes from 192.168.2.2: icmp_seq=44 ttl=63 time=19812 ms
64 bytes from 192.168.2.2: icmp_seq=45 ttl=63 time=20349 ms
64 bytes from 192.168.2.2: icmp_seq=46 ttl=63 time=20886 ms

--- 192.168.2.2 ping statistics ---
61 packets transmitted, 46 received, 24% packet loss, time 60507ms
rtt min/avg/max/mdev = 0.069/9507.593/20886.429/6484.677 ms, pipe 19
