PING 192.168.2.2 (192.168.2.2) 56(84) bytes of data.
64 bytes from 192.168.2.2: icmp_seq=1 ttl=63 time=0.036 ms
64 bytes from 192.168.2.2: icmp_seq=2 ttl=63 time=7.38 ms
64 bytes from 192.168.2.2: icmp_seq=3 ttl=63 time=9.94 ms
64 bytes from 192.168.2.2: icmp_seq=4 ttl=63 time=14.9 ms
64 bytes from 192.168.2.2: icmp_seq=5 ttl=63 time=13.7 ms
64 bytes from 192.168.2.2: icmp_seq=6 ttl=63 time=16.5 ms
64 bytes from 192.168.2.2: icmp_seq=7 ttl=63 time=19.2 ms
64 bytes from 192.168.2.2: icmp_seq=8 ttl=63 time=20.7 ms
64 bytes from 192.168.2.2: icmp_seq=9 ttl=63 time=20.0 ms
64 bytes from 192.168.2.2: icmp_seq=10 ttl=63 time=23.6 ms
64 bytes from 192.168.2.2: icmp_seq=11 ttl=63 time=26.4 ms
64 bytes from 192.168.2.2: icmp_seq=12 ttl=63 time=25.5 ms
64 bytes from 192.168.2.2: icmp_seq=13 ttl=63 time=26.1 ms
64 bytes from 192.168.2.2: icmp_seq=14 ttl=63 time=29.4 ms
64 bytes from 192.168.2.2: icmp_seq=15 ttl=63 time=30.8 ms
64 bytes from 192.168.2.2: icmp_seq=16 ttl=63 time=32.0 ms
64 bytes from 192.168.2.2: icmp_seq=17 ttl=63 time=34.5 ms
64 bytes from 192.168.2.2: icmp_seq=18 ttl=63 time=34.3 ms
64 bytes from 192.168.2.2: icmp_seq=19 ttl=63 time=41.1 ms
64 bytes from 192.168.2.2: icmp_seq=20 ttl=63 time=35.3 ms
64 bytes from 192.168.2.2: icmp_seq=21 ttl=63 time=35.4 ms
64 bytes from 192.168.2.2: icmp_seq=22 ttl=63 time=34.6 ms
64 bytes from 192.168.2.2: icmp_seq=23 ttl=63 time=39.5 ms
64 bytes from 192.168.2.2: icmp_seq=24 ttl=63 time=37.4 ms
64 bytes from 192.168.2.2: icmp_seq=25 ttl=63 time=39.3 ms
64 bytes from 192.168.2.2: icmp_seq=26 ttl=63 time=36.7 ms
64 bytes from 192.168.2.2: icmp_seq=27 ttl=63 time=42.5 ms
64 bytes from 192.168.2.2: icmp_seq=28 ttl=63 time=40.4 ms
64 bytes from 192.168.2.2: icmp_seq=29 ttl=63 time=39.8 ms
64 bytes from 192.168.2.2: icmp_seq=30 ttl=63 time=45.9 ms
64 bytes from 192.168.2.2: icmp_seq=31 ttl=63 time=41.3 ms
64 bytes from 192.168.2.2: icmp_seq=32 ttl=63 time=40.5 ms
64 bytes from 192.168.2.2: icmp_seq=33 ttl=63 time=45.0 ms
64 bytes from 192.168.2.2: icmp_seq=34 ttl=63 time=43.4 ms
64 bytes from 192.168.2.2: icmp_seq=35 ttl=63 time=53.8 ms
64 bytes from 192.168.2.2: icmp_seq=36 ttl=63 time=51.9 ms
64 bytes from 192.168.2.2: icmp_seq=37 ttl=63 time=49.4 ms
64 bytes from 192.168.2.2: icmp_seq=38 ttl=63 time=46.3 ms
64 bytes from 192.168.2.2: icmp_seq=39 ttl=63 time=46.5 ms
64 bytes from 192.168.2.2: icmp_seq=40 ttl=63 time=62.3 ms
64 bytes from 192.168.2.2: icmp_seq=41 ttl=63 time=47.8 ms
64 bytes from 192.168.2.2: icmp_seq=42 ttl=63 time=55.3 ms
64 bytes from 192.168.2.2: icmp_seq=43 ttl=63 time=53.4 ms
64 bytes from 192.168.2.2: icmp_seq=44 ttl=63 time=55.8 ms
64 bytes from 192.168.2.2: icmp_seq=45 ttl=63 time=62.3 ms
64 bytes from 192.168.2.2: icmp_seq=46 ttl=63 time=50.3 ms
64 bytes from 192.168.2.2: icmp_seq=47 ttl=63 time=53.9 ms
64 bytes from 192.168.2.2: icmp_seq=48 ttl=63 time=52.9 ms
64 bytes from 192.168.2.2: icmp_seq=49 ttl=63 time=55.6 ms
64 bytes from 192.168.2.2: icmp_seq=50 ttl=63 time=55.5 ms
64 bytes from 192.168.2.2: icmp_seq=51 ttl=63 time=54.8 ms
64 bytes from 192.168.2.2: icmp_seq=52 ttl=63 time=53.5 ms
64 bytes from 192.168.2.2: icmp_seq=53 ttl=63 time=53.6 ms
64 bytes from 192.168.2.2: icmp_seq=54 ttl=63 time=53.4 ms
64 bytes from 192.168.2.2: icmp_seq=55 ttl=63 time=54.3 ms
64 bytes from 192.168.2.2: icmp_seq=56 ttl=63 time=56.1 ms
64 bytes from 192.168.2.2: icmp_seq=57 ttl=63 time=57.2 ms
64 bytes from 192.168.2.2: icmp_seq=58 ttl=63 time=56.9 ms
64 bytes from 192.168.2.2: icmp_seq=59 ttl=63 time=56.6 ms
64 bytes from 192.168.2.2: icmp_seq=60 ttl=63 time=57.9 ms
64 bytes from 192.168.2.2: icmp_seq=61 ttl=63 time=60.0 ms

--- 192.168.2.2 ping statistics ---
61 packets transmitted, 61 received, 0% packet loss, time 60085ms
rtt min/avg/max/mdev = 0.036/40.873/62.387/15.119 ms
