"No.","Time","Source","Destination","Protocol","Length","Calculated window size","Info"
"4","0.000384","192.168.2.2","192.168.1.2","TCP","74","43440","5001  >  44570 [SYN, ACK] Seq=0 Ack=1 Win=43440 Len=0 MSS=1460 SACK_PERM=1 TSval=2037468837 TSecr=1373728006 WS=512"
"7","0.000433","192.168.2.2","192.168.1.2","TCP","66","39936","5001  >  44570 [ACK] Seq=1 Ack=7241 Win=39936 Len=0 TSval=2037468837 TSecr=1373728006"
"11","0.050647","192.168.2.2","192.168.1.2","TCP","66","39936","5001  >  44570 [ACK] Seq=1 Ack=14481 Win=39936 Len=0 TSval=2037468887 TSecr=1373728006"
"13","0.110478","192.168.2.2","192.168.1.2","TCP","66","39936","5001  >  44570 [ACK] Seq=1 Ack=21721 Win=39936 Len=0 TSval=2037468947 TSecr=1373728006"
"15","0.171217","192.168.2.2","192.168.1.2","TCP","66","42496","5001  >  44570 [ACK] Seq=1 Ack=23169 Win=42496 Len=0 TSval=2037469008 TSecr=1373728019"
"16","0.182997","192.168.2.2","192.168.1.2","TCP","66","42496","5001  >  44570 [ACK] Seq=1 Ack=24617 Win=42496 Len=0 TSval=2037469020 TSecr=1373728083"
"18","0.195797","192.168.2.2","192.168.1.2","TCP","66","42496","5001  >  44570 [ACK] Seq=1 Ack=26065 Win=42496 Len=0 TSval=2037469032 TSecr=1373728167"
"20","0.208487","192.168.2.2","192.168.1.2","TCP","66","42496","5001  >  44570 [ACK] Seq=1 Ack=27513 Win=42496 Len=0 TSval=2037469045 TSecr=1373728189"
"23","0.220226","192.168.2.2","192.168.1.2","TCP","66","42496","5001  >  44570 [ACK] Seq=1 Ack=28961 Win=42496 Len=0 TSval=2037469057 TSecr=1373728201"
"25","0.232105","192.168.2.2","192.168.1.2","TCP","66","42496","5001  >  44570 [ACK] Seq=1 Ack=30409 Win=42496 Len=0 TSval=2037469069 TSecr=1373728214"
"27","0.244252","192.168.2.2","192.168.1.2","TCP","66","42496","5001  >  44570 [ACK] Seq=1 Ack=31857 Win=42496 Len=0 TSval=2037469081 TSecr=1373728214"
"29","0.256330","192.168.2.2","192.168.1.2","TCP","66","42496","5001  >  44570 [ACK] Seq=1 Ack=33305 Win=42496 Len=0 TSval=2037469093 TSecr=1373728226"
"31","0.269261","192.168.2.2","192.168.1.2","TCP","66","42496","5001  >  44570 [ACK] Seq=1 Ack=34753 Win=42496 Len=0 TSval=2037469106 TSecr=1373728238"
"33","0.281007","192.168.2.2","192.168.1.2","TCP","66","42496","5001  >  44570 [ACK] Seq=1 Ack=36201 Win=42496 Len=0 TSval=2037469117 TSecr=1373728250"
"35","0.292799","192.168.2.2","192.168.1.2","TCP","66","41984","5001  >  44570 [ACK] Seq=1 Ack=39097 Win=41984 Len=0 TSval=2037469129 TSecr=1373728262"
"37","0.317638","192.168.2.2","192.168.1.2","TCP","66","42496","5001  >  44570 [ACK] Seq=1 Ack=40545 Win=42496 Len=0 TSval=2037469154 TSecr=1373728275"
"39","0.341146","192.168.2.2","192.168.1.2","TCP","66","42496","5001  >  44570 [ACK] Seq=1 Ack=43441 Win=42496 Len=0 TSval=2037469178 TSecr=1373728287"
"41","0.353607","192.168.2.2","192.168.1.2","TCP","66","42496","5001  >  44570 [ACK] Seq=1 Ack=46337 Win=42496 Len=0 TSval=2037469190 TSecr=1373728323"
"44","0.378055","192.168.2.2","192.168.1.2","TCP","66","42496","5001  >  44570 [ACK] Seq=1 Ack=49233 Win=42496 Len=0 TSval=2037469214 TSecr=1373728347"
"46","0.401706","192.168.2.2","192.168.1.2","TCP","66","42496","5001  >  44570 [ACK] Seq=1 Ack=52129 Win=42496 Len=0 TSval=2037469238 TSecr=1373728359"
"48","0.438028","192.168.2.2","192.168.1.2","TCP","66","42496","5001  >  44570 [ACK] Seq=1 Ack=56473 Win=42496 Len=0 TSval=2037469274 TSecr=1373728359"
