PING 192.168.40.2 (192.168.40.2) 56(84) bytes of data.
64 bytes from 192.168.40.2: icmp_seq=1 ttl=63 time=898 ms
64 bytes from 192.168.40.2: icmp_seq=2 ttl=63 time=1565 ms
64 bytes from 192.168.40.2: icmp_seq=3 ttl=63 time=1654 ms
64 bytes from 192.168.40.2: icmp_seq=4 ttl=63 time=3360 ms
64 bytes from 192.168.40.2: icmp_seq=5 ttl=63 time=6970 ms
64 bytes from 192.168.40.2: icmp_seq=6 ttl=63 time=5961 ms
64 bytes from 192.168.40.2: icmp_seq=7 ttl=63 time=6979 ms
64 bytes from 192.168.40.2: icmp_seq=8 ttl=63 time=7016 ms
64 bytes from 192.168.40.2: icmp_seq=9 ttl=63 time=7350 ms
64 bytes from 192.168.40.2: icmp_seq=10 ttl=63 time=6331 ms
64 bytes from 192.168.40.2: icmp_seq=11 ttl=63 time=5311 ms
64 bytes from 192.168.40.2: icmp_seq=12 ttl=63 time=4316 ms
64 bytes from 192.168.40.2: icmp_seq=13 ttl=63 time=3298 ms
64 bytes from 192.168.40.2: icmp_seq=14 ttl=63 time=2302 ms
64 bytes from 192.168.40.2: icmp_seq=15 ttl=63 time=1311 ms
64 bytes from 192.168.40.2: icmp_seq=16 ttl=63 time=308 ms
64 bytes from 192.168.40.2: icmp_seq=17 ttl=63 time=8394 ms
64 bytes from 192.168.40.2: icmp_seq=18 ttl=63 time=8806 ms
64 bytes from 192.168.40.2: icmp_seq=19 ttl=63 time=9494 ms
64 bytes from 192.168.40.2: icmp_seq=20 ttl=63 time=11880 ms
64 bytes from 192.168.40.2: icmp_seq=21 ttl=63 time=12564 ms
64 bytes from 192.168.40.2: icmp_seq=22 ttl=63 time=13244 ms
64 bytes from 192.168.40.2: icmp_seq=23 ttl=63 time=13735 ms
64 bytes from 192.168.40.2: icmp_seq=24 ttl=63 time=14607 ms
64 bytes from 192.168.40.2: icmp_seq=25 ttl=63 time=15859 ms
