PING 192.168.20.2 (192.168.20.2) 56(84) bytes of data.
64 bytes from 192.168.20.2: icmp_seq=1 ttl=63 time=229 ms
64 bytes from 192.168.20.2: icmp_seq=2 ttl=63 time=695 ms
64 bytes from 192.168.20.2: icmp_seq=3 ttl=63 time=765 ms
64 bytes from 192.168.20.2: icmp_seq=4 ttl=63 time=805 ms
64 bytes from 192.168.20.2: icmp_seq=5 ttl=63 time=851 ms
64 bytes from 192.168.20.2: icmp_seq=6 ttl=63 time=921 ms
64 bytes from 192.168.20.2: icmp_seq=7 ttl=63 time=1143 ms
64 bytes from 192.168.20.2: icmp_seq=8 ttl=63 time=1445 ms
64 bytes from 192.168.20.2: icmp_seq=9 ttl=63 time=1836 ms
64 bytes from 192.168.20.2: icmp_seq=10 ttl=63 time=2377 ms
64 bytes from 192.168.20.2: icmp_seq=11 ttl=63 time=2844 ms
64 bytes from 192.168.20.2: icmp_seq=12 ttl=63 time=3351 ms
64 bytes from 192.168.20.2: icmp_seq=13 ttl=63 time=3877 ms
64 bytes from 192.168.20.2: icmp_seq=14 ttl=63 time=4367 ms
64 bytes from 192.168.20.2: icmp_seq=15 ttl=63 time=4878 ms
64 bytes from 192.168.20.2: icmp_seq=16 ttl=63 time=5367 ms
64 bytes from 192.168.20.2: icmp_seq=17 ttl=63 time=5869 ms
64 bytes from 192.168.20.2: icmp_seq=18 ttl=63 time=6395 ms
64 bytes from 192.168.20.2: icmp_seq=19 ttl=63 time=6849 ms
64 bytes from 192.168.20.2: icmp_seq=20 ttl=63 time=7387 ms
64 bytes from 192.168.20.2: icmp_seq=21 ttl=63 time=7869 ms
64 bytes from 192.168.20.2: icmp_seq=22 ttl=63 time=8384 ms
64 bytes from 192.168.20.2: icmp_seq=23 ttl=63 time=8886 ms
64 bytes from 192.168.20.2: icmp_seq=24 ttl=63 time=9394 ms
64 bytes from 192.168.20.2: icmp_seq=25 ttl=63 time=9883 ms
64 bytes from 192.168.20.2: icmp_seq=26 ttl=63 time=10362 ms
64 bytes from 192.168.20.2: icmp_seq=27 ttl=63 time=10883 ms
64 bytes from 192.168.20.2: icmp_seq=28 ttl=63 time=11398 ms
64 bytes from 192.168.20.2: icmp_seq=29 ttl=63 time=11898 ms
