PING 192.168.30.2 (192.168.30.2) 56(84) bytes of data.
64 bytes from 192.168.30.2: icmp_seq=1 ttl=63 time=900 ms
64 bytes from 192.168.30.2: icmp_seq=2 ttl=63 time=1471 ms
64 bytes from 192.168.30.2: icmp_seq=3 ttl=63 time=2252 ms
64 bytes from 192.168.30.2: icmp_seq=4 ttl=63 time=2719 ms
64 bytes from 192.168.30.2: icmp_seq=5 ttl=63 time=2796 ms
64 bytes from 192.168.30.2: icmp_seq=6 ttl=63 time=2943 ms
64 bytes from 192.168.30.2: icmp_seq=7 ttl=63 time=3083 ms
64 bytes from 192.168.30.2: icmp_seq=8 ttl=63 time=3459 ms
64 bytes from 192.168.30.2: icmp_seq=9 ttl=63 time=3979 ms
64 bytes from 192.168.30.2: icmp_seq=10 ttl=63 time=4523 ms
64 bytes from 192.168.30.2: icmp_seq=11 ttl=63 time=4942 ms
64 bytes from 192.168.30.2: icmp_seq=12 ttl=63 time=5512 ms
64 bytes from 192.168.30.2: icmp_seq=13 ttl=63 time=5932 ms
64 bytes from 192.168.30.2: icmp_seq=14 ttl=63 time=6471 ms
64 bytes from 192.168.30.2: icmp_seq=15 ttl=63 time=6939 ms
64 bytes from 192.168.30.2: icmp_seq=16 ttl=63 time=7456 ms
64 bytes from 192.168.30.2: icmp_seq=17 ttl=63 time=8014 ms
64 bytes from 192.168.30.2: icmp_seq=18 ttl=63 time=8490 ms
64 bytes from 192.168.30.2: icmp_seq=19 ttl=63 time=9053 ms
64 bytes from 192.168.30.2: icmp_seq=20 ttl=63 time=9516 ms
64 bytes from 192.168.30.2: icmp_seq=21 ttl=63 time=9939 ms
64 bytes from 192.168.30.2: icmp_seq=22 ttl=63 time=10407 ms
64 bytes from 192.168.30.2: icmp_seq=23 ttl=63 time=10960 ms
64 bytes from 192.168.30.2: icmp_seq=24 ttl=63 time=11523 ms
64 bytes from 192.168.30.2: icmp_seq=25 ttl=63 time=12040 ms
64 bytes from 192.168.30.2: icmp_seq=26 ttl=63 time=12481 ms
64 bytes from 192.168.30.2: icmp_seq=27 ttl=63 time=13089 ms
64 bytes from 192.168.30.2: icmp_seq=28 ttl=63 time=13610 ms
