PING 192.168.40.2 (192.168.40.2) 56(84) bytes of data.
64 bytes from 192.168.40.2: icmp_seq=1 ttl=63 time=0.030 ms
64 bytes from 192.168.40.2: icmp_seq=2 ttl=63 time=1552 ms
64 bytes from 192.168.40.2: icmp_seq=3 ttl=63 time=1714 ms
64 bytes from 192.168.40.2: icmp_seq=4 ttl=63 time=3324 ms
64 bytes from 192.168.40.2: icmp_seq=5 ttl=63 time=4656 ms
64 bytes from 192.168.40.2: icmp_seq=6 ttl=63 time=5926 ms
64 bytes from 192.168.40.2: icmp_seq=7 ttl=63 time=6940 ms
64 bytes from 192.168.40.2: icmp_seq=8 ttl=63 time=6794 ms
64 bytes from 192.168.40.2: icmp_seq=9 ttl=63 time=7352 ms
64 bytes from 192.168.40.2: icmp_seq=10 ttl=63 time=6490 ms
64 bytes from 192.168.40.2: icmp_seq=11 ttl=63 time=6810 ms
64 bytes from 192.168.40.2: icmp_seq=12 ttl=63 time=5812 ms
64 bytes from 192.168.40.2: icmp_seq=13 ttl=63 time=4802 ms
64 bytes from 192.168.40.2: icmp_seq=14 ttl=63 time=3803 ms
64 bytes from 192.168.40.2: icmp_seq=15 ttl=63 time=2808 ms
64 bytes from 192.168.40.2: icmp_seq=16 ttl=63 time=1805 ms
64 bytes from 192.168.40.2: icmp_seq=17 ttl=63 time=807 ms
64 bytes from 192.168.40.2: icmp_seq=18 ttl=63 time=6909 ms
64 bytes from 192.168.40.2: icmp_seq=19 ttl=63 time=7987 ms
64 bytes from 192.168.40.2: icmp_seq=20 ttl=63 time=9810 ms
64 bytes from 192.168.40.2: icmp_seq=21 ttl=63 time=11064 ms
64 bytes from 192.168.40.2: icmp_seq=22 ttl=63 time=11750 ms
64 bytes from 192.168.40.2: icmp_seq=23 ttl=63 time=12432 ms
64 bytes from 192.168.40.2: icmp_seq=24 ttl=63 time=13114 ms
64 bytes from 192.168.40.2: icmp_seq=25 ttl=63 time=14390 ms
64 bytes from 192.168.40.2: icmp_seq=26 ttl=63 time=15648 ms
