PING 192.168.50.2 (192.168.50.2) 56(84) bytes of data.
64 bytes from 192.168.50.2: icmp_seq=1 ttl=63 time=893 ms
64 bytes from 192.168.50.2: icmp_seq=2 ttl=63 time=1461 ms
64 bytes from 192.168.50.2: icmp_seq=3 ttl=63 time=2245 ms
64 bytes from 192.168.50.2: icmp_seq=4 ttl=63 time=2719 ms
64 bytes from 192.168.50.2: icmp_seq=5 ttl=63 time=2796 ms
64 bytes from 192.168.50.2: icmp_seq=6 ttl=63 time=2944 ms
64 bytes from 192.168.50.2: icmp_seq=7 ttl=63 time=3084 ms
64 bytes from 192.168.50.2: icmp_seq=8 ttl=63 time=3506 ms
64 bytes from 192.168.50.2: icmp_seq=9 ttl=63 time=3980 ms
64 bytes from 192.168.50.2: icmp_seq=10 ttl=63 time=4521 ms
64 bytes from 192.168.50.2: icmp_seq=11 ttl=63 time=4896 ms
64 bytes from 192.168.50.2: icmp_seq=12 ttl=63 time=5510 ms
64 bytes from 192.168.50.2: icmp_seq=13 ttl=63 time=5930 ms
64 bytes from 192.168.50.2: icmp_seq=14 ttl=63 time=6462 ms
64 bytes from 192.168.50.2: icmp_seq=15 ttl=63 time=6935 ms
64 bytes from 192.168.50.2: icmp_seq=16 ttl=63 time=7450 ms
64 bytes from 192.168.50.2: icmp_seq=17 ttl=63 time=8012 ms
64 bytes from 192.168.50.2: icmp_seq=18 ttl=63 time=8488 ms
64 bytes from 192.168.50.2: icmp_seq=19 ttl=63 time=9004 ms
64 bytes from 192.168.50.2: icmp_seq=20 ttl=63 time=9467 ms
64 bytes from 192.168.50.2: icmp_seq=21 ttl=63 time=9935 ms
64 bytes from 192.168.50.2: icmp_seq=22 ttl=63 time=10406 ms
64 bytes from 192.168.50.2: icmp_seq=23 ttl=63 time=10961 ms
64 bytes from 192.168.50.2: icmp_seq=24 ttl=63 time=11526 ms
64 bytes from 192.168.50.2: icmp_seq=25 ttl=63 time=12040 ms
64 bytes from 192.168.50.2: icmp_seq=26 ttl=63 time=12515 ms
64 bytes from 192.168.50.2: icmp_seq=27 ttl=63 time=12938 ms
64 bytes from 192.168.50.2: icmp_seq=28 ttl=63 time=13454 ms
64 bytes from 192.168.50.2: icmp_seq=29 ttl=63 time=14058 ms
