PING 192.168.80.2 (192.168.80.2) 56(84) bytes of data.
64 bytes from 192.168.80.2: icmp_seq=1 ttl=63 time=0.101 ms
64 bytes from 192.168.80.2: icmp_seq=2 ttl=63 time=848 ms
64 bytes from 192.168.80.2: icmp_seq=3 ttl=63 time=1807 ms
64 bytes from 192.168.80.2: icmp_seq=4 ttl=63 time=1801 ms
64 bytes from 192.168.80.2: icmp_seq=5 ttl=63 time=1690 ms
64 bytes from 192.168.80.2: icmp_seq=6 ttl=63 time=1817 ms
64 bytes from 192.168.80.2: icmp_seq=11 ttl=63 time=1214 ms
64 bytes from 192.168.80.2: icmp_seq=12 ttl=63 time=192 ms
64 bytes from 192.168.80.2: icmp_seq=13 ttl=63 time=3455 ms
64 bytes from 192.168.80.2: icmp_seq=14 ttl=63 time=3528 ms
64 bytes from 192.168.80.2: icmp_seq=15 ttl=63 time=2825 ms
64 bytes from 192.168.80.2: icmp_seq=16 ttl=63 time=1802 ms
64 bytes from 192.168.80.2: icmp_seq=17 ttl=63 time=801 ms
64 bytes from 192.168.80.2: icmp_seq=18 ttl=63 time=158 ms
64 bytes from 192.168.80.2: icmp_seq=19 ttl=63 time=177 ms
64 bytes from 192.168.80.2: icmp_seq=20 ttl=63 time=113 ms
