PING 192.168.80.2 (192.168.80.2) 56(84) bytes of data.
64 bytes from 192.168.80.2: icmp_seq=1 ttl=63 time=230 ms
64 bytes from 192.168.80.2: icmp_seq=2 ttl=63 time=697 ms
64 bytes from 192.168.80.2: icmp_seq=3 ttl=63 time=738 ms
64 bytes from 192.168.80.2: icmp_seq=4 ttl=63 time=810 ms
64 bytes from 192.168.80.2: icmp_seq=5 ttl=63 time=856 ms
64 bytes from 192.168.80.2: icmp_seq=6 ttl=63 time=919 ms
64 bytes from 192.168.80.2: icmp_seq=7 ttl=63 time=1140 ms
64 bytes from 192.168.80.2: icmp_seq=8 ttl=63 time=1423 ms
64 bytes from 192.168.80.2: icmp_seq=9 ttl=63 time=1847 ms
64 bytes from 192.168.80.2: icmp_seq=10 ttl=63 time=2307 ms
64 bytes from 192.168.80.2: icmp_seq=11 ttl=63 time=2860 ms
64 bytes from 192.168.80.2: icmp_seq=12 ttl=63 time=3340 ms
64 bytes from 192.168.80.2: icmp_seq=13 ttl=63 time=3879 ms
