PING 192.168.60.2 (192.168.60.2) 56(84) bytes of data.
64 bytes from 192.168.60.2: icmp_seq=1 ttl=63 time=170 ms
64 bytes from 192.168.60.2: icmp_seq=2 ttl=63 time=102 ms
64 bytes from 192.168.60.2: icmp_seq=3 ttl=63 time=131 ms
64 bytes from 192.168.60.2: icmp_seq=4 ttl=63 time=147 ms
64 bytes from 192.168.60.2: icmp_seq=5 ttl=63 time=152 ms
64 bytes from 192.168.60.2: icmp_seq=6 ttl=63 time=157 ms
64 bytes from 192.168.60.2: icmp_seq=7 ttl=63 time=200 ms
64 bytes from 192.168.60.2: icmp_seq=8 ttl=63 time=186 ms
64 bytes from 192.168.60.2: icmp_seq=9 ttl=63 time=185 ms
64 bytes from 192.168.60.2: icmp_seq=10 ttl=63 time=176 ms
64 bytes from 192.168.60.2: icmp_seq=11 ttl=63 time=192 ms
64 bytes from 192.168.60.2: icmp_seq=12 ttl=63 time=209 ms
64 bytes from 192.168.60.2: icmp_seq=13 ttl=63 time=201 ms
64 bytes from 192.168.60.2: icmp_seq=14 ttl=63 time=195 ms
64 bytes from 192.168.60.2: icmp_seq=15 ttl=63 time=210 ms
64 bytes from 192.168.60.2: icmp_seq=16 ttl=63 time=205 ms
64 bytes from 192.168.60.2: icmp_seq=17 ttl=63 time=196 ms
64 bytes from 192.168.60.2: icmp_seq=18 ttl=63 time=210 ms
64 bytes from 192.168.60.2: icmp_seq=19 ttl=63 time=229 ms
64 bytes from 192.168.60.2: icmp_seq=20 ttl=63 time=197 ms
64 bytes from 192.168.60.2: icmp_seq=21 ttl=63 time=213 ms
