PING 192.168.20.2 (192.168.20.2) 56(84) bytes of data.
64 bytes from 192.168.20.2: icmp_seq=1 ttl=63 time=0.048 ms
64 bytes from 192.168.20.2: icmp_seq=2 ttl=63 time=1246 ms
64 bytes from 192.168.20.2: icmp_seq=3 ttl=63 time=1690 ms
64 bytes from 192.168.20.2: icmp_seq=4 ttl=63 time=1852 ms
64 bytes from 192.168.20.2: icmp_seq=5 ttl=63 time=1725 ms
64 bytes from 192.168.20.2: icmp_seq=6 ttl=63 time=1839 ms
64 bytes from 192.168.20.2: icmp_seq=7 ttl=63 time=1929 ms
64 bytes from 192.168.20.2: icmp_seq=8 ttl=63 time=1790 ms
64 bytes from 192.168.20.2: icmp_seq=9 ttl=63 time=1872 ms
64 bytes from 192.168.20.2: icmp_seq=10 ttl=63 time=1782 ms
64 bytes from 192.168.20.2: icmp_seq=11 ttl=63 time=1619 ms
64 bytes from 192.168.20.2: icmp_seq=12 ttl=63 time=623 ms
64 bytes from 192.168.20.2: icmp_seq=13 ttl=63 time=2023 ms
