PING 192.168.60.2 (192.168.60.2) 56(84) bytes of data.
64 bytes from 192.168.60.2: icmp_seq=1 ttl=63 time=0.041 ms
64 bytes from 192.168.60.2: icmp_seq=2 ttl=63 time=1684 ms
64 bytes from 192.168.60.2: icmp_seq=3 ttl=63 time=2603 ms
64 bytes from 192.168.60.2: icmp_seq=4 ttl=63 time=3217 ms
64 bytes from 192.168.60.2: icmp_seq=5 ttl=63 time=3340 ms
64 bytes from 192.168.60.2: icmp_seq=6 ttl=63 time=4190 ms
64 bytes from 192.168.60.2: icmp_seq=10 ttl=63 time=5016 ms
64 bytes from 192.168.60.2: icmp_seq=12 ttl=63 time=4294 ms
64 bytes from 192.168.60.2: icmp_seq=13 ttl=63 time=3277 ms
64 bytes from 192.168.60.2: icmp_seq=14 ttl=63 time=2251 ms
64 bytes from 192.168.60.2: icmp_seq=15 ttl=63 time=1252 ms
64 bytes from 192.168.60.2: icmp_seq=16 ttl=63 time=440 ms
64 bytes from 192.168.60.2: icmp_seq=17 ttl=63 time=8722 ms
64 bytes from 192.168.60.2: icmp_seq=27 ttl=63 time=10884 ms
64 bytes from 192.168.60.2: icmp_seq=28 ttl=63 time=9863 ms
64 bytes from 192.168.60.2: icmp_seq=29 ttl=63 time=8844 ms
64 bytes from 192.168.60.2: icmp_seq=30 ttl=63 time=7819 ms
