PING 192.168.30.2 (192.168.30.2) 56(84) bytes of data.
64 bytes from 192.168.30.2: icmp_seq=1 ttl=63 time=0.043 ms
64 bytes from 192.168.30.2: icmp_seq=2 ttl=63 time=1450 ms
64 bytes from 192.168.30.2: icmp_seq=3 ttl=63 time=2462 ms
64 bytes from 192.168.30.2: icmp_seq=4 ttl=63 time=2696 ms
64 bytes from 192.168.30.2: icmp_seq=5 ttl=63 time=2775 ms
64 bytes from 192.168.30.2: icmp_seq=6 ttl=63 time=2921 ms
64 bytes from 192.168.30.2: icmp_seq=7 ttl=63 time=3062 ms
64 bytes from 192.168.30.2: icmp_seq=8 ttl=63 time=3481 ms
64 bytes from 192.168.30.2: icmp_seq=9 ttl=63 time=3951 ms
64 bytes from 192.168.30.2: icmp_seq=10 ttl=63 time=4503 ms
64 bytes from 192.168.30.2: icmp_seq=11 ttl=63 time=5066 ms
64 bytes from 192.168.30.2: icmp_seq=12 ttl=63 time=5490 ms
64 bytes from 192.168.30.2: icmp_seq=13 ttl=63 time=5912 ms
64 bytes from 192.168.30.2: icmp_seq=14 ttl=63 time=6446 ms
64 bytes from 192.168.30.2: icmp_seq=15 ttl=63 time=7058 ms
64 bytes from 192.168.30.2: icmp_seq=16 ttl=63 time=7422 ms
64 bytes from 192.168.30.2: icmp_seq=17 ttl=63 time=7983 ms
64 bytes from 192.168.30.2: icmp_seq=18 ttl=63 time=8458 ms
64 bytes from 192.168.30.2: icmp_seq=19 ttl=63 time=9022 ms
64 bytes from 192.168.30.2: icmp_seq=20 ttl=63 time=9513 ms
64 bytes from 192.168.30.2: icmp_seq=21 ttl=63 time=10074 ms
64 bytes from 192.168.30.2: icmp_seq=22 ttl=63 time=10482 ms
64 bytes from 192.168.30.2: icmp_seq=23 ttl=63 time=11023 ms
64 bytes from 192.168.30.2: icmp_seq=24 ttl=63 time=11540 ms
64 bytes from 192.168.30.2: icmp_seq=25 ttl=63 time=12104 ms
64 bytes from 192.168.30.2: icmp_seq=26 ttl=63 time=12480 ms
64 bytes from 192.168.30.2: icmp_seq=27 ttl=63 time=13042 ms
64 bytes from 192.168.30.2: icmp_seq=28 ttl=63 time=13555 ms
64 bytes from 192.168.30.2: icmp_seq=29 ttl=63 time=13946 ms
