PING 192.168.30.2 (192.168.30.2) 56(84) bytes of data.
64 bytes from 192.168.30.2: icmp_seq=1 ttl=63 time=0.039 ms
64 bytes from 192.168.30.2: icmp_seq=2 ttl=63 time=705 ms
64 bytes from 192.168.30.2: icmp_seq=3 ttl=63 time=760 ms
64 bytes from 192.168.30.2: icmp_seq=4 ttl=63 time=803 ms
64 bytes from 192.168.30.2: icmp_seq=5 ttl=63 time=870 ms
64 bytes from 192.168.30.2: icmp_seq=6 ttl=63 time=912 ms
64 bytes from 192.168.30.2: icmp_seq=7 ttl=63 time=1126 ms
64 bytes from 192.168.30.2: icmp_seq=8 ttl=63 time=1432 ms
64 bytes from 192.168.30.2: icmp_seq=9 ttl=63 time=1863 ms
64 bytes from 192.168.30.2: icmp_seq=10 ttl=63 time=2334 ms
64 bytes from 192.168.30.2: icmp_seq=11 ttl=63 time=2849 ms
64 bytes from 192.168.30.2: icmp_seq=12 ttl=63 time=3257 ms
