PING 192.168.2.2 (192.168.2.2) 56(84) bytes of data.
64 bytes from 192.168.2.2: icmp_seq=1 ttl=63 time=0.039 ms
64 bytes from 192.168.2.2: icmp_seq=2 ttl=63 time=0.065 ms
64 bytes from 192.168.2.2: icmp_seq=3 ttl=63 time=0.141 ms
64 bytes from 192.168.2.2: icmp_seq=4 ttl=63 time=0.053 ms
64 bytes from 192.168.2.2: icmp_seq=5 ttl=63 time=0.048 ms
64 bytes from 192.168.2.2: icmp_seq=6 ttl=63 time=0.035 ms
64 bytes from 192.168.2.2: icmp_seq=7 ttl=63 time=0.019 ms
64 bytes from 192.168.2.2: icmp_seq=8 ttl=63 time=0.945 ms
64 bytes from 192.168.2.2: icmp_seq=9 ttl=63 time=0.101 ms
64 bytes from 192.168.2.2: icmp_seq=10 ttl=63 time=0.102 ms
64 bytes from 192.168.2.2: icmp_seq=11 ttl=63 time=0.041 ms
64 bytes from 192.168.2.2: icmp_seq=12 ttl=63 time=0.020 ms
64 bytes from 192.168.2.2: icmp_seq=13 ttl=63 time=0.036 ms
64 bytes from 192.168.2.2: icmp_seq=14 ttl=63 time=0.020 ms
64 bytes from 192.168.2.2: icmp_seq=15 ttl=63 time=0.101 ms
64 bytes from 192.168.2.2: icmp_seq=16 ttl=63 time=0.317 ms
64 bytes from 192.168.2.2: icmp_seq=17 ttl=63 time=0.095 ms
64 bytes from 192.168.2.2: icmp_seq=18 ttl=63 time=0.030 ms
64 bytes from 192.168.2.2: icmp_seq=19 ttl=63 time=0.152 ms
64 bytes from 192.168.2.2: icmp_seq=20 ttl=63 time=0.040 ms
64 bytes from 192.168.2.2: icmp_seq=21 ttl=63 time=0.043 ms
64 bytes from 192.168.2.2: icmp_seq=22 ttl=63 time=0.035 ms
64 bytes from 192.168.2.2: icmp_seq=23 ttl=63 time=0.065 ms
64 bytes from 192.168.2.2: icmp_seq=24 ttl=63 time=0.044 ms
64 bytes from 192.168.2.2: icmp_seq=25 ttl=63 time=0.078 ms
64 bytes from 192.168.2.2: icmp_seq=26 ttl=63 time=0.033 ms
64 bytes from 192.168.2.2: icmp_seq=27 ttl=63 time=0.053 ms
64 bytes from 192.168.2.2: icmp_seq=28 ttl=63 time=0.037 ms
64 bytes from 192.168.2.2: icmp_seq=29 ttl=63 time=0.064 ms
64 bytes from 192.168.2.2: icmp_seq=30 ttl=63 time=0.040 ms
64 bytes from 192.168.2.2: icmp_seq=31 ttl=63 time=0.043 ms
64 bytes from 192.168.2.2: icmp_seq=32 ttl=63 time=0.064 ms
64 bytes from 192.168.2.2: icmp_seq=33 ttl=63 time=0.971 ms
64 bytes from 192.168.2.2: icmp_seq=34 ttl=63 time=0.101 ms
64 bytes from 192.168.2.2: icmp_seq=35 ttl=63 time=0.038 ms
64 bytes from 192.168.2.2: icmp_seq=36 ttl=63 time=0.033 ms
64 bytes from 192.168.2.2: icmp_seq=37 ttl=63 time=0.091 ms
64 bytes from 192.168.2.2: icmp_seq=38 ttl=63 time=0.031 ms
64 bytes from 192.168.2.2: icmp_seq=39 ttl=63 time=0.061 ms
64 bytes from 192.168.2.2: icmp_seq=40 ttl=63 time=0.030 ms
64 bytes from 192.168.2.2: icmp_seq=41 ttl=63 time=0.058 ms
64 bytes from 192.168.2.2: icmp_seq=42 ttl=63 time=0.959 ms
64 bytes from 192.168.2.2: icmp_seq=43 ttl=63 time=0.030 ms
64 bytes from 192.168.2.2: icmp_seq=44 ttl=63 time=1.03 ms
64 bytes from 192.168.2.2: icmp_seq=45 ttl=63 time=0.998 ms
64 bytes from 192.168.2.2: icmp_seq=46 ttl=63 time=0.027 ms
64 bytes from 192.168.2.2: icmp_seq=47 ttl=63 time=0.050 ms
64 bytes from 192.168.2.2: icmp_seq=48 ttl=63 time=0.093 ms
64 bytes from 192.168.2.2: icmp_seq=49 ttl=63 time=0.083 ms
64 bytes from 192.168.2.2: icmp_seq=50 ttl=63 time=0.038 ms
64 bytes from 192.168.2.2: icmp_seq=51 ttl=63 time=0.018 ms
64 bytes from 192.168.2.2: icmp_seq=52 ttl=63 time=0.031 ms
64 bytes from 192.168.2.2: icmp_seq=53 ttl=63 time=1.02 ms
64 bytes from 192.168.2.2: icmp_seq=54 ttl=63 time=0.044 ms
64 bytes from 192.168.2.2: icmp_seq=55 ttl=63 time=0.776 ms
64 bytes from 192.168.2.2: icmp_seq=56 ttl=63 time=0.079 ms
64 bytes from 192.168.2.2: icmp_seq=57 ttl=63 time=0.020 ms
64 bytes from 192.168.2.2: icmp_seq=58 ttl=63 time=0.351 ms
64 bytes from 192.168.2.2: icmp_seq=59 ttl=63 time=0.933 ms
64 bytes from 192.168.2.2: icmp_seq=60 ttl=63 time=0.050 ms
64 bytes from 192.168.2.2: icmp_seq=61 ttl=63 time=0.088 ms

--- 192.168.2.2 ping statistics ---
61 packets transmitted, 61 received, 0% packet loss, time 61152ms
rtt min/avg/max/mdev = 0.018/0.182/1.036/0.307 ms
