PING 192.168.2.2 (192.168.2.2) 56(84) bytes of data.
64 bytes from 192.168.2.2: icmp_seq=1 ttl=63 time=0.038 ms
64 bytes from 192.168.2.2: icmp_seq=2 ttl=63 time=0.186 ms
64 bytes from 192.168.2.2: icmp_seq=3 ttl=63 time=0.292 ms
64 bytes from 192.168.2.2: icmp_seq=4 ttl=63 time=0.170 ms
64 bytes from 192.168.2.2: icmp_seq=5 ttl=63 time=0.125 ms
64 bytes from 192.168.2.2: icmp_seq=6 ttl=63 time=0.382 ms
64 bytes from 192.168.2.2: icmp_seq=7 ttl=63 time=0.232 ms
64 bytes from 192.168.2.2: icmp_seq=8 ttl=63 time=0.172 ms
64 bytes from 192.168.2.2: icmp_seq=9 ttl=63 time=0.039 ms
64 bytes from 192.168.2.2: icmp_seq=10 ttl=63 time=0.127 ms
64 bytes from 192.168.2.2: icmp_seq=11 ttl=63 time=0.168 ms
64 bytes from 192.168.2.2: icmp_seq=12 ttl=63 time=0.320 ms
64 bytes from 192.168.2.2: icmp_seq=13 ttl=63 time=0.291 ms
64 bytes from 192.168.2.2: icmp_seq=14 ttl=63 time=0.255 ms
64 bytes from 192.168.2.2: icmp_seq=15 ttl=63 time=0.282 ms
64 bytes from 192.168.2.2: icmp_seq=16 ttl=63 time=0.264 ms
64 bytes from 192.168.2.2: icmp_seq=17 ttl=63 time=0.353 ms
64 bytes from 192.168.2.2: icmp_seq=18 ttl=63 time=0.299 ms
64 bytes from 192.168.2.2: icmp_seq=19 ttl=63 time=0.316 ms
64 bytes from 192.168.2.2: icmp_seq=20 ttl=63 time=0.407 ms
64 bytes from 192.168.2.2: icmp_seq=21 ttl=63 time=0.395 ms
64 bytes from 192.168.2.2: icmp_seq=22 ttl=63 time=0.425 ms
64 bytes from 192.168.2.2: icmp_seq=23 ttl=63 time=0.328 ms
64 bytes from 192.168.2.2: icmp_seq=24 ttl=63 time=0.434 ms
64 bytes from 192.168.2.2: icmp_seq=25 ttl=63 time=0.306 ms
64 bytes from 192.168.2.2: icmp_seq=26 ttl=63 time=0.261 ms
64 bytes from 192.168.2.2: icmp_seq=27 ttl=63 time=0.362 ms
64 bytes from 192.168.2.2: icmp_seq=28 ttl=63 time=0.034 ms
64 bytes from 192.168.2.2: icmp_seq=29 ttl=63 time=0.276 ms
64 bytes from 192.168.2.2: icmp_seq=30 ttl=63 time=0.303 ms
64 bytes from 192.168.2.2: icmp_seq=31 ttl=63 time=0.150 ms
64 bytes from 192.168.2.2: icmp_seq=32 ttl=63 time=0.307 ms
64 bytes from 192.168.2.2: icmp_seq=33 ttl=63 time=0.324 ms
64 bytes from 192.168.2.2: icmp_seq=34 ttl=63 time=0.453 ms
64 bytes from 192.168.2.2: icmp_seq=35 ttl=63 time=0.998 ms
64 bytes from 192.168.2.2: icmp_seq=36 ttl=63 time=0.105 ms
64 bytes from 192.168.2.2: icmp_seq=37 ttl=63 time=0.497 ms
64 bytes from 192.168.2.2: icmp_seq=38 ttl=63 time=0.493 ms
64 bytes from 192.168.2.2: icmp_seq=39 ttl=63 time=0.130 ms
64 bytes from 192.168.2.2: icmp_seq=40 ttl=63 time=0.419 ms
64 bytes from 192.168.2.2: icmp_seq=41 ttl=63 time=0.305 ms
64 bytes from 192.168.2.2: icmp_seq=42 ttl=63 time=0.308 ms
64 bytes from 192.168.2.2: icmp_seq=43 ttl=63 time=0.138 ms
64 bytes from 192.168.2.2: icmp_seq=44 ttl=63 time=0.212 ms
64 bytes from 192.168.2.2: icmp_seq=45 ttl=63 time=0.245 ms
64 bytes from 192.168.2.2: icmp_seq=46 ttl=63 time=0.260 ms
64 bytes from 192.168.2.2: icmp_seq=47 ttl=63 time=0.048 ms
64 bytes from 192.168.2.2: icmp_seq=48 ttl=63 time=0.120 ms
64 bytes from 192.168.2.2: icmp_seq=49 ttl=63 time=0.046 ms
64 bytes from 192.168.2.2: icmp_seq=50 ttl=63 time=0.269 ms
64 bytes from 192.168.2.2: icmp_seq=51 ttl=63 time=0.367 ms
64 bytes from 192.168.2.2: icmp_seq=52 ttl=63 time=0.293 ms
64 bytes from 192.168.2.2: icmp_seq=53 ttl=63 time=0.167 ms
64 bytes from 192.168.2.2: icmp_seq=54 ttl=63 time=0.415 ms
64 bytes from 192.168.2.2: icmp_seq=55 ttl=63 time=0.359 ms
64 bytes from 192.168.2.2: icmp_seq=56 ttl=63 time=0.214 ms
64 bytes from 192.168.2.2: icmp_seq=57 ttl=63 time=0.268 ms
64 bytes from 192.168.2.2: icmp_seq=58 ttl=63 time=0.334 ms
64 bytes from 192.168.2.2: icmp_seq=59 ttl=63 time=0.266 ms
64 bytes from 192.168.2.2: icmp_seq=60 ttl=63 time=0.151 ms

--- 192.168.2.2 ping statistics ---
60 packets transmitted, 60 received, 0% packet loss, time 60282ms
rtt min/avg/max/mdev = 0.034/0.275/0.998/0.149 ms
