PING 192.168.2.2 (192.168.2.2) 56(84) bytes of data.
64 bytes from 192.168.2.2: icmp_seq=1 ttl=63 time=0.036 ms
64 bytes from 192.168.2.2: icmp_seq=2 ttl=63 time=0.989 ms
64 bytes from 192.168.2.2: icmp_seq=3 ttl=63 time=0.952 ms
64 bytes from 192.168.2.2: icmp_seq=4 ttl=63 time=0.096 ms
64 bytes from 192.168.2.2: icmp_seq=5 ttl=63 time=1.15 ms
64 bytes from 192.168.2.2: icmp_seq=6 ttl=63 time=2.85 ms
64 bytes from 192.168.2.2: icmp_seq=7 ttl=63 time=2.13 ms
64 bytes from 192.168.2.2: icmp_seq=8 ttl=63 time=0.712 ms
64 bytes from 192.168.2.2: icmp_seq=9 ttl=63 time=1.10 ms
64 bytes from 192.168.2.2: icmp_seq=10 ttl=63 time=1.01 ms
64 bytes from 192.168.2.2: icmp_seq=11 ttl=63 time=1.09 ms
64 bytes from 192.168.2.2: icmp_seq=12 ttl=63 time=1.02 ms
64 bytes from 192.168.2.2: icmp_seq=13 ttl=63 time=0.039 ms
64 bytes from 192.168.2.2: icmp_seq=14 ttl=63 time=0.064 ms
64 bytes from 192.168.2.2: icmp_seq=15 ttl=63 time=0.031 ms
64 bytes from 192.168.2.2: icmp_seq=16 ttl=63 time=0.293 ms
64 bytes from 192.168.2.2: icmp_seq=17 ttl=63 time=0.751 ms
64 bytes from 192.168.2.2: icmp_seq=18 ttl=63 time=0.062 ms
64 bytes from 192.168.2.2: icmp_seq=19 ttl=63 time=0.825 ms
64 bytes from 192.168.2.2: icmp_seq=20 ttl=63 time=3.65 ms
64 bytes from 192.168.2.2: icmp_seq=21 ttl=63 time=2.83 ms
64 bytes from 192.168.2.2: icmp_seq=22 ttl=63 time=0.840 ms
64 bytes from 192.168.2.2: icmp_seq=23 ttl=63 time=2.97 ms
64 bytes from 192.168.2.2: icmp_seq=24 ttl=63 time=1.01 ms
64 bytes from 192.168.2.2: icmp_seq=25 ttl=63 time=0.063 ms
64 bytes from 192.168.2.2: icmp_seq=26 ttl=63 time=0.262 ms
64 bytes from 192.168.2.2: icmp_seq=27 ttl=63 time=0.513 ms
64 bytes from 192.168.2.2: icmp_seq=28 ttl=63 time=1.05 ms
64 bytes from 192.168.2.2: icmp_seq=29 ttl=63 time=1.02 ms
64 bytes from 192.168.2.2: icmp_seq=30 ttl=63 time=0.566 ms
64 bytes from 192.168.2.2: icmp_seq=31 ttl=63 time=0.064 ms
64 bytes from 192.168.2.2: icmp_seq=32 ttl=63 time=1.02 ms
64 bytes from 192.168.2.2: icmp_seq=33 ttl=63 time=2.90 ms
64 bytes from 192.168.2.2: icmp_seq=34 ttl=63 time=0.093 ms
64 bytes from 192.168.2.2: icmp_seq=35 ttl=63 time=1.48 ms
64 bytes from 192.168.2.2: icmp_seq=36 ttl=63 time=1.23 ms
64 bytes from 192.168.2.2: icmp_seq=37 ttl=63 time=2.19 ms
64 bytes from 192.168.2.2: icmp_seq=38 ttl=63 time=0.086 ms
64 bytes from 192.168.2.2: icmp_seq=39 ttl=63 time=2.09 ms
64 bytes from 192.168.2.2: icmp_seq=40 ttl=63 time=0.087 ms
64 bytes from 192.168.2.2: icmp_seq=41 ttl=63 time=0.684 ms
64 bytes from 192.168.2.2: icmp_seq=42 ttl=63 time=2.73 ms
64 bytes from 192.168.2.2: icmp_seq=43 ttl=63 time=0.685 ms
64 bytes from 192.168.2.2: icmp_seq=44 ttl=63 time=2.29 ms
64 bytes from 192.168.2.2: icmp_seq=45 ttl=63 time=0.036 ms
64 bytes from 192.168.2.2: icmp_seq=46 ttl=63 time=1.86 ms
64 bytes from 192.168.2.2: icmp_seq=47 ttl=63 time=1.98 ms
64 bytes from 192.168.2.2: icmp_seq=48 ttl=63 time=0.054 ms
64 bytes from 192.168.2.2: icmp_seq=49 ttl=63 time=2.76 ms
64 bytes from 192.168.2.2: icmp_seq=50 ttl=63 time=3.23 ms
64 bytes from 192.168.2.2: icmp_seq=51 ttl=63 time=3.02 ms
64 bytes from 192.168.2.2: icmp_seq=52 ttl=63 time=2.60 ms
64 bytes from 192.168.2.2: icmp_seq=53 ttl=63 time=1.59 ms
64 bytes from 192.168.2.2: icmp_seq=54 ttl=63 time=1.00 ms
64 bytes from 192.168.2.2: icmp_seq=55 ttl=63 time=0.793 ms
64 bytes from 192.168.2.2: icmp_seq=56 ttl=63 time=0.072 ms
64 bytes from 192.168.2.2: icmp_seq=57 ttl=63 time=1.57 ms
64 bytes from 192.168.2.2: icmp_seq=58 ttl=63 time=0.060 ms
64 bytes from 192.168.2.2: icmp_seq=59 ttl=63 time=1.70 ms
64 bytes from 192.168.2.2: icmp_seq=60 ttl=63 time=0.051 ms

--- 192.168.2.2 ping statistics ---
60 packets transmitted, 60 received, 0% packet loss, time 59525ms
rtt min/avg/max/mdev = 0.031/1.168/3.657/1.018 ms
