"No.","Time","Source","Destination","Protocol","Length","Window size value","Calculated window size"
"30","351.879378724","192.168.2.2","192.168.1.2","TCP","74","43440","43440"
"33","351.883958598","192.168.2.2","192.168.1.2","TCP","66","85","43520"
"35","351.884803999","192.168.2.2","192.168.1.2","TCP","66","78","39936"
"37","351.909309293","192.168.2.2","192.168.1.2","TCP","66","73","37376"
"39","351.957247163","192.168.2.2","192.168.1.2","TCP","66","75","38400"
"41","351.999729994","192.168.2.2","192.168.1.2","TCP","66","83","42496"
"43","352.006254394","192.168.2.2","192.168.1.2","TCP","66","68","34816"
"45","352.078312518","192.168.2.2","192.168.1.2","TCP","66","82","41984"
"47","352.090991328","192.168.2.2","192.168.1.2","TCP","66","94","48128"
"49","352.102734587","192.168.2.2","192.168.1.2","TCP","66","148","75776"
"51","352.160540270","192.168.2.2","192.168.1.2","TCP","66","165","84480"
"53","352.178483592","192.168.2.2","192.168.1.2","TCP","66","171","87552"
"55","352.182099674","192.168.2.2","192.168.1.2","TCP","66","181","92672"
"57","352.224176916","192.168.2.2","192.168.1.2","TCP","66","182","93184"
"59","352.260496983","192.168.2.2","192.168.1.2","TCP","66","188","96256"
"61","352.273202161","192.168.2.2","192.168.1.2","TCP","66","169","86528"
"63","352.363305247","192.168.2.2","192.168.1.2","TCP","66","169","86528"
"65","352.454380552","192.168.2.2","192.168.1.2","TCP","66","256","131072"
"67","352.526908896","192.168.2.2","192.168.1.2","TCP","66","273","139776"
"69","352.545480624","192.168.2.2","192.168.1.2","TCP","66","335","171520"
"71","352.612099157","192.168.2.2","192.168.1.2","TCP","66","357","182784"
"73","352.636156382","192.168.2.2","192.168.1.2","TCP","66","394","201728"
"75","352.675299337","192.168.2.2","192.168.1.2","TCP","66","439","224768"
"77","352.723526680","192.168.2.2","192.168.1.2","TCP","66","445","227840"
"79","352.727201562","192.168.2.2","192.168.1.2","TCP","66","524","268288"
"81","352.811595463","192.168.2.2","192.168.1.2","TCP","66","530","271360"
"83","352.818362768","192.168.2.2","192.168.1.2","TCP","66","593","303616"
"85","352.908509558","192.168.2.2","192.168.1.2","TCP","66","593","303616"
"87","352.999580926","192.168.2.2","192.168.1.2","TCP","66","593","303616"
"89","353.090644790","192.168.2.2","192.168.1.2","TCP","66","677","346624"
"91","353.181723722","192.168.2.2","192.168.1.2","TCP","66","762","390144"
"93","353.272379053","192.168.2.2","192.168.1.2","TCP","66","847","433664"
"95","353.363500956","192.168.2.2","192.168.1.2","TCP","66","932","477184"
"97","353.453586461","192.168.2.2","192.168.1.2","TCP","66","940","481280"
"99","353.544692216","192.168.2.2","192.168.1.2","TCP","66","940","481280"
"101","353.635763482","192.168.2.2","192.168.1.2","TCP","66","940","481280"
"103","353.726910722","192.168.2.2","192.168.1.2","TCP","66","940","481280"
"105","353.817056258","192.168.2.2","192.168.1.2","TCP","66","940","481280"
"107","353.907770119","192.168.2.2","192.168.1.2","TCP","66","940","481280"
"109","353.998772158","192.168.2.2","192.168.1.2","TCP","66","940","481280"
"111","354.089849859","192.168.2.2","192.168.1.2","TCP","66","940","481280"
"113","354.180934030","192.168.2.2","192.168.1.2","TCP","66","940","481280"
"115","354.271206686","192.168.2.2","192.168.1.2","TCP","66","940","481280"
"117","354.464927524","192.168.2.2","192.168.1.2","TCP","66","940","481280"
"119","354.659515735","192.168.2.2","192.168.1.2","TCP","66","940","481280"
"121","354.852474917","192.168.2.2","192.168.1.2","TCP","66","1119","572928"
"123","355.047008807","192.168.2.2","192.168.1.2","TCP","66","1119","572928"
"125","355.240079659","192.168.2.2","192.168.1.2","TCP","66","1119","572928"
"127","355.433866621","192.168.2.2","192.168.1.2","TCP","66","1119","572928"
"129","355.627856583","192.168.2.2","192.168.1.2","TCP","66","1119","572928"
"131","355.828130295","192.168.2.2","192.168.1.2","TCP","66","1119","572928"
"133","356.027763099","192.168.2.2","192.168.1.2","TCP","66","1119","572928"
"135","356.227869199","192.168.2.2","192.168.1.2","TCP","66","1119","572928"
"137","356.427195350","192.168.2.2","192.168.1.2","TCP","66","1119","572928"
"139","356.626930376","192.168.2.2","192.168.1.2","TCP","66","1119","572928"
"141","356.826809249","192.168.2.2","192.168.1.2","TCP","66","1119","572928"
"143","357.027151902","192.168.2.2","192.168.1.2","TCP","66","1119","572928"
"145","357.227004130","192.168.2.2","192.168.1.2","TCP","66","1119","572928"
