"No.","Time","Source","Destination","Protocol","Length","Window size value","Calculated window size"
"2","0.000021650","192.168.2.2","192.168.1.2","TCP","74","43440","43440"
"5","0.000289262","192.168.2.2","192.168.1.2","TCP","66","85","43520"
"7","0.004845823","192.168.2.2","192.168.1.2","TCP","66","78","39936"
"9","0.028767494","192.168.2.2","192.168.1.2","TCP","66","73","37376"
"11","0.077214961","192.168.2.2","192.168.1.2","TCP","66","75","38400"
"13","0.119588260","192.168.2.2","192.168.1.2","TCP","66","83","42496"
"15","0.126175217","192.168.2.2","192.168.1.2","TCP","66","68","34816"
"17","0.198633703","192.168.2.2","192.168.1.2","TCP","66","82","41984"
"19","0.210428673","192.168.2.2","192.168.1.2","TCP","66","94","48128"
"21","0.222544234","192.168.2.2","192.168.1.2","TCP","66","148","75776"
"23","0.280415345","192.168.2.2","192.168.1.2","TCP","66","165","84480"
"25","0.299088197","192.168.2.2","192.168.1.2","TCP","66","171","87552"
"27","0.301956233","192.168.2.2","192.168.1.2","TCP","66","181","92672"
"29","0.344109921","192.168.2.2","192.168.1.2","TCP","66","182","93184"
"31","0.380309599","192.168.2.2","192.168.1.2","TCP","66","188","96256"
"33","0.394105058","192.168.2.2","192.168.1.2","TCP","66","169","86528"
"35","0.483385787","192.168.2.2","192.168.1.2","TCP","66","169","86528"
"37","0.574407339","192.168.2.2","192.168.1.2","TCP","66","256","131072"
"39","0.646763602","192.168.2.2","192.168.1.2","TCP","66","273","139776"
"41","0.665376563","192.168.2.2","192.168.1.2","TCP","66","335","171520"
"43","0.731986104","192.168.2.2","192.168.1.2","TCP","66","357","182784"
"45","0.755856249","192.168.2.2","192.168.1.2","TCP","66","371","189952"
"47","0.770179819","192.168.2.2","192.168.1.2","TCP","66","393","201216"
"49","0.794692930","192.168.2.2","192.168.1.2","TCP","66","439","224768"
"51","0.842835163","192.168.2.2","192.168.1.2","TCP","66","444","227328"
"53","0.847101280","192.168.2.2","192.168.1.2","TCP","66","529","270848"
"55","0.939408496","192.168.2.2","192.168.1.2","TCP","66","593","303616"
"57","1.028544402","192.168.2.2","192.168.1.2","TCP","66","593","303616"
"59","1.119422893","192.168.2.2","192.168.1.2","TCP","66","593","303616"
"61","1.210221938","192.168.2.2","192.168.1.2","TCP","66","677","346624"
"63","1.301657967","192.168.2.2","192.168.1.2","TCP","66","762","390144"
"65","1.391900979","192.168.2.2","192.168.1.2","TCP","66","847","433664"
"67","1.482759406","192.168.2.2","192.168.1.2","TCP","66","932","477184"
