"No.","Time","Source","Destination","Protocol","Length","Window size value","Calculated window size"
"2","0.000020007","192.168.2.2","192.168.1.2","TCP","74","43440","43440"
"5","0.004007532","192.168.2.2","192.168.1.2","TCP","66","85","43520"
"7","0.010440651","192.168.2.2","192.168.1.2","TCP","66","78","39936"
"9","0.035525543","192.168.2.2","192.168.1.2","TCP","66","78","39936"
"11","0.064754564","192.168.2.2","192.168.1.2","TCP","66","75","38400"
"13","0.107025341","192.168.2.2","192.168.1.2","TCP","66","80","40960"
"15","0.125395025","192.168.2.2","192.168.1.2","TCP","66","83","42496"
"17","0.131245281","192.168.2.2","192.168.1.2","TCP","66","72","36864"
"19","0.185853324","192.168.2.2","192.168.1.2","TCP","66","83","42496"
"21","0.191802097","192.168.2.2","192.168.1.2","TCP","66","94","48128"
"23","0.204343026","192.168.2.2","192.168.1.2","TCP","66","106","54272"
"25","0.216034872","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"27","0.228782939","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"29","0.240571376","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"31","0.252377350","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"33","0.265014405","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"35","0.276821588","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"37","0.288703220","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"39","0.301250230","192.168.2.2","192.168.1.2","TCP","66","108","55296"
"41","0.306966950","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"43","0.319011888","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"45","0.331598509","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"47","0.343377088","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"49","0.356116101","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"51","0.367906627","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"53","0.379660159","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"56","0.398226565","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"58","0.410025772","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"60","0.422733754","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"62","0.434472388","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"64","0.446227544","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"66","0.458999003","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"68","0.470741235","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"71","0.489379142","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"73","0.501079635","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"75","0.512868333","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"77","0.524904726","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"79","0.537611915","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"81","0.553185408","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"83","0.561786575","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"86","0.579443470","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"88","0.592151731","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"90","0.603940710","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"92","0.615772119","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"94","0.628432531","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"96","0.640229502","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"98","0.652062836","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"101","0.670605675","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"103","0.682360430","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"105","0.695083499","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"107","0.706832661","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"109","0.718692836","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"111","0.730792086","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"113","0.743045205","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"116","0.761752582","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"118","0.773184652","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"120","0.785300243","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"122","0.797405645","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"124","0.810152839","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"126","0.821914477","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"128","0.833738571","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"131","0.852330493","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"133","0.864089876","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"135","0.876195558","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"137","0.888516444","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"139","0.900374432","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"141","0.913041186","192.168.2.2","192.168.1.2","TCP","66","107","54784"
